id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/9/value,assist,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2518277979,1,34,16,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-03-11T14:15:16.330Z,2023-03-11T14:15:16Z,4088025049,194,ekbsso6hq913ss7jerbusyled,4088025045,130,12,4088025053,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088025039,30,"4c56c2zanbiv8q28f54i5rp3p, cyrr9517kjkt2l5tuqe966zth, 9r7ngbyjgfukassxtl07wnn55, 76tis9hdvmec3jcvgnsf6cdex, 77yt60bz6k3rqv316v9qxxyad, 4mg6kr1jernr98unfp5p8shqt, 6hrtxdf59nba5ietwyfe3b2t, ekbsso6hq913ss7jerbusyled, 4l7yeuoabotmlfo5n719msrmd, 1szy525fae134zxfbt7vyw991, 2gf1wld07zyiuvq7iikfrvoid, 8lvhd97efhjcg03fj1num1bzd, 583ujnml31x2cnl6jxwnbs2xh, 7f87a26gzayk0bfzbm42huuw9, 94opm6ljk3l7yqa2rzwq2gw6h, 24g3kj5853y2af5ncqhwlfbp, dwbbiqw9923azm3rpg2m8aqj9, 3hq7q7p30s923cbbvw1070lp1",4088025043,59,"25, 2, 3, 15, 44, 6, 14, 10, 11, 24, 4, 8, 9, 17, 19, 31, 32, 33",4088025047,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4088025051,197,16163,4088025041,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518278023,1,34,16,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-03-11T14:15:17.968Z,2023-03-11T15:19:35Z,4088025305,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4088025317,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4088025309,130,2,4088025313,194,cn988bjn09tb806b05wgp7ys5,4088025303,30,"21hyrpedxxu2ilkspxq4uril1, 9ovnysf6fd2ophwdyfznztsk5, 541yhibvfn0fv2izdfudm7651, f4l762ob8j0izfocnmofytcyd, cn988bjn09tb806b05wgp7ys5, 9kacd96xriqrc23e0a8vzov3e, a70y8ayeh05hzo5yc8gotsbh0, dlfoufhh8dc14s10vnbjrfvmd, 6d9maq3oecwobp2t2220vf4r9, 41cihaqh4lxje5nx17g0rbgt1, eswokn90i34kdbfvax0y7365l, 2iy84h1v8wt8l6prv701uohk9, 33h8s55zcj0j535g2dyz9tnqi, c23tcl4dl40wu4i8vntbv0tm1, 3zmb22ct3lkf04kbpuxr22hud, dgl4fbdrmolqgg0xzejl7ve8l, 610qf6vm0fsq97hvdcpj4ka95, 5ykgwunfc9pg5iq8h5cihg3xl",4088025307,59,"1, 17, 6, 8, 20, 34, 29, 16, 9, 10, 15, 18, 19, 21, 23, 24, 26, 28",4088025315,197,16220,4088025311,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321457,2,32,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-03-11T15:00:36.591Z,2023-03-13T20:20:01Z,4088249559,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321421,2,32,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,0,0,2023-03-11T15:00:36.591Z,2023-03-11T15:00:36Z,4088249425,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321517,3,1,1,0,0,1musyruv2ufjrjnj6gvdbr8kt,1,50.3,50.4,2023-03-11T15:00:36.770Z,2023-03-14T06:36:38Z,4088249785,141,51.8,4088249789,213,3.0,4088249791,279,S,4088249787,212,9.5,4097299839,178,,4088249781,140,41.3,4088249777,56,Back,,,,4l7yeuoabotmlfo5n719msrmd,J. Windass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321567,4,1,1,0,1,1musyruv2ufjrjnj6gvdbr8kt,1,43.3,51.2,2023-03-11T15:00:38.239Z,2023-03-14T06:36:41Z,4088250041,1,,4088250031,56,Right,4088250039,213,5.6,4088250035,141,11.4,4097299895,178,,4088250033,140,73.3,4088250037,212,41.5,4088250029,155,,ekbsso6hq913ss7jerbusyled,B. Bannan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321597,5,61,1,0,4,1musyruv2ufjrjnj6gvdbr8kt,1,73.3,11.4,2023-03-11T15:00:40.904Z,2023-03-14T06:36:51Z,4088250175,56,Right,4097300031,178,,,,,,,,,,,,,,,,,,,,1szy525fae134zxfbt7vyw991,M. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321615,6,1,1,0,5,1musyruv2ufjrjnj6gvdbr8kt,1,73.5,5,2023-03-11T15:00:42.340Z,2023-03-14T06:37:02Z,4088250263,141,16.7,4088250267,213,2.2,4088250259,56,Right,4088250265,212,9.6,4088250261,140,68.3,4097300215,178,,,,,,,,cyrr9517kjkt2l5tuqe966zth,L. Palmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321627,7,1,1,0,6,1musyruv2ufjrjnj6gvdbr8kt,0,68.3,16.7,2023-03-11T15:00:43.148Z,2023-03-14T06:37:06Z,4088250307,140,78.9,4097300285,178,,4088250313,213,6.0,4088250309,141,11.4,4088250311,212,11.7,4088250305,56,Right,,,,,,,6hrtxdf59nba5ietwyfe3b2t,G. Byers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2519808949,858,49,1,0,7,80jtkz2echk6yyyb9e2595cxr,1,23.9,81.5,2023-03-11T15:00:44.210Z,2023-03-14T06:37:09Z,,,,,,,,,,,,,,,,,,,,,,,,,9kacd96xriqrc23e0a8vzov3e,R. Towler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321751,3,1,1,0,7,80jtkz2echk6yyyb9e2595cxr,0,20.3,81.7,2023-03-11T15:00:44.232Z,2023-03-14T06:37:12Z,4088250909,213,0.2,4088250913,1,,4088250899,56,Left,4088250897,157,,4088250903,141,100.0,4088250907,212,64.4,4097300435,178,,4088250901,140,80.3,9kacd96xriqrc23e0a8vzov3e,R. Towler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518321765,4,5,1,0,12,80jtkz2echk6yyyb9e2595cxr,0,75.1,101.5,2023-03-11T15:00:49.292Z,2023-03-14T06:37:14Z,4088250985,347,,4088250983,56,Left,4088253335,233,8,,,,,,,,,,,,,,,,9kacd96xriqrc23e0a8vzov3e,R. Towler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518322263,8,5,1,0,12,1musyruv2ufjrjnj6gvdbr8kt,1,24.9,-1.5,2023-03-11T15:00:49.292Z,2023-03-14T06:37:14Z,4088253183,56,Back,4088253245,233,4,4088253185,347,,,,,,,,,,,,,,,,,6hrtxdf59nba5ietwyfe3b2t,G. Byers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
