id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId
2540656787,1,34,16,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-04-29T13:15:14.184Z,2023-05-01T15:45:13Z,4234613557,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4234613559,194,e3ff2af2lxs0rl8c4r5ns4wd1,4234613563,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234613561,197,17032,4234613553,59,"1, 28, 11, 24, 21, 23, 7, 4, 10, 14, 26, 8, 9, 15, 20, 25, 42, 44",4234613555,130,8,4234613549,30,"3j589r3jhjkgpxxopsfit7aad, 58yhuku61yc06xpc55v5cdtec, 8x2yublirj5430deybqft0xxx, b6ctnwazqrxkw1639gn3vbahh, 6s4sb4st1ploeraxawlckr4r9, asy3qn4557iy3r55yl4v9xj9x, 2oqi7v6d676hbe9i9agdl9ckp, e3ff2af2lxs0rl8c4r5ns4wd1, 5kyyaapya2gv5awlfgckmwpux, 7b7ca1dklnp7reqcs5s4aauei, b3cehdu46pljqap9xw1j7pcyx, 9mshr96m8q37ng7w30rvhkl3p, aral6zvx8qxkfqkqwb7ldfk5x, bkpr0uwpx5kbu2ms41uxoljah, 4jdmkdjk3nyontplaz0evug9h, 886i2kpcsn38tt7wqios1ip5, c48yjuxzle51y3k7kr1fcyk4q, dl5erap54x98spwt6vqc95uxh",4234613551,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540656941,1,34,16,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-04-29T13:15:22.465Z,2023-04-29T14:07:17Z,4234614359,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4234614357,130,19,4234614365,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234614363,197,16212,4234614361,194,ex0gkrnzj98vrwpk9tpcfw91x,4234614355,59,"1, 2, 11, 34, 12, 16, 22, 28, 9, 20, 4, 6, 7, 14, 15, 17, 18, 40",4234614353,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4234614351,30,"3wew9tjsjrsoyioiuzd7ve356, 2asjeedy6igcuixqktdmk5k2x, dzitwscdk6ogkf6bstbrik53p, 74x5iaolqfr7r3on2uuriooyy, djjkjjtiuwnbaau5lv6iqkwr9, a2g77lv071rnz76ujh30364tl, a5cmnj0nhdbux68291ipqcei2, ex0gkrnzj98vrwpk9tpcfw91x, a634junjbgfa84200m3khvw0l, f4ef7in4fxoylsy29anhgqep5, 7d9la6gbbobi9yie2ejf9uj1l, 6ipjgy0ewyx7mnmolu0pp0mw9, 7uhajc3suc68vemamuc3dyvp, 8w9kh0cuund2pw8wzs0rjrbah, 4eyngv286u5zbtppuih1g67s9, 1vigb3e3dsxufbtvt4ed48e09, 4m5w23fmydm3or1ff42hgeqne, 1aq6osi0b0c580dlu9ugnjaei",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540697623,2,32,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,0,0,2023-04-29T14:00:49.634Z,2023-04-29T14:00:49Z,4234816751,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540697649,2,32,1,0,0,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-04-29T14:00:49.634Z,2023-05-01T21:08:11Z,4234816877,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540697687,3,1,1,0,0,dmz37633qbsvl7gncq5s51yjw,1,50.1,49.9,2023-04-29T14:00:49.698Z,2023-05-02T08:33:35Z,4234817117,140,26.9,4234817119,141,48.8,4234817125,279,S,4234817115,56,Back,4234817123,213,3.2,4234817121,212,24.4,4244311293,178,,,,,7b7ca1dklnp7reqcs5s4aauei,J. Lankester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540697767,4,1,1,0,3,dmz37633qbsvl7gncq5s51yjw,0,26.9,48.8,2023-04-29T14:00:53.340Z,2023-05-02T08:33:38Z,4234817553,213,0.5,4234817555,1,,4244311385,178,,4234817545,56,Left,4234817543,157,,4234817547,140,74.0,4234817551,212,57.5,4234817549,141,92.0,3j589r3jhjkgpxxopsfit7aad,D. Mitov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542348651,733,49,1,0,8,5qwskbjpa17fvmtuu5qijy7cz,1,13.5,17,2023-04-29T14:00:58.354Z,2023-05-02T08:33:43Z,,,,,,,,,,,,,,,,,,,,,,,,,djjkjjtiuwnbaau5lv6iqkwr9,M. Nottingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540697825,3,1,1,0,8,5qwskbjpa17fvmtuu5qijy7cz,1,16.5,19.5,2023-04-29T14:00:58.407Z,2023-05-02T08:33:47Z,4234817831,56,Back,4234817833,140,27.7,4234817835,141,17.7,4244311513,178,,4234817837,212,11.8,4234817839,213,6.2,,,,,,,djjkjjtiuwnbaau5lv6iqkwr9,M. Nottingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540697857,5,1,1,0,10,5qwskbjpa17fvmtuu5qijy7cz,0,27.7,17.7,2023-04-29T14:00:59.664Z,2023-05-02T08:33:50Z,4234817993,56,Back,4234818001,141,9.8,4234817989,155,,4234818003,212,17.0,4244311561,178,,4234817997,140,43.1,4234818007,213,6.0,,,,a5cmnj0nhdbux68291ipqcei2,D. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540697831,4,43,1,0,11,5qwskbjpa17fvmtuu5qijy7cz,1,0,0,2023-04-29T14:01:00.660Z,2023-05-01T15:34:37Z,4243613121,144,49,,,,,,,,,,,,,,,,,,,,,,a5cmnj0nhdbux68291ipqcei2,D. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
