id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/17/value
2497181611,1,34,16,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-01-14T14:15:05.434Z,2023-01-14T15:02:31Z,3976866141,130,18,3976866131,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3976866127,30,"3swij7ntrn9x9voc9clilgmvp, 7qnu4sb2a2vj7nw8gkvv1pxw5, c1hj1hth3xj2f0ax3x6fdwj8q, eg2xijdgtcaa44x57pjezy3ft, 1dzmlop3jwm8aeqxkmihjl7xm, 4qg1mpymeaajx8gu7jycw5wph, enfxh6b65c9hx1rs0scszi2y2, 3j78tgfptah530cydckvfsauh, 56zd7s72x7izgeiybmmgc8acq, adfgsbp3tv9wgatujcr9mfuju, 81d38h08s97e8kl7kxew6si5l, awx668jrec0gnqk5gyg7o0oyy, ei7qu2h9y32f07m3zjk87xxwp, ev42016zwnwiow3lbefukrbvt, 2nvu4o5lbowvig5ddb4563n8q, a65axspsu3w38f0dob3aibk5x, rqdgj7y5b0qjaxpz1i7k3a50, f4p7kokn0a6epac4icy01l9lh",3976866135,59,"18, 2, 3, 5, 39, 26, 16, 8, 12, 9, 10, 11, 4, 6, 15, 20, 22, 27",3976866145,194,4qg1mpymeaajx8gu7jycw5wph,3976866147,197,16180,3976866149,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976866143,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497182561,1,34,16,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2023-01-14T14:15:58.826Z,2023-01-14T14:57:01Z,3976871347,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976871337,59,"31, 22, 12, 25, 5, 23, 4, 7, 28, 11, 17, 21, 2, 3, 6, 8, 9, 24",3976871339,130,4,3976871343,194,c3a6jpeg16b9zn02uf1yf9cyx,3976871333,30,"dgcocw72ey734nwc3omi02sid, bn65q0jh5fmyit8g8y4k9wsq2, 5j1eftktnca9eso1vvhu2hf55, 43knl3z17afypz27sz4qzkxnu, 3dy32ujo7srhl6rq7vb9e97xm, 9e0t58fp461sn2pele7we3fu1, cwimbfv671qph6cxdcl32elzp, c3a6jpeg16b9zn02uf1yf9cyx, 2r64ekro7ydonu8jg7s12xyei, 41ntkkxxtjznfdz7966j64161, cqgg8fu39fn7k9blog2zjpk2x, 4luphb29oi2p9ftkag6xb69jp, 5kg7eu8b1wktru5ohpid8e9qt, 3x8j3d4oygoxsu75ipz0idt6, 5vi8t2fffmk5kjfukazcmyo5x, 693vankfkq50hufuwcz7hu8r9, es83awo143gzdm1ohwqwpmjf9, dirgn9z2tdz1603md8x3dni6t",3976871341,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3976871345,197,16119,3976871335,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211661,2,32,1,0,0,17zuelixesst1z59fwcix2dil,1,0,0,2023-01-14T15:00:13.674Z,2023-01-14T15:00:13Z,3977029817,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211681,2,32,1,0,0,dv9l02o316cd9hbkxaho2u12f,1,0,0,2023-01-14T15:00:13.674Z,2023-01-16T09:34:47Z,3977029901,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211731,3,1,1,0,0,17zuelixesst1z59fwcix2dil,1,50.1,50.1,2023-01-14T15:00:13.712Z,2023-01-16T10:18:11Z,3977030049,56,Back,3977030051,140,34.3,3977030055,212,16.6,3977030059,279,S,3977030057,213,3.2,3981146913,178,,3977030053,141,49.1,,,,43knl3z17afypz27sz4qzkxnu,M. Peart-Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211759,4,1,1,0,2,17zuelixesst1z59fwcix2dil,0,33.2,49.7,2023-01-14T15:00:16.183Z,2023-01-16T10:18:14Z,3977030215,213,0.4,3977030211,212,41.8,3981146991,178,,3977030203,56,Center,3977030199,155,,3977030207,140,69.7,3977030217,1,,3977030209,141,74.4,3dy32ujo7srhl6rq7vb9e97xm,O. Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211811,3,1,1,0,5,dv9l02o316cd9hbkxaho2u12f,0,29,18.2,2023-01-14T15:00:18.927Z,2023-01-16T10:18:21Z,3977030459,213,0.3,3977030457,212,33.0,3977030445,56,Center,3977030453,141,31.0,3981147157,388,,3977030449,140,59.3,3977030443,3,,3977030463,1,,1dzmlop3jwm8aeqxkmihjl7xm,C. Diabate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211823,5,44,1,0,7,17zuelixesst1z59fwcix2dil,1,41.3,65.1,2023-01-14T15:00:21.641Z,2023-01-17T03:06:49Z,3977030503,285,,3977030511,233,4,3977030501,56,Back,,,,,,,,,,,,,,,,3dy32ujo7srhl6rq7vb9e97xm,O. Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211819,4,44,1,0,7,dv9l02o316cd9hbkxaho2u12f,0,58.7,34.9,2023-01-14T15:00:21.642Z,2023-01-16T10:18:27Z,3977030481,56,Center,3977030541,233,5,3977030483,286,,,,,,,,,,,,,,,,,81d38h08s97e8kl7kxew6si5l,S. Nombe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497211829,6,1,1,0,8,17zuelixesst1z59fwcix2dil,0,38.6,62.7,2023-01-14T15:00:21.752Z,2023-01-17T03:06:50Z,3977030529,213,6.2,3977030527,212,1.4,3981147511,388,,3977030523,140,39.9,3977030521,56,Back,3977030519,3,,3977030525,141,62.5,,,,3dy32ujo7srhl6rq7vb9e97xm,O. Casey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
