id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/15/value,qualifier/14/value,qualifier/13/value,qualifier/17/value,qualifier/18/value
2475350867,1,34,16,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2022-10-22T13:02:14.308Z,2022-10-22T13:02:14Z,3861800227,197,16221,3861800213,30,"3oyhjrd1ohnwf1x3d65997xzp, 50c2v0l2cmkh82vso5tnjv3yt, 987r1vdgx95x30elzrisjrzs9, 3jzhwh7lq7xzcz7clm28h0mvp, bsrhtxhpnlxho2o4zvli5qmeh, cqfbp8me2n00cve66v797omvp, dq21r0ge09ug4d2crb9j6q6dx, 50flg4aoq4l0glnh61yzngc7p, 5lngv6xyqc7xanqv8ytifc3px, 33ci88veciqvd4w5y145dyooa, 8g19rw3eni5p8jt5v1j9skwdl, 8lcnj37j5nswqsqzud3t1a6l1, 9pd78l4lxwbbfnjmwvhu618tl, 8olbkp9lqy3em5s9h7a4aod4a, exrh01dw52b651aet2am7v015, uluqgj69z6yunsl8m505lyi, cz30ywnq6p6dig7x3hu6h7cnp, c48yjuxzle51y3k7kr1fcyk4q",3861800229,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861800219,130,4,3861800221,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3861800215,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",3861800217,59,"13, 2, 16, 8, 5, 4, 7, 18, 9, 22, 11, 6, 12, 14, 21, 27, 33, 42",3861800223,194,bsrhtxhpnlxho2o4zvli5qmeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475370127,1,34,16,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2022-10-22T13:23:19.214Z,2022-10-24T12:28:28Z,3861906545,59,"1, 23, 3, 8, 6, 4, 11, 22, 9, 16, 10, 2, 5, 12, 14, 24, 26, 28",3861906549,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3861906547,130,8,3861906543,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3861906541,30,"2f49etxdi4l2tsobpmsg5i5pm, kxfjnow9ky2mxefjujv392ol, 2k02tiy3x2a7o11h0kxw33fmd, 4y9ghbncgfgpv4qd604g8jw15, 6cfr9qa1khqzv5oxsi8d3ug9h, em0i6q0h6q80melaxwx2nvz3e, 37ea7qzvbzt3zr4y2q4o5boq, ewtroels9b5fc9hv9c2laj90q, dxndu5lwom3srja7xhiadmdw5, czsjz7u9u01z5a4pyue7tu5wq, 6ictgtdi9ogl7n8dqh4dm1fxl, cee3wxxx7lrluzh7kog7g07ah, azp9bk80ozwjy2xx7tvqot5gp, 93hm64q02lz37wj7xzbkv1m1h, e8whj7tdfmuk66shr30htmhud, 1zpxu396rz1b3gymuheg69h3p, 1ur2h01o6jgewwzydb2caggoa, 45i2fz3wya2x8gsa1hn8yd65m",3861906553,197,16178,3861906551,194,dxndu5lwom3srja7xhiadmdw5,3861906555,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475406445,2,32,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2022-10-22T14:01:05Z,2022-10-22T14:01:22Z,3862087551,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475406899,3,32,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2022-10-22T14:01:05Z,2022-10-24T22:35:27Z,3862089761,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475406851,4,1,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,48.4,50.4,2022-10-22T14:01:05.038Z,2022-12-12T19:40:04Z,3943143523,279,S,3862089505,213,2.3,3862089501,141,77.3,3862089503,212,24.7,3862089497,56,Back,3870976865,178,,3862089499,140,32.6,,,,czsjz7u9u01z5a4pyue7tu5wq,H. Burrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475406465,2,43,1,0,0,ahm0t06rup1bkd9z0mxl2lmph,1,0,0,2022-10-22T14:01:05.835Z,2022-10-22T14:01:21Z,3862089443,144,32,3862087657,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475406593,3,43,1,0,0,5jjqm8h6qm1w4s5f93uubhdrj,1,0,0,2022-10-22T14:01:05.935Z,2022-10-22T14:01:19Z,3862088261,140,34.9,3862088263,141,66.6,3862088267,213,2.5,3862089129,144,1,3862088269,279,S,3862088259,56,Back,3862088265,212,19.1,,,,czsjz7u9u01z5a4pyue7tu5wq,H. Burrows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475406999,5,1,1,0,3,5jjqm8h6qm1w4s5f93uubhdrj,1,29,75.4,2022-10-22T14:01:08.628Z,2022-10-25T06:16:14Z,3862107251,157,,3862090299,212,52.0,3862090289,56,Center,3862090295,141,28.3,3870976951,178,,3862090293,140,68.0,3862090303,213,5.6,3862090305,1,,em0i6q0h6q80melaxwx2nvz3e,R. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475407003,6,1,1,0,6,5jjqm8h6qm1w4s5f93uubhdrj,0,66.3,26.8,2022-10-22T14:01:11.881Z,2022-10-25T06:16:39Z,3870977401,178,,3862090323,168,,3862090325,56,Right,3862090333,213,5.8,3862090329,141,18.9,3862090327,140,77.2,3862090331,212,12.6,,,,dxndu5lwom3srja7xhiadmdw5,J. Clarke-Harris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475407267,7,3,1,0,10,5jjqm8h6qm1w4s5f93uubhdrj,0,88.2,5.8,2022-10-22T14:01:15.595Z,2022-10-25T06:16:50Z,3862092057,211,,3870977635,178,,3869680817,465,,3862091589,286,,3862091587,56,Right,,,,,,,,,,37ea7qzvbzt3zr4y2q4o5boq,K. Poku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
