id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/18/value,qualifier/17/value
2492066789,1,34,16,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2022-12-17T14:15:15.694Z,2022-12-17T15:06:31Z,3949871385,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949871383,197,16167,3949871381,194,7fvj3ev8ov0cnalck9x48z3kl,3949871379,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3949871373,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3949871371,30,"1sw0ywyl0cgn97mu65tnzv0t1, 7fvj3ev8ov0cnalck9x48z3kl, 1kw6qz2pi7wlam068oeirztud, 7pia2vfewavgyc8d7pvgr7owl, f5zei3x0mg1i5q3soziuy579, ex186m2z3yp666b1g219a8ted, bbrx2s4fcp7uplly4hpbt3xed, 93kxb8ch3auv9li22mh1aidey, 99uiqjteov3qby19bs8kozill, 7yqdri2a1wz80jfzbcyfc904p, 4oogur7f8tfx3z011ap58ao5x, d22nvvj315b99fncrui6ezzkl, am0ggkrw8rzw5shdvaceyr3kl, corxqfn0yjgdo7vdctaraxv8q, 90bk4lcfnlqtvwlttwybhs4wl, dbev6jhnro87n6ghueorfz27d, 40wbrqny2ekenyy37ver8dyol, 3a96rdsu1qqtsmiaae10vbyi2",3949871377,130,8,3949871375,59,"1, 26, 23, 28, 2, 20, 7, 10, 18, 11, 12, 4, 9, 13, 17, 19, 22, 25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492066795,1,34,16,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2022-12-17T14:15:16.773Z,2022-12-17T14:18:49Z,3949871423,194,dgzuswl2pnk7t03ts7nguholx,3949871421,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",3949871417,59,"1, 24, 3, 30, 2, 15, 7, 5, 9, 10, 19, 4, 8, 18, 21, 23, 29, 31",3949871413,30,"4905drgcc9husos98ppdup4gl, 1uv1l0l2zhrv5rjb9dgko0r1l, a9352zsh3xr7rcxs0jmho7o8a, d3si5voqkdc8did5gkp67tg5w, dp69i4w71wdxciwbgus5cmbpx, 1244ja0ma2r0071i7d45t6yfp, 6v9kb953ugi8odu4tdly7v3yt, dgzuswl2pnk7t03ts7nguholx, 1feu2co3n49llnckcxffuo79x, 28izur14k14lcgegg8qede7yt, 6b7fxcw7upr57pku6gf6dteqd, c4p70bri4hf1ktz4xfv5j87vt, 7hduohz6mo32mbtdepyv5u7yt, byem8e04h7nlgk9ythcswoley, 1oeekgzkzju2jce7651vbdrrp, 3fwxh0c612fj1flqrbozvja39, b7lmlxy1s3atzgtud5ofsc92h, coupcn8k43jf15nqge220qo5x",3949871427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3949871425,197,4779,3949871415,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",3949871419,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075565,2,32,1,0,0,8b523ujgl21tbc01me65q0aoh,1,0,0,2022-12-17T15:02:14.696Z,2022-12-17T15:02:17Z,3949919635,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075581,2,32,1,0,0,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2022-12-17T15:02:14.696Z,2022-12-20T05:44:27Z,3949919713,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075617,3,1,1,0,0,8b523ujgl21tbc01me65q0aoh,1,49.9,49.7,2022-12-17T15:02:14.703Z,2022-12-20T06:42:40Z,3952093209,178,,3949919879,56,Back,3949919887,213,3.8,3949919883,141,31.6,3949919881,140,35.1,3949919885,212,19.8,3949919889,279,S,,,,28izur14k14lcgegg8qede7yt,C. Chaplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075657,4,1,1,0,4,8b523ujgl21tbc01me65q0aoh,0,35,32.8,2022-12-17T15:02:19.071Z,2022-12-20T06:42:47Z,3949920069,141,73.6,3949920079,1,,3952093325,178,,3949920063,56,Center,3949920073,212,51.6,3949920067,140,76.4,3949920077,213,0.6,3951849269,155,,dp69i4w71wdxciwbgus5cmbpx,R. Keogh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075755,5,4,1,0,7,jv3jh5m5t7qy5t37vwwmnj16,1,25,13.4,2022-12-17T15:02:22.181Z,2022-12-20T06:43:26Z,3949920625,13,,3949920633,285,,3949920631,152,,3949920627,264,,3949920683,233,6,3949920629,56,Back,,,,,,,f5zei3x0mg1i5q3soziuy579,J. Grimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075761,6,4,1,0,7,8b523ujgl21tbc01me65q0aoh,0,75,86.6,2022-12-17T15:02:22.182Z,2022-12-20T06:43:26Z,3952093645,388,,3949920651,152,,3949920653,286,,3949920645,13,,3949920687,233,5,3949921043,264,,3949920649,56,Left,,,,1feu2co3n49llnckcxffuo79x,F. Ladapo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075667,3,43,1,0,8,jv3jh5m5t7qy5t37vwwmnj16,1,0,0,2022-12-17T15:02:23.050Z,2022-12-17T15:02:41Z,3949921461,144,44,3949920141,285,0,3949920139,56,Back,,,,,,,,,,,,,,,,f5zei3x0mg1i5q3soziuy579,J. Grimmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492075663,5,43,1,0,8,8b523ujgl21tbc01me65q0aoh,1,0,0,2022-12-17T15:02:23.051Z,2022-12-17T15:02:32Z,3949920885,144,44,3949920119,286,0,3949920117,56,Left,3949920227,233,3,,,,,,,,,,,,,1feu2co3n49llnckcxffuo79x,F. Ladapo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
