id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/10/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/15/value,assist
2494451143,5,8,1,0,20,5pfqedkme2kabtqhkln35pf3l,1,19.8,10.7,2023-01-01T15:04:21.023Z,2023-01-03T05:42:30Z,3964289659,178,,3964289657,21,,3963367543,385,,3962515579,56,Back,,,,,,,,,,,,,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494451161,6,5,1,0,21,5pfqedkme2kabtqhkln35pf3l,0,18.4,-1.4,2023-01-01T15:04:21.921Z,2023-01-03T05:42:35Z,3962515681,347,,3962515679,56,Back,3963367593,361,,3962516357,233,8,,,,,,,,,,,,,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494451265,8,5,1,0,21,fvr504m6gaxsfmtx4fwm7iq1,1,81.6,101.4,2023-01-01T15:04:21.921Z,2023-01-03T05:42:34Z,3963367571,361,,3962516271,347,,3962516269,56,Left,3962516335,233,6,,,,,,,,,,,,,cqcwoymcrgf7wdi6091zplecp,D. N'Lundulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494451119,7,43,1,0,22,fvr504m6gaxsfmtx4fwm7iq1,1,0,0,2023-01-01T15:04:23.095Z,2023-01-01T15:04:27Z,3962515483,56,Left,3962515799,144,61,,,,,,,,,,,,,,,,,,,cqcwoymcrgf7wdi6091zplecp,D. N'Lundulu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494451461,9,1,1,0,43,fvr504m6gaxsfmtx4fwm7iq1,1,86.5,100,2023-01-01T15:04:43.563Z,2023-01-03T05:42:40Z,3962517233,213,5.1,3962517229,141,65.4,3962517235,1,,3962517223,107,,3962517231,212,26.6,3962517225,56,Center,3962517227,140,96.4,,,,75c432elegprf4f6hn72icset,S. Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502613585,1073,44,1,0,44,fvr504m6gaxsfmtx4fwm7iq1,1,95.6,69.4,2023-01-01T15:04:45.045Z,2023-01-31T16:32:20Z,4005390617,286,,4005390615,56,Center,4005549681,233,1464,,,,,,,,,,,,,,,,552cgdv8qya776at130r2d0mi,C. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502613621,1464,44,1,0,44,5pfqedkme2kabtqhkln35pf3l,0,4.4,30.6,2023-01-01T15:04:45.046Z,2023-01-31T16:32:20Z,4005390791,56,Back,4005390793,285,,4005549685,233,1073,,,,,,,,,,,,,,,,5raent8a0bdt01n7769n3dw16,B. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494451497,10,1,1,0,45,fvr504m6gaxsfmtx4fwm7iq1,1,97,74.4,2023-01-01T15:04:45.790Z,2023-01-31T12:08:14Z,3962517413,213,4.6,3962517403,3,,3962517405,56,Center,3962517407,140,95.7,3962520577,154,,3962520575,210,13,3962517411,212,11.8,3964289823,388,,552cgdv8qya776at130r2d0mi,C. Taylor,1,3962517409,141,57.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494451503,11,13,1,0,46,fvr504m6gaxsfmtx4fwm7iq1,1,95.6,58.5,2023-01-01T15:04:46.823Z,2023-01-31T12:08:14Z,3962519305,214,,3962520609,29,,3962518937,328,,3962520605,160,,3962518933,15,,3962519309,230,98.9,3962520607,61,,3962519311,231,53.4,cqcwoymcrgf7wdi6091zplecp,D. N'Lundulu,,3962519299,83,,3962519303,103,8.3,3965179321,178,3962517447,56,Center,3962520613,55,10,3962519301,102,56.3,3962520611,154,,,,,,,,,,,,,,,
2494451479,7,5,1,0,46,5pfqedkme2kabtqhkln35pf3l,1,-0.8,42.4,2023-01-01T15:04:47.341Z,2023-01-03T05:43:08Z,3962517323,346,,3962517319,56,Back,3962517643,233,12,,,,,,,,,,,,,,,,6wax1hh875vpvfi1fbetwmtey,J. Connolly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
