id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/12/value,qualifier/13/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/15/value,qualifier/17/value
2521505605,1,34,16,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-03-18T14:15:15.164Z,2023-03-18T15:05:03Z,4105104343,130,2,4105104353,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105104345,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4105104341,59,"1, 30, 3, 22, 5, 17, 21, 8, 40, 9, 10, 2, 6, 7, 11, 18, 25, 35",4105104339,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5",4105104337,30,"byo7r7emgxz5oiauh2z75vpp1, ejmi6qqszz1509excckyj3n1m, f0sa0skucdf742t06hsmi8ne2, 9jj7t00bb5zflz78nlz3bvllg, c4hif6j7tldh0w7oeq8v9pcve, 6hq92cx2829wfuzxmfhg1xpm1, 4n37rih2qtphgtjxzo2id5f55, 3pxdg41xbkbajeuxovusa2v9x, 5pafzbbuucga9ut20l6ckj7u2, dz04k2zt87y78ku9g14sxm21h, bdquc37ytagmw19zgrehnryz9, 6wax1hh875vpvfi1fbetwmtey, 6q5iqhaxdzqhj3jt0eptjvbv9, 9s6ec1a12gozqwjlsyo7y8gr9, aohds6v2ewiu0xhov9mq9uju1, bgly2zwf7qro0phmd6hkry6ll, 44mf0jzuwreljhmqth0w60iqd, 6axta520v9f4z56hctbq3a4mh",4105104347,194,6hq92cx2829wfuzxmfhg1xpm1,4105104349,197,4819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521505625,1,34,16,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-03-18T14:15:16.093Z,2023-03-18T14:15:16Z,4105104487,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105104477,59,"1, 17, 6, 16, 20, 34, 23, 8, 9, 29, 18, 4, 15, 19, 21, 24, 26, 28",4105104479,130,4,4105104481,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4105104485,197,16888,4105104473,30,"21hyrpedxxu2ilkspxq4uril1, 9ovnysf6fd2ophwdyfznztsk5, 541yhibvfn0fv2izdfudm7651, dlfoufhh8dc14s10vnbjrfvmd, cn988bjn09tb806b05wgp7ys5, 9kacd96xriqrc23e0a8vzov3e, 3zmb22ct3lkf04kbpuxr22hud, f4l762ob8j0izfocnmofytcyd, 6d9maq3oecwobp2t2220vf4r9, a70y8ayeh05hzo5yc8gotsbh0, 2iy84h1v8wt8l6prv701uohk9, f1g68yocf85lxkf17pt2j7v85, eswokn90i34kdbfvax0y7365l, 33h8s55zcj0j535g2dyz9tnqi, c23tcl4dl40wu4i8vntbv0tm1, dgl4fbdrmolqgg0xzejl7ve8l, 610qf6vm0fsq97hvdcpj4ka95, 5ykgwunfc9pg5iq8h5cihg3xl",4105104483,194,cn988bjn09tb806b05wgp7ys5,4105104475,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558413,2,32,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,0,0,2023-03-18T15:00:50.751Z,2023-03-20T22:28:37Z,4105373621,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558435,2,32,1,0,0,80jtkz2echk6yyyb9e2595cxr,1,0,0,2023-03-18T15:00:50.751Z,2023-03-18T15:00:53Z,4105373705,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558531,3,1,1,0,0,5pfqedkme2kabtqhkln35pf3l,1,50,50,2023-03-18T15:00:50.835Z,2023-03-21T03:02:54Z,4105374111,279,S,4105374103,141,53.1,4105374099,56,Back,4105374105,212,21.4,4105374101,140,29.7,4105374109,213,3.0,4113605019,178,,,,,4n37rih2qtphgtjxzo2id5f55,A. Evans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558635,4,1,1,0,3,5pfqedkme2kabtqhkln35pf3l,1,32.2,56.1,2023-03-18T15:00:54.274Z,2023-03-21T03:02:56Z,4105374711,56,Left,4105374717,212,54.2,4105374715,141,91.2,4105374721,1,,4113605035,178,,4105374719,213,0.5,4105374709,155,,4105374713,140,78.5,c4hif6j7tldh0w7oeq8v9pcve,J. Quansah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558659,5,1,1,0,6,5pfqedkme2kabtqhkln35pf3l,0,78.5,91.2,2023-03-18T15:00:56.839Z,2023-03-21T03:03:03Z,4105374847,56,Left,4105374849,140,100.0,4113605085,388,,4105374845,168,,4105374853,212,23.1,4105374843,3,,4105374851,141,90.2,4105374855,213,6.3,5pafzbbuucga9ut20l6ckj7u2,J. Coburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558653,3,5,1,0,9,80jtkz2echk6yyyb9e2595cxr,1,-0.6,10.6,2023-03-18T15:01:00.477Z,2023-03-21T03:03:07Z,4105374933,233,6,4105374803,56,Back,4105374805,346,,,,,,,,,,,,,,,,,541yhibvfn0fv2izdfudm7651,C. Ogilvie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521558667,6,5,1,0,9,5pfqedkme2kabtqhkln35pf3l,0,100.6,89.4,2023-03-18T15:01:00.477Z,2023-03-21T03:03:06Z,4105374969,233,3,4105374889,346,,4105374887,56,Left,,,,,,,,,,,,,,,,5pafzbbuucga9ut20l6ckj7u2,J. Coburn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521559503,4,1,1,0,33,80jtkz2echk6yyyb9e2595cxr,0,5.1,51.5,2023-03-18T15:01:23.984Z,2023-03-21T03:03:09Z,4105378989,56,Center,4105378999,1,,4105378997,213,0.1,4105379001,74,,4105378987,124,,4105378993,141,65.7,4105378991,140,70.3,4105378995,212,69.1,21hyrpedxxu2ilkspxq4uril1,M. Macey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
