id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/9/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2530199443,1,34,16,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2023-04-08T13:04:15.486Z,2023-04-08T14:22:53Z,4172050181,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172050187,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172050177,59,"20, 11, 24, 3, 19, 2, 34, 22, 26, 10, 17, 1, 4, 5, 8, 15, 16, 21, 25, 29",4172050179,130,16,4172050185,197,1978,4172050175,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172050173,30,"91m838lynz6db94q8ufcqk91x, 9z0xcc7yot7royqle0nn6fdn9, bt4n55baiq4m30oyc0v833omi, aqt5c6bvjkbaw56lq7t69kjjd, 4rsnyz3019rgfjdil1zs024t1, 9coe01drgpmlz3ee9qfond815, 2707xag1w0czgk17kz84632ms, 5h9myriisqh4v99oka6gwey8l, 71xg650qcs8yibhrumgvdejth, 6ta1shg2pfj5cchdod1xdtvbp, atf7aycphllb4i8h9jnld4bmd, 1fkrvnzbrb9s0qojjhc8edpm1, 2spu2yn887lywqw2vrg3evhlh, 2c89yb9spduwcxl7lrhckru1h, dggymph6p6xe8s3h2hae5p5g5, 6uvj9qt3kex5sx729zbe1rlyh, 9hnkwvq81pd0bkovc17lqhf4l, 3svpmpx5tb4ekuewkh79l2up5, 2ytdtlvxm0ba22gsmk6vu4vhm, 8p1pe1wpwy9o3p2n9imr2k5ck",4172050183,194,4rsnyz3019rgfjdil1zs024t1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530203843,1,34,16,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2023-04-08T13:11:21.606Z,2023-04-08T13:58:19Z,4172074935,59,"24, 2, 17, 4, 27, 18, 23, 16, 11, 9, 20, 3, 10, 14, 15, 19, 22, 25, 33, 36",4172074941,194,6o62deaqwdcrllc91hz09cct1,4172074933,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172074945,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172074943,197,7011,4172074937,130,12,4172074931,30,"26hokry025pgjx5bn7ljlkatx, 6o62deaqwdcrllc91hz09cct1, 1doiom8yk2hn6sn6orlcfypjp, 8byxqwq7ktyxn5rfbj4p0m0o9, b9bkrtx5x0g403la5n3h17mxh, bos0z54lr710ov1ppq0rahje2, 9imvdvv7wnaknh1bc4ocun78q, c4kxfrbrfedilykhbyak3e579, bkehljspqbj6tz0peqjivkvai, 8cpd4je0ku8wjumqeh3ruv10p, 6ne71gfjoez9m0tk8qozd8e3u, 4e49434kkv98sjq1byj8rnkh6, 2ws74z0vjuq4vdt4575cgjbsa, eh7p84iu66n1ehlisgttnhv1m, 7ie1bwuj4e18xy9bl6mszwt1, ddfwtazsntda1pah2l454py3t, su2h9bv6nhltjjkbz5s7lrdh, 16x7shxmsfll6pytg8b8v0dbe, el8iinhsb8c12kgvng4idutat, cgcc0n4i0k8jc9tk8vwzgltsk",4172074939,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241427,2,32,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2023-04-08T14:01:59.149Z,2023-04-08T14:02:01Z,4172260745,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241417,2,32,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2023-04-08T14:01:59.149Z,2023-04-08T16:41:10Z,4172260711,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241481,3,1,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,50,50,2023-04-08T14:01:59.249Z,2023-04-08T14:02:01Z,4172260981,279,S,4172260971,140,36.0,4172260977,212,14.7,4172260979,213,3.2,4172260969,56,Back,4172260975,141,48.8,,,,,,,9imvdvv7wnaknh1bc4ocun78q,R. Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241493,4,1,1,0,2,841zp0njrq63yv4fvw6lgf60q,0,38.1,47.9,2023-04-08T14:02:01.769Z,2023-04-08T14:02:02Z,4172261017,56,Back,4172261025,213,0.2,4172261019,140,43.6,4172261023,212,5.9,4172261021,141,49.4,4172261015,155,,,,,,,,b9bkrtx5x0g403la5n3h17mxh,A. MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241511,3,61,1,0,3,enzoyc121va61wtmjf4cm7p3d,1,56.4,49.7,2023-04-08T14:02:02.451Z,2023-04-08T14:02:02Z,4172261105,56,Center,,,,,,,,,,,,,,,,,,,,,,71xg650qcs8yibhrumgvdejth,C. Doidge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241571,4,1,1,0,5,enzoyc121va61wtmjf4cm7p3d,0,27.2,31.2,2023-04-08T14:02:04.550Z,2023-04-08T14:02:06Z,4172261377,212,34.9,4172261371,56,Center,4172261381,1,,4172261379,213,6.2,4172261369,3,,4172261375,141,25.6,4172261373,140,60.2,,,,5h9myriisqh4v99oka6gwey8l,L. Donnelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241621,5,1,1,0,7,841zp0njrq63yv4fvw6lgf60q,0,43.4,66.4,2023-04-08T14:02:06.377Z,2023-04-08T14:03:27Z,4172261641,212,23.6,4172261633,3,,4172261635,56,Center,4172261643,213,6.1,4172261637,140,65.6,4172261639,141,61.4,,,,,,,8byxqwq7ktyxn5rfbj4p0m0o9,L. Scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530243329,13,44,1,0,10,enzoyc121va61wtmjf4cm7p3d,1,28.2,37.2,2023-04-08T14:02:09.150Z,2023-04-08T14:03:32Z,4172270083,56,Back,4172270139,233,6,4172270087,285,,,,,,,,,,,,,,,,,4rsnyz3019rgfjdil1zs024t1,J. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
