id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2493042861,1,34,16,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2022-12-24T11:33:43.855Z,2022-12-24T12:57:35Z,3955046249,194,tywvq45nw3cobufa7zkhsq8l,3955046241,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3955046245,130,10,3955046253,197,1984,3955046243,59,"1, 14, 2, 4, 6, 13, 22, 34, 7, 37, 23, 5, 10, 11, 12, 17, 18, 21, 26, 29",3955046255,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955046247,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955046239,30,"3vt38r8n9081i3a4dj89lx905, 2ezi9zjj3pmt475woji11gi51, 1yqdq8dtuvh9wmn8cgyv3t8tl, cxjlus7adz4r6y0j3x5v2y0gl, tywvq45nw3cobufa7zkhsq8l, 4gxhbsq4ocdqnrj3yrro2jf11, 7xxqn9xu5izixdi9spsjf1t5h, d0ped35vke09xx92otkq63pm2, 27ldss0bvyuhn929cd0j8u47p, cqbhq4xh00uqxhenp0nc24xjp, a0cvnq9q83z3x0e1p938uu5ed, 9wjmsi05ex83iw3iy5bgkdrvu, 27exg4oaa7sym40hi0szdc05x, e5jvpbvdxhuq0m80bpqwv015h, 7bpoyv7zrd3ffl4j4e520jdud, 2r6suw717hgzqsp8ogvwdfk6h, 4l1wyg8j3u42b87477y3zm54a, c4g43ghalkakgcgv1jzaum11x, 1tbuc25mv5qc48uawml7aqu3t, cyg7icft0ojp9wdbyq9nlkwyd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493043145,1,34,16,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2022-12-24T11:40:24.495Z,2022-12-24T12:42:17Z,3955047727,197,804,3955047719,59,"1, 41, 3, 42, 20, 4, 33, 13, 8, 49, 38, 6, 7, 9, 11, 14, 17, 25, 31, 50",3955047715,30,"8grd4q334w1ud9vbb6vrli6z9, ed81nbya8j93qvelqdk79ustm, 9fd3uggpu2opd1cuiwskjbhm1, cx59kxpqiabi3c5vl9mxvlyhh, c4dvhy1z0op9iwj9aqdgzh0q1, cksi669gcnskpytzh70a43it, cm7l7qimy4iysm1khmpc7u961, axicg3mdtrur97rjz423pl8t1, 96vt6e4xjci5gll0ogsnlfg89, 26olsdd9erf8rahc8xfqz01xx, 4x7o9h6ea8ldt9sxgz87vwycp, bm5w5xsbbflm26pdhmejwgvs9, 84aebyqt0y9r2jjml4u1z0ij9, 8ydeghsg8bdyovqjnr56hz8x5, czazwj4nt23bydpdi67i0wga2, 9hoygyx51dhic09hlnhlsjend, a1q1se1i8ih65e94xswacghk9, 75fze9pkbgv3baqwnyqnzxbe, 52lu5mlc9xdqjzgh1ne86wtsl, 3wfftfv1vx04p0h6vs4iqloq2",3955047723,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955047725,194,cx59kxpqiabi3c5vl9mxvlyhh,3955047717,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3955047729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955047721,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493048355,2,32,1,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2022-12-24T12:32:15.492Z,2022-12-24T17:10:05Z,3955076259,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493048357,2,32,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2022-12-24T12:32:15.492Z,2022-12-24T12:32:17Z,3955076269,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493048369,3,1,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,50.1,49.9,2022-12-24T12:32:15.512Z,2022-12-24T17:19:35Z,3955076319,212,14.5,3955076315,140,36.9,3955076323,279,S,3955076313,56,Back,3955380071,178,,3955076321,213,2.8,3955076317,141,56.4,,,,a0cvnq9q83z3x0e1p938uu5ed,G. Carey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493048377,4,1,1,0,1,ez46dadmx0virt38cgeq2n6pf,1,40.2,51.8,2022-12-24T12:32:17.134Z,2022-12-24T23:01:38Z,3955380095,178,,3955076371,213,5.7,3955076369,212,40.8,3955076361,155,,3955076365,140,72.1,3955076375,1,,3955076363,56,Right,3955076367,141,17.6,cxjlus7adz4r6y0j3x5v2y0gl,A. Considine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493048379,5,44,1,0,4,ez46dadmx0virt38cgeq2n6pf,1,69.2,15,2022-12-24T12:32:19.862Z,2022-12-24T23:01:38Z,3955076381,56,Right,3955076393,233,3,3955076383,286,,,,,,,,,,,,,,,,,cqbhq4xh00uqxhenp0nc24xjp,N. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493048375,3,44,1,0,4,dvnjvad3p09dugr79gktlrtll,0,30.8,85,2022-12-24T12:32:19.863Z,2022-12-24T23:01:37Z,3955076399,233,5,3955076341,56,Back,3955076343,285,,,,,,,,,,,,,,,,,9fd3uggpu2opd1cuiwskjbhm1,G. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493048385,6,1,1,0,4,ez46dadmx0virt38cgeq2n6pf,0,67.8,14.9,2022-12-24T12:32:19.972Z,2022-12-24T23:01:37Z,3955076413,3,,3955380141,388,,3955076417,140,77.4,3955076421,212,12.9,3955076419,141,26.7,3955076423,213,0.7,3955076415,56,Center,,,,cqbhq4xh00uqxhenp0nc24xjp,N. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493048381,4,44,1,0,5,dvnjvad3p09dugr79gktlrtll,1,24.7,73.5,2022-12-24T12:32:21.382Z,2022-12-24T23:01:36Z,3955076391,285,,3955076675,233,9,3955076389,56,Back,,,,,,,,,,,,,,,,cx59kxpqiabi3c5vl9mxvlyhh,C. McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493048419,9,44,1,0,5,ez46dadmx0virt38cgeq2n6pf,0,75.3,26.5,2022-12-24T12:32:21.383Z,2022-12-24T23:01:36Z,3955076565,286,,3955076693,233,4,3955076563,56,Center,,,,,,,,,,,,,,,,27ldss0bvyuhn929cd0j8u47p,S. May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493048383,5,1,1,0,5,dvnjvad3p09dugr79gktlrtll,0,24.9,74,2022-12-24T12:32:21.463Z,2022-12-24T23:01:35Z,3955076407,141,68.1,3955076411,213,5.6,3955380201,388,,3955076403,56,Back,3955076405,140,29.8,3955076409,212,6.5,3955076401,3,,,,,cx59kxpqiabi3c5vl9mxvlyhh,C. McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493048399,7,1,1,0,8,ez46dadmx0virt38cgeq2n6pf,1,74,32,2022-12-24T12:32:23.819Z,2022-12-24T23:01:34Z,3955380315,178,,3955076465,56,Center,3955076469,141,28.8,3955076471,212,15.2,3955076467,140,88.3,3955076473,213,6.1,3955076463,155,,,,,cqbhq4xh00uqxhenp0nc24xjp,N. Clark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493048401,8,1,1,0,11,ez46dadmx0virt38cgeq2n6pf,0,91.4,26.5,2022-12-24T12:32:26.498Z,2022-12-24T23:01:34Z,3955076481,141,36.7,3955076477,56,Center,3955076485,213,1.8,3955076479,140,89.8,3955076483,212,7.1,3955380369,178,,,,,,,,27ldss0bvyuhn929cd0j8u47p,S. May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493048407,6,12,1,0,11,dvnjvad3p09dugr79gktlrtll,1,8.7,58.1,2022-12-24T12:32:27.162Z,2022-12-24T23:01:33Z,3955380415,178,,3955076515,141,100.0,3955076519,213,1.5,3955076511,56,Back,3955076517,212,30.1,3955076525,167,,3955076513,140,12.1,,,,cksi669gcnskpytzh70a43it,C. Starfelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493048409,7,5,1,0,14,dvnjvad3p09dugr79gktlrtll,0,13.6,102,2022-12-24T12:32:29.847Z,2022-12-24T17:20:12Z,3955076609,233,10,3955076521,56,Back,3955076523,347,,,,,,,,,,,,,,,,,cksi669gcnskpytzh70a43it,C. Starfelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493048427,10,5,1,0,14,ez46dadmx0virt38cgeq2n6pf,1,86.4,-2,2022-12-24T12:32:29.847Z,2022-12-24T17:20:12Z,3955076603,233,7,3955076601,347,,3955076599,56,Right,,,,,,,,,,,,,,,,27ldss0bvyuhn929cd0j8u47p,S. May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
