id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2511918317,1,34,16,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2023-02-25T13:58:18.729Z,2023-02-25T15:09:56Z,4054377937,30,"ddfwtazsntda1pah2l454py3t, 6o62deaqwdcrllc91hz09cct1, 4e49434kkv98sjq1byj8rnkh6, 6ne71gfjoez9m0tk8qozd8e3u, b9bkrtx5x0g403la5n3h17mxh, bos0z54lr710ov1ppq0rahje2, c4kxfrbrfedilykhbyak3e579, e8wxyqahq47qd1sfh2qniqac5, 8cpd4je0ku8wjumqeh3ruv10p, 9imvdvv7wnaknh1bc4ocun78q, bkehljspqbj6tz0peqjivkvai, 2ws74z0vjuq4vdt4575cgjbsa, 6xvw6n5wq8bcgg01i87rbfsgl, eh7p84iu66n1ehlisgttnhv1m, 7ie1bwuj4e18xy9bl6mszwt1, 1doiom8yk2hn6sn6orlcfypjp, su2h9bv6nhltjjkbz5s7lrdh, el8iinhsb8c12kgvng4idutat, cgcc0n4i0k8jc9tk8vwzgltsk, 1crz8xx50md5dang7twpdk0kp",4054377939,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4054377945,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054377951,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054377941,59,"19, 2, 3, 20, 27, 18, 16, 6, 9, 23, 11, 10, 1, 14, 15, 17, 22, 33, 36, 37",4054377949,197,7011,4054377947,194,e8wxyqahq47qd1sfh2qniqac5,4054377943,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511919395,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-02-25T14:00:28.560Z,2023-02-25T14:32:55Z,4054383699,194,z1apq9hkjp8l8jhpegacpwid,4054383703,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054383697,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054383693,59,"1, 2, 29, 8, 5, 6, 17, 24, 9, 16, 19, 3, 7, 12, 15, 18, 22, 23, 32, 34",4054383695,130,9,4054383701,197,2000,4054383691,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4054383689,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, 1swg0twoet2to70z38wo78b1l, 960mhrs3usnisl5jv0xzok3x1, dm0ktjgadvf89t9zsqybufnxl, 9ykuo0c905u48vd44wxgb6jth, 1mbcl4xzln2fyj0o3aapdhdrd, ddnwckj55fg870otjg9w9xyad, b0fuw7r17cq41awaoydw9bjl5, elmr3dbzcn0od1mflq6mc02ui, 48hhfwdy6qw1cjd1el8n9t591, 7hzc2m8h1ufacyazzxp1ove1h, 8gh8ocvon1ht6yxxdxaisfa39, f104wb7oezb00w1lmyebcow6h, 9mgoxb4nlse8gjbmcs0nh0dex, cwdqe0rv5dcshhfhke86j9z2t, 91z7xt6xuwgzt0jyg5owh6yfp, 7jn2vr9iq2cg2ui6oaww1i6i2, ejo44v1xeqrf9wsc1q3td4ul1, 6evoxkxb6m1xyavey4o7iix3o",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977149,2,32,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2023-02-25T15:00:39.725Z,2023-02-26T03:44:17Z,4054673731,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977161,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-02-25T15:00:39.725Z,2023-02-25T15:00:40Z,4054673779,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977221,3,1,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,50,50,2023-02-25T15:00:39.745Z,2023-02-26T04:58:58Z,4054674041,279,S,4054674031,56,Back,4057941065,178,,4054674035,141,37.6,4054674037,212,15.0,4054674033,140,38.2,4054674039,213,3.7,,,,6ne71gfjoez9m0tk8qozd8e3u,L. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977273,4,1,1,0,2,841zp0njrq63yv4fvw6lgf60q,0,36.4,40.3,2023-02-25T15:00:42.407Z,2023-02-26T04:59:07Z,4057941215,178,,4054674329,1,,4054674323,141,91.1,4054674327,213,0.8,4054674317,155,,4054674325,212,46.5,4054674321,140,66.0,4054674319,56,Left,b9bkrtx5x0g403la5n3h17mxh,A. MacDonald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977291,3,1,1,0,5,besu5lkqmra07drq1czpr0tk4,0,31.5,8.6,2023-02-25T15:00:45.296Z,2023-02-26T04:59:16Z,4057941347,388,,4054674389,56,Back,4054674387,3,,4054674393,141,25.6,4054674397,213,0.9,4054674391,140,39.7,4054674395,212,14.4,,,,elmr3dbzcn0od1mflq6mc02ui,S. Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977357,5,1,1,0,7,841zp0njrq63yv4fvw6lgf60q,1,59.3,83.5,2023-02-25T15:00:47.009Z,2023-02-26T05:05:10Z,4054674657,213,0.1,4054674653,141,85.4,4057948349,388,,4054674649,56,Left,4054674647,3,,4054674651,140,68.2,4054674655,212,9.4,,,,e8wxyqahq47qd1sfh2qniqac5,G. Shinnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977381,6,1,1,0,8,841zp0njrq63yv4fvw6lgf60q,0,68,84.5,2023-02-25T15:00:48.317Z,2023-02-26T05:05:18Z,4054674759,56,Center,4054674763,141,63.1,4054674757,3,,4054674767,213,5.1,4057948551,388,,4054674765,212,15.9,4054674761,140,74.0,,,,8cpd4je0ku8wjumqeh3ruv10p,B. Miovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511977515,4,1,1,0,10,besu5lkqmra07drq1czpr0tk4,1,21.5,38.8,2023-02-25T15:00:50.317Z,2023-02-26T05:05:28Z,4054675365,56,Back,4054675369,141,70.2,4057948893,178,,4054675363,3,,4054675367,140,29.1,4054675373,213,1.2,4054675371,212,22.8,,,,9ykuo0c905u48vd44wxgb6jth,A. Obileye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
