id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/9/value,qualifier/14/value,qualifier/12/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2446773473,790,67,1,0,8,759fhii7hsnldanli06j5jmf6,0,36.5,26.8,2022-08-13T14:01:39.428Z,2022-08-15T18:52:01Z,3709995177,233,1067,,,,,,,,,,,,,,,,,,,,,,4y27uf869xrujogawxtl9q0a1,B. Mugabi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445275803,8,1,1,0,8,841zp0njrq63yv4fvw6lgf60q,1,65,77.5,2022-08-13T14:01:39.462Z,2022-08-15T23:15:59Z,3701910471,212,9.8,3701910465,56,Left,3709905509,21,,3701910467,140,65.7,3709905507,178,,3701910473,213,1.5,3701910469,141,91.8,,,,8cpd4je0ku8wjumqeh3ruv10p,B. Miovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445275879,9,1,1,0,13,841zp0njrq63yv4fvw6lgf60q,1,62.6,89.1,2022-08-13T14:01:43.752Z,2022-08-15T18:16:17Z,3709906705,178,,3701910857,56,Center,3701910861,141,69.3,3701910859,140,58.2,3701910865,213,4.4,3701910863,212,14.2,,,,,,,1doiom8yk2hn6sn6orlcfypjp,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445275955,10,1,1,0,15,841zp0njrq63yv4fvw6lgf60q,1,57.5,67.3,2022-08-13T14:01:45.522Z,2022-08-15T18:16:24Z,3701911229,212,24.1,3701911231,213,4.5,3701911227,141,32.8,3701911223,56,Center,3709907045,178,,3701911225,140,52.3,,,,,,,6ne71gfjoez9m0tk8qozd8e3u,L. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445275995,11,1,1,0,17,841zp0njrq63yv4fvw6lgf60q,1,52.3,32.8,2022-08-13T14:01:47.984Z,2022-08-15T18:16:33Z,3701911431,56,Right,3709907485,178,,3701911439,213,5.2,3701911435,141,1.3,3701911433,140,63.5,3701911437,212,24.4,,,,,,,c4kxfrbrfedilykhbyak3e579,Y. Ramadani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445276051,12,1,1,0,20,841zp0njrq63yv4fvw6lgf60q,1,63.5,1.3,2022-08-13T14:01:50.540Z,2022-08-15T18:16:39Z,3701911655,212,16.5,3701911653,141,22.2,3701911657,213,2.1,3701911649,56,Center,3709907817,178,,3701911651,140,55.5,,,,,,,16x7shxmsfll6pytg8b8v0dbe,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445276297,13,1,1,0,22,841zp0njrq63yv4fvw6lgf60q,0,55.5,22.2,2022-08-13T14:01:52.874Z,2022-08-15T18:16:44Z,3701912665,140,29.3,3701912671,212,60.5,3701912663,56,Back,3701912667,141,100.0,3701912679,1,,3701912661,196,,3709908109,178,,3701912673,213,2.0,c4kxfrbrfedilykhbyak3e579,Y. Ramadani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445276845,3,5,1,0,27,759fhii7hsnldanli06j5jmf6,1,68.1,-1.5,2022-08-13T14:01:58.045Z,2022-08-15T18:16:47Z,3701915143,347,,3701915189,233,14,3701915141,56,Right,,,,,,,,,,,,,,,,dkk86y8pa3svtz43c0m55qn6x,C. Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445276315,14,5,1,0,27,841zp0njrq63yv4fvw6lgf60q,0,31.9,101.5,2022-08-13T14:01:58.045Z,2022-08-15T18:16:47Z,3701912741,347,,3701915251,233,3,3701912739,56,Back,,,,,,,,,,,,,,,,c4kxfrbrfedilykhbyak3e579,Y. Ramadani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445276895,4,1,1,0,46,759fhii7hsnldanli06j5jmf6,1,65.5,0,2022-08-13T14:02:16.915Z,2022-08-15T18:16:53Z,3701915405,213,2.6,3701915399,140,58.6,3701915403,212,8.7,3701915393,107,,3701915397,56,Right,3701915401,141,5.5,,,,,,,blmo7wrka5yrcckuu9owlwx5h,P. McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445276949,5,3,1,0,48,759fhii7hsnldanli06j5jmf6,1,59.2,8.1,2022-08-13T14:02:18.584Z,2022-08-15T18:17:00Z,3709908965,178,,3701915673,233,15,3701915657,286,,3703174519,464,,3701915653,56,Right,,,,,,,,,,cl8lua6yep85vpl25pdi0wfzd,C. Slattery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445276931,15,45,1,0,48,841zp0njrq63yv4fvw6lgf60q,0,40.8,91.9,2022-08-13T14:02:18.584Z,2022-08-15T18:17:00Z,3701915573,285,,3701915719,233,5,3701915571,56,Back,,,,,,,,,,,,,,,,6ne71gfjoez9m0tk8qozd8e3u,L. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445277005,6,1,1,0,49,759fhii7hsnldanli06j5jmf6,1,58.2,8.8,2022-08-13T14:02:20.269Z,2022-08-15T18:17:08Z,3701915951,212,23.3,3701915949,141,41.2,3701915953,213,1.9,3701915945,56,Center,3701915947,140,51.0,3709909297,178,,,,,,,,cl8lua6yep85vpl25pdi0wfzd,C. Slattery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445277135,7,1,1,0,51,759fhii7hsnldanli06j5jmf6,1,51.9,43,2022-08-13T14:02:22.303Z,2022-08-15T18:17:15Z,3709909501,178,,3701916567,140,45.6,3701916565,56,Back,3701916573,212,19.8,3701916569,141,70.5,3701916575,213,1.9,,,,,,,5z0g3l4s56p11t3wgrpjhko9h,S. Goss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445277287,8,1,1,0,54,759fhii7hsnldanli06j5jmf6,0,51,72.7,2022-08-13T14:02:25.020Z,2022-08-15T18:17:20Z,3701917355,213,0.4,3701917347,56,Left,3701917353,212,47.6,3701917357,1,,3709909657,178,,3701917351,141,100.0,3701917349,140,92.3,,,,5j7ekg9k304y36twun3me2w2d,S. O'Donnell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445277277,16,56,1,0,58,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-08-13T14:02:29.354Z,2022-08-15T18:17:25Z,3701917295,56,Back,,,,,,,,,,,,,,,,,,,,,,16x7shxmsfll6pytg8b8v0dbe,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445277299,9,5,1,0,59,759fhii7hsnldanli06j5jmf6,0,92.1,101.5,2022-08-13T14:02:30.289Z,2022-08-15T18:17:28Z,3701917401,347,,3701917399,56,Left,3701918217,233,17,,,,,,,,,,,,,,,,5j7ekg9k304y36twun3me2w2d,S. O'Donnell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
