id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/12/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId
2497215519,7,1,1,0,13,c9ky1957qli8v2lylfga7io8b,1,40.2,67.2,2023-01-14T15:02:58.650Z,2023-01-15T07:06:40Z,3977048793,140,37.1,3977048801,212,15.7,3977048797,141,44.6,3979025685,178,,3977048803,213,4.5,3977048791,56,Back,,,,,,,cx021j1n37kzienjdgd9qndka,R. Bushiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497215567,8,1,1,0,15,c9ky1957qli8v2lylfga7io8b,1,36.3,35.4,2023-01-14T15:03:00.850Z,2023-01-15T07:06:43Z,3977049045,212,18.1,3977049039,56,Back,3977049041,140,42.3,3977049047,213,5.1,3977049043,141,10.4,3979025729,178,,,,,,,,82m1eir9istcl9x5srqdrtca2,W. Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497215639,9,1,1,0,16,c9ky1957qli8v2lylfga7io8b,1,41.8,10.1,2023-01-14T15:03:01.914Z,2023-01-15T07:06:45Z,3977049379,140,32.2,3977049383,212,12.4,3979025765,178,,3977049381,141,20.6,3977049385,213,2.5,3977049377,56,Back,,,,,,,cugnsf9b6g823srxuux5jnofe,J. Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497215767,10,1,1,0,19,c9ky1957qli8v2lylfga7io8b,1,33.9,25.6,2023-01-14T15:03:04.579Z,2023-01-15T07:06:47Z,3977050081,56,Back,3979025781,178,,3977050089,213,1.8,3977050085,141,53.0,3977050083,140,29.8,3977050087,212,19.1,,,,,,,82m1eir9istcl9x5srqdrtca2,W. Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497215859,11,1,1,0,23,c9ky1957qli8v2lylfga7io8b,1,37,68.4,2023-01-14T15:03:08.003Z,2023-01-15T07:06:50Z,3977050565,213,1.3,3977050557,141,94.2,3977050553,140,41.5,3977050561,212,18.2,3977050549,56,Back,3979025845,178,,,,,,,,cx021j1n37kzienjdgd9qndka,R. Bushiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497216065,12,1,1,0,25,c9ky1957qli8v2lylfga7io8b,1,38.9,91.5,2023-01-14T15:03:10.835Z,2023-01-15T07:06:53Z,3977051617,141,79.3,3977051613,56,Back,3979025921,178,,3977051621,213,3.8,3977051615,140,29.0,3977051619,212,13.3,,,,,,,atx6lc3lltktph9wnqv5oihg5,L. Stevenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497216167,13,1,1,0,32,c9ky1957qli8v2lylfga7io8b,1,30,64.9,2023-01-14T15:03:17.339Z,2023-01-15T07:06:55Z,3977052139,140,26.4,3979025991,178,,3977052141,141,35.7,3977052145,213,4.5,3977052137,56,Back,3977052143,212,20.2,,,,,,,cx021j1n37kzienjdgd9qndka,R. Bushiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497216227,14,1,1,0,36,c9ky1957qli8v2lylfga7io8b,1,26.9,27.7,2023-01-14T15:03:21.241Z,2023-01-15T07:06:57Z,3979026029,178,,3977052443,140,30.9,3977052445,141,6.4,3977052451,212,15.1,3977052455,213,5.0,3977052441,56,Back,,,,,,,82m1eir9istcl9x5srqdrtca2,W. Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497216301,15,1,1,0,37,c9ky1957qli8v2lylfga7io8b,1,32.6,6.1,2023-01-14T15:03:22.897Z,2023-01-15T07:06:59Z,3977052811,56,Back,3979026087,178,,3977052815,141,27.6,3977052819,213,1.4,3977052817,212,15.0,3977052813,140,35.6,,,,,,,cugnsf9b6g823srxuux5jnofe,J. Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497216425,16,1,1,0,39,c9ky1957qli8v2lylfga7io8b,1,35.6,27.6,2023-01-14T15:03:24.001Z,2023-01-15T07:07:02Z,3977053423,140,25.6,3977053427,141,12.6,3977053433,213,3.9,3979026183,178,,3977053429,212,14.6,3977053421,56,Back,,,,,,,87dk4hxfl302jn9iu3vr9pckp,R. Porteous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497216603,17,1,1,0,43,c9ky1957qli8v2lylfga7io8b,1,26,16.4,2023-01-14T15:03:28.529Z,2023-01-15T07:07:05Z,3977054383,212,26.1,3977054379,140,6.6,3977054381,141,40.4,3979026217,178,,3977054385,213,2.5,3977054377,56,Back,,,,,,,82m1eir9istcl9x5srqdrtca2,W. Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497216647,18,1,1,0,48,c9ky1957qli8v2lylfga7io8b,1,10,39.5,2023-01-14T15:03:33.217Z,2023-01-15T07:07:07Z,3977054561,56,Back,3977054569,212,12.3,3977054573,213,0.0,3979026253,178,,3977054567,141,39.7,3977054563,140,21.7,,,,,,,bu7u0edo60hpre8wkhgw79gwl,D. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497216663,19,1,1,0,49,c9ky1957qli8v2lylfga7io8b,0,21.7,39.7,2023-01-14T15:03:34.261Z,2023-01-15T07:07:12Z,3977054651,140,19.1,3977054655,212,8.5,3977054647,56,Back,3977054657,213,4.4,3979026305,178,,3977054653,141,27.9,,,,,,,87dk4hxfl302jn9iu3vr9pckp,R. Porteous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497216683,5,49,1,0,49,4qdzzur2cuuridyb0jso8mksi,1,81.1,70.2,2023-01-14T15:03:34.633Z,2023-01-15T07:07:17Z,,,,,,,,,,,,,,,,,,,,,,,,,4sskvw16m8gh8al8vy0ephuc5,S. Fletcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497216859,6,1,1,0,52,4qdzzur2cuuridyb0jso8mksi,1,81.3,66.4,2023-01-14T15:03:36.958Z,2023-01-15T07:07:25Z,3977055775,212,8.0,3979026425,178,,3977055771,140,81.5,3977055777,213,4.7,3977058905,210,15,3977055769,56,Center,3977055773,141,54.6,,,,4sskvw16m8gh8al8vy0ephuc5,S. Fletcher,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497216871,7,15,1,0,54,4qdzzur2cuuridyb0jso8mksi,1,85.7,60,2023-01-14T15:03:39.828Z,2023-01-15T07:07:26Z,3977056633,233,20,3977055835,17,,3977058981,102,50.6,3977058977,55,6,3977058973,79,,3977055837,56,Center,3977055833,22,,3977058975,29,,epwyjoowg7wfojxxldoum9yhh,A. Djoum,,3979026533,178,3977058987,146,97.8,3977058983,103,28.5,3977058989,147,51.6,3977056581,72,3977058985,215,,,,,,,,,,,,,,,,,,,,
