id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/9/value,qualifier/10/value,keyPass,qualifier/15/value,assist,qualifier/17/value
2515785685,1,34,16,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-03-05T11:13:09.760Z,2023-03-05T11:28:14Z,4074801165,197,16947,4074801155,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4074801167,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074801157,59,"1, 2, 3, 42, 20, 4, 13, 41, 8, 17, 38, 9, 11, 14, 18, 19, 24, 29, 33, 56",4074801159,130,4,4074801161,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074801163,194,cx59kxpqiabi3c5vl9mxvlyhh,4074801153,30,"8grd4q334w1ud9vbb6vrli6z9, epwfc94g7m7ed1nbt9wbgo6ei, 9fd3uggpu2opd1cuiwskjbhm1, cx59kxpqiabi3c5vl9mxvlyhh, c4dvhy1z0op9iwj9aqdgzh0q1, cksi669gcnskpytzh70a43it, axicg3mdtrur97rjz423pl8t1, ed81nbya8j93qvelqdk79ustm, 96vt6e4xjci5gll0ogsnlfg89, a1q1se1i8ih65e94xswacghk9, 4x7o9h6ea8ldt9sxgz87vwycp, 8ydeghsg8bdyovqjnr56hz8x5, czazwj4nt23bydpdi67i0wga2, 9hoygyx51dhic09hlnhlsjend, 3g3x2ws0npu7aa51h4nx7nazu, 9qe7czo24c9hz308iuzgx9nxm, v6ddixs4xh5qjb67smsht23t, 9v2ru33bml5fpvpcbjhrahjv9, cm7l7qimy4iysm1khmpc7u961, cwmej1d313luxo30tav8ws3jd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515788881,1,34,16,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2023-03-05T11:19:06.335Z,2023-03-05T12:03:07Z,4074819541,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4074819549,194,3g3cjokfq1lnmycnv4t2gjaol,4074819547,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4074819545,130,12,4074819551,197,16369,4074819539,30,"b3rry494s23b8elnqn3b5s5x, 3jyid2g273zr668fxeeplegnp, 5d5ed49lj51ognhobfni5ngx6, ewlrnu90xe2127a1erxlz29qt, 9d2p89e7bftxqhk80hy9ldeqd, elt8lu5do3h4jcl9ujgaqlm1h, ctqn305re0qsih8mh5nufg89h, 3g3cjokfq1lnmycnv4t2gjaol, 4g4zufvyime7qp4ks4badls0k, 29zpgzbse1373d9bhj3l2ee39, 6lwrvaxo8k9t72aibrsf6cdex, 8fsd4fp4wx5o8oqmwdf9ppl91, dgrjf6wf81uuk32qxqunfoded, tj1jt0o03ionrc0h7279x2zu, 9stfaq0p7jw8269ms8ijc4a8l, 7yq6f41dcfzqz40hblj3j9905, 2p1887g4xd36ac2trpyf42wru, ek22ylba15mmsqdzeqlhm0bv8, dtxvjsp1yrr3njbg7b3l5fo4p, 6nm4j9c81rfkxyl9vfxvbscno",4074819543,59,"1, 23, 16, 18, 13, 22, 11, 6, 21, 10, 17, 3, 4, 5, 8, 9, 24, 25, 27, 30",4074819553,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811523,2,32,1,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-03-05T12:01:16.231Z,2023-03-05T12:01:16Z,4074937429,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811527,2,32,1,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2023-03-05T12:01:16.231Z,2023-03-05T17:30:06Z,4074937483,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811545,3,1,1,0,0,dvnjvad3p09dugr79gktlrtll,1,49.8,50,2023-03-05T12:01:16.250Z,2023-03-05T17:36:26Z,4074937559,140,43.5,4074937557,56,Back,4074937561,141,50.9,4074937567,279,S,4074937565,213,3.0,4076606781,178,,4074937563,212,6.6,,,,axicg3mdtrur97rjz423pl8t1,A. Mooy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811547,4,43,1,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2023-03-05T12:01:16.331Z,2023-03-05T12:02:17Z,4074937579,56,Center,4074937577,155,0,4074937589,279,S,4074937587,213,0.2,4074937581,140,62.8,4074937585,212,13.6,4074940803,144,1,4074937583,141,53.3,29zpgzbse1373d9bhj3l2ee39,C. Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811569,4,1,1,0,1,dvnjvad3p09dugr79gktlrtll,1,43.5,50.9,2023-03-05T12:01:17.607Z,2023-03-05T17:36:30Z,4074937683,141,84.1,4074937679,56,Back,4074937685,212,24.7,4074937681,140,34.0,4076607071,178,,4074937687,213,2.0,,,,,,,cx59kxpqiabi3c5vl9mxvlyhh,C. McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811543,3,43,1,0,1,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2023-03-05T12:01:17.699Z,2023-03-05T12:02:19Z,4074937555,56,Center,4074940903,144,61,,,,,,,,,,,,,,,,,,,29zpgzbse1373d9bhj3l2ee39,C. Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811553,5,43,1,0,2,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2023-03-05T12:01:18.611Z,2023-03-05T12:02:30Z,4074937601,56,Center,4074941521,144,61,,,,,,,,,,,,,,,,,,,29zpgzbse1373d9bhj3l2ee39,C. Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515811561,6,43,1,0,2,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2023-03-05T12:01:18.755Z,2023-03-05T12:02:31Z,4074937625,141,54.3,4074937627,212,1.1,4074937621,56,Center,4074937629,213,5.2,4074937619,155,0,4074937623,140,59.8,4074941601,144,1,,,,29zpgzbse1373d9bhj3l2ee39,C. Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
