id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/12/value,qualifier/14/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,qualifier/17/value,qualifier/18/value
2511923183,1,34,16,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2023-02-25T14:04:43.346Z,2023-02-25T14:58:46Z,4054402903,197,9048,4054402891,30,"4sjmv52glqhssplqouu2z8gkp, a5fpw5f7bvu01i8drfir8ugut, 319dgvwkm8di2r8oovefbxck5, epwyjoowg7wfojxxldoum9yhh, 9o2dyl3cbm2ni3874doydh49h, 2cic9rl1m8i7ut6ed7p0h1905, 2t4k430xmiekwb5khdwtg14h5, aqgrddi0lgqphjeksr0rkd0ph, 4sskvw16m8gh8al8vy0ephuc5, 1cfh2cg8i2f4cqd7fraos96fp, 86vsscrn4hhdlwlot6sj8pqfo, 3wgjzispcz53as7jxh8lh0y96, btdn91fhcdkiq2u93gqw32n6d, 629dgygro5n41ce8ulov5wwl, 6n8gmwjc9frk90mzpnf9xlkyy, 7qd78ivuyspmb0fno5vdetat, en7kanawhbmhl0736htwdnt9l, c99yg0ykkr6o17ykicw27e68k, 1q4eo8ovtzffi9nz1kms98161, aapofyop1alkvydfgckce9vkk",4054402895,59,"31, 2, 16, 10, 12, 4, 19, 14, 9, 18, 25, 27, 1, 3, 6, 7, 15, 20, 22, 44",4054402897,130,4,4054402899,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054402905,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054402901,194,9o2dyl3cbm2ni3874doydh49h,4054402893,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511929721,1,34,16,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2023-02-25T14:11:10.916Z,2023-02-25T15:23:09Z,4054437691,130,2,4054437695,194,43mi8uliaor1b9mejf33if1sl,4054437689,59,"1, 2, 16, 14, 5, 6, 29, 42, 26, 27, 10, 4, 8, 11, 15, 17, 21, 25, 30, 49",4054437697,197,1991,4054437699,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054437687,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4054437693,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054437685,30,"4lp29rlldfr9f8jx6e6qqfgt1, dl2j6mynj9b09ehi3ebi2fc2d, 1hoyso1oinr2bza4lxgkzdiax, 9ciad1fw48orv5aph9o83f6ne, 43mi8uliaor1b9mejf33if1sl, 3ka60g1o4fct4t2dc7394sr8p, 156hlg4mne48ct15fm5qtpjo5, cxxhe0dwp3wi35c28spse4l7u, 6aonl21cpvfg8ma7i00q9ho0l, 2r9hayi0ybenx2bj3hrhzbb9x, djjolbwunzmlob0chwp8x21g5, bxgp3jpqcyk794ty0zk0o9jv9, 1q9c3t3umg0yh0qop886eghxx, djn7515ev4uzfcvizndtrvzkl, cgonvdrm0gwjzrsz5fho4cwr9, f48c8vds4wpfu9wl7is4y3sgl, 1xcvcrq88be0efbkwgi7pirjd, alzbf0uxns1669kbn41xmxiad, atzpueujhh1u79b8ijhufob9w, 1wk872a75kcbsb3wsvu10iz2s",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978375,2,32,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2023-02-25T15:01:26.694Z,2023-02-25T15:01:28Z,4054679169,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978361,2,32,1,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2023-02-25T15:01:26.694Z,2023-02-25T22:06:19Z,4054679131,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978447,3,1,1,0,0,87coxipr6ls77tnlba3eselx0,1,50.3,49.9,2023-02-25T15:01:26.714Z,2023-02-26T02:23:53Z,4054679537,56,Back,4054679543,212,12.3,4054679541,141,52.2,4054679545,213,3.0,4057736883,178,,4054679539,140,38.7,4054679547,279,S,,,,djjolbwunzmlob0chwp8x21g5,Y. Dhanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978533,4,1,1,0,1,87coxipr6ls77tnlba3eselx0,0,40.9,50.7,2023-02-25T15:01:28.595Z,2023-02-26T02:24:16Z,4054679963,141,3.4,4054679957,155,,4054679969,1,,4054679967,213,5.5,4054679959,56,Right,4057737631,178,,4054679965,212,47.7,4054679961,140,74.4,9ciad1fw48orv5aph9o83f6ne,V. Loturi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978571,3,1,1,0,4,4qdzzur2cuuridyb0jso8mksi,0,24.5,93,2023-02-25T15:01:31.493Z,2023-02-26T02:24:26Z,4054680141,56,Back,4054680145,141,87.1,4054680139,3,,4054680147,212,9.1,4054680149,213,5.8,4057738135,388,,4054680143,140,32.3,,,,319dgvwkm8di2r8oovefbxck5,A. Behich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978671,5,1,1,0,6,87coxipr6ls77tnlba3eselx0,1,67,5.6,2023-02-25T15:01:32.902Z,2023-02-26T02:25:52Z,4054680583,3,,4054680591,212,7.0,4057742711,388,,4054680589,141,7.7,4054680587,140,73.5,4054680585,56,Right,4054680593,213,0.2,,,,dl2j6mynj9b09ehi3ebi2fc2d,C. Randall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512630497,913,83,1,0,8,4qdzzur2cuuridyb0jso8mksi,1,24.7,90,2023-02-25T15:01:34.788Z,2023-02-26T07:55:29Z,4058178825,399,57481,,,,,,,,,,,,,,,,,,,,,,aqgrddi0lgqphjeksr0rkd0ph,C. Sibbald,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511978693,6,1,1,0,8,87coxipr6ls77tnlba3eselx0,0,72.9,8.3,2023-02-25T15:01:34.800Z,2023-02-26T07:54:38Z,4054680671,56,Right,4057743327,178,,4054680675,141,2.6,4054680677,212,6.7,4054680679,213,3.8,4054680673,140,67.7,,,,,,,6aonl21cpvfg8ma7i00q9ho0l,J. White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
