id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2468826885,6,61,1,0,10,87coxipr6ls77tnlba3eselx0,0,51.1,54.8,2022-10-08T14:02:10.926Z,2022-10-11T20:11:08Z,3837351985,178,,3827158415,56,Center,,,,,,,,,,,,,,,,,,,bxgp3jpqcyk794ty0zk0o9jv9,D. Cancola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470737755,873,43,1,0,10,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-10-08T14:02:10.985Z,2022-10-11T20:35:30Z,3837436989,178,0,3837437325,144,82,,,,,,,,,,,,,,,,,,,8gh8ocvon1ht6yxxdxaisfa39,D. Bahamboula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468826869,6,3,1,0,11,besu5lkqmra07drq1czpr0tk4,0,45,40.6,2022-10-08T14:02:12.191Z,2022-10-11T20:11:15Z,3836831271,464,,3827158341,56,Back,3837352429,178,,3827287159,233,15,3827286689,286,,,,,,,,,,,8gh8ocvon1ht6yxxdxaisfa39,D. Bahamboula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468829389,15,7,1,0,11,87coxipr6ls77tnlba3eselx0,1,55,59.4,2022-10-08T14:02:12.281Z,2022-10-11T20:11:20Z,3836831327,383,,3827170731,285,,3837352825,178,,3827287107,233,6,3827170729,56,Center,,,,,,,,,,bxgp3jpqcyk794ty0zk0o9jv9,D. Cancola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468827265,7,1,1,0,16,87coxipr6ls77tnlba3eselx0,1,43.1,68.5,2022-10-08T14:02:17.173Z,2022-10-11T20:11:26Z,3827160277,212,24.1,3827160271,56,Back,3827160275,141,36.3,3837353343,178,,3827160273,140,33.6,3827160279,213,4.3,,,,,,,bxgp3jpqcyk794ty0zk0o9jv9,D. Cancola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468827335,8,1,1,0,20,87coxipr6ls77tnlba3eselx0,0,33.9,33.7,2022-10-08T14:02:21.594Z,2022-10-11T20:11:30Z,3827160591,155,,3837353609,178,,3827160619,213,6.0,3827160613,212,44.1,3827160595,56,Right,3827160625,1,,3827160607,141,17.9,3827160601,140,74.6,43mi8uliaor1b9mejf33if1sl,J. Baldwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468827405,7,1,1,0,22,besu5lkqmra07drq1czpr0tk4,1,32.5,79.4,2022-10-08T14:02:23.021Z,2022-10-11T20:11:35Z,3837353985,178,,3827160975,3,,3827160991,212,23.1,3827160987,141,87.8,3827160979,56,Left,3827160993,213,0.3,3827160983,140,53.8,,,,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468827429,8,61,1,0,23,besu5lkqmra07drq1czpr0tk4,0,53.8,87.8,2022-10-08T14:02:24.368Z,2022-10-11T20:11:41Z,3827161111,56,Left,3837354297,178,,,,,,,,,,,,,,,,,,,,48hhfwdy6qw1cjd1el8n9t591,J. Nouble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468827467,9,1,1,0,24,87coxipr6ls77tnlba3eselx0,0,44,6.2,2022-10-08T14:02:24.872Z,2022-10-11T20:11:47Z,3827161281,56,Right,3827161287,212,24.6,3837354769,178,,3827161285,141,7.0,3827161283,140,67.4,3827161289,213,0.0,,,,,,,cgonvdrm0gwjzrsz5fho4cwr9,K. Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470738507,874,67,1,0,25,besu5lkqmra07drq1czpr0tk4,1,38.9,89.3,2022-10-08T14:02:25.690Z,2022-10-11T21:18:04Z,3837441041,233,708,,,,,,,,,,,,,,,,,,,,,,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
