id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2467625445,1,34,16,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2022-10-05T17:53:42.784Z,2022-10-05T18:53:12Z,3820786149,197,1983,3820786139,59,"1, 14, 2, 4, 6, 5, 22, 13, 37, 7, 21, 3, 10, 11, 12, 16, 17, 26, 27, 29",3820786137,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3820786143,130,10,3820786135,30,"3vt38r8n9081i3a4dj89lx905, 2ezi9zjj3pmt475woji11gi51, 1yqdq8dtuvh9wmn8cgyv3t8tl, cxjlus7adz4r6y0j3x5v2y0gl, tywvq45nw3cobufa7zkhsq8l, 9wjmsi05ex83iw3iy5bgkdrvu, 7xxqn9xu5izixdi9spsjf1t5h, 4gxhbsq4ocdqnrj3yrro2jf11, cqbhq4xh00uqxhenp0nc24xjp, 27ldss0bvyuhn929cd0j8u47p, c4g43ghalkakgcgv1jzaum11x, 7f0r99zrqykjuoz0bqlintbzd, 27exg4oaa7sym40hi0szdc05x, e5jvpbvdxhuq0m80bpqwv015h, 7bpoyv7zrd3ffl4j4e520jdud, 2rcg4teem594t3w6tcn2rb84p, 2r6suw717hgzqsp8ogvwdfk6h, 1tbuc25mv5qc48uawml7aqu3t, dc1kk0l9t57lspx5qzzbscm0a, cyg7icft0ojp9wdbyq9nlkwyd",3820786147,194,tywvq45nw3cobufa7zkhsq8l,3820786151,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3820786145,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467627957,1,34,16,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2022-10-05T18:02:33.241Z,2022-10-05T18:08:19Z,3820797601,194,2spu2yn887lywqw2vrg3evhlh,3820797603,197,1978,3820797599,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3820797605,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3820797597,130,8,3820797595,59,"1, 2, 33, 8, 5, 6, 11, 4, 28, 7, 10, 26, 9, 17, 19, 20, 21, 27, 31, 32",3820797591,30,"1fkrvnzbrb9s0qojjhc8edpm1, 9coe01drgpmlz3ee9qfond815, 1wmfn9bky6owvj3jc4iftsxnu, dggymph6p6xe8s3h2hae5p5g5, 2c89yb9spduwcxl7lrhckru1h, 1pt1yc4fl9oxxsaoeq1cm3xzp, 9z0xcc7yot7royqle0nn6fdn9, 2spu2yn887lywqw2vrg3evhlh, bl8p4bg9mwh2ugsxgg4x0pzo5, 8q0nnrx7ru205zepoqv7lm579, 6ta1shg2pfj5cchdod1xdtvbp, 71xg650qcs8yibhrumgvdejth, n4ml5xifvll22bpq68ld4auh, atf7aycphllb4i8h9jnld4bmd, 4rsnyz3019rgfjdil1zs024t1, 91m838lynz6db94q8ufcqk91x, 3svpmpx5tb4ekuewkh79l2up5, b3s3d69kycsfhgk4fslp7s1d5, ek2ub5dvlisn73a45n3gwj2s5, ezeh61gnr3b1b33rlhdg459be",3820797593,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467638893,2,32,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2022-10-05T18:45:21.829Z,2022-10-05T18:45:28Z,3820842045,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467638895,2,32,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2022-10-05T18:45:21.829Z,2022-10-05T23:37:55Z,3820842049,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467658463,416,1,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,50.4,50.1,2022-10-05T18:45:21.835Z,2022-10-06T05:32:31Z,3820956289,141,54.5,3820956295,279,S,3820956285,56,Back,3820956287,140,29.7,3821801585,178,,3820956293,213,3.0,3820956291,212,21.9,,,,27ldss0bvyuhn929cd0j8u47p,S. May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467658477,417,1,1,0,1,ez46dadmx0virt38cgeq2n6pf,0,39.2,51,2022-10-05T18:45:23.496Z,2022-10-06T05:32:31Z,3820956381,213,5.5,3820956383,1,,3820956375,140,68.5,3820956377,141,7.0,3820956371,157,,3820956373,56,Right,3821801591,178,,3820956379,212,42.9,tywvq45nw3cobufa7zkhsq8l,L. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467638907,3,1,1,0,4,enzoyc121va61wtmjf4cm7p3d,0,33.2,92.4,2022-10-05T18:45:26.312Z,2022-10-06T05:33:21Z,3821802459,388,,3820842093,141,90.2,3820842091,140,55.4,3820842097,213,6.2,3820842087,3,,3820842095,212,23.4,3820842089,56,Left,,,,1wmfn9bky6owvj3jc4iftsxnu,B. Chrisene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467638913,3,1,1,0,7,ez46dadmx0virt38cgeq2n6pf,0,56.8,7.3,2022-10-05T18:45:29.093Z,2022-10-06T05:36:50Z,3820842125,157,,3820842127,56,Center,3820842137,1,,3820842129,140,73.3,3820842135,213,0.8,3821806479,178,,3820842131,141,31.3,3820842133,212,23.8,2ezi9zjj3pmt475woji11gi51,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467658809,418,1,1,0,7,ez46dadmx0virt38cgeq2n6pf,0,38.2,7.4,2022-10-05T18:45:29.100Z,2022-10-06T05:32:44Z,3820958169,141,47.6,3820958173,213,0.6,3820958171,212,46.0,3820958175,1,,3821801847,178,,3820958163,155,,3820958165,56,Center,3820958167,140,73.4,9wjmsi05ex83iw3iy5bgkdrvu,A. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467638917,4,1,1,0,10,enzoyc121va61wtmjf4cm7p3d,0,27.5,62.1,2022-10-05T18:45:31.906Z,2022-10-06T05:34:45Z,3820842149,56,Back,3821803885,388,,3820842157,213,6.0,3820842155,212,13.9,3820842151,140,40.1,3820842153,141,55.8,3820842147,3,,,,,2c89yb9spduwcxl7lrhckru1h,A. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
