id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/11/value,assist,qualifier/12/value,qualifier/13/value,qualifier/16/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2440115935,1,34,16,0,0,cnnku8uihko7u4th0fms4pvg6,1,0,0,2022-07-30T10:07:36.740Z,2022-07-30T10:59:02Z,3674371453,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3674494529,197,14964,3674371457,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3674371447,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3674371449,59,"33, 2, 31, 4, 6, 16, 23, 18, 9, 11, 14, 1, 8, 10, 19, 30, 37, 43, 64, 71",3674371451,130,8,3674371455,194,4kpf2eyjqmax3f676dmhh9e51,3674371445,30,"60ahvhvx30iw7abq1hxrzd0wl, 4kpf2eyjqmax3f676dmhh9e51, ehj0z1y90uxmn8gdvaoldk1cl, 90qai3k7otbuwrry224ki1f4l, dy1z4i2jsbeswei0ha2n39c5x, 4omwvnw9p46nfg7by0amh2hh, 9weodc9tdqcm2dg6cg6wyx785, 90ibgoec1k1npb1odsqwpfx1, 12vo1l1xngzwi7kndbnyzfbv9, 643b413dyyhat62izfe0s6jmd, 95pgrmkq8cn94eo5y26hp4s7p, 54u4k9lzcugph99091xt282j9, 8vom1gwu040ty00c6ps3r2sph, 2hspu41ocnru322bdzom7rp, 7ush9a10cc79gudlog12crt9l, 5p8y1fedi7alsnrdwg7lmw99l, 4f2bppk56sa7dqgw652x0fzdh, alzo6b4olqf8djtphk32e0f3e, 4bu8zoar377u6mvwfqf46rt62, 25vb30mtetefhp3ix26nlhx0q",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440118259,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-07-30T10:12:05.428Z,2022-07-30T11:09:08Z,3674385163,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3674385171,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3674385169,130,7,3674500307,194,z1apq9hkjp8l8jhpegacpwid,3674385161,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, 8d9kq8ab5olsc1w1swicqemay, ddnwckj55fg870otjg9w9xyad, dm0ktjgadvf89t9zsqybufnxl, 9ykuo0c905u48vd44wxgb6jth, 960mhrs3usnisl5jv0xzok3x1, 73grc910ff9auyze63pgtoet, 48hhfwdy6qw1cjd1el8n9t591, cwdqe0rv5dcshhfhke86j9z2t, 91z7xt6xuwgzt0jyg5owh6yfp, 7hzc2m8h1ufacyazzxp1ove1h, 8gh8ocvon1ht6yxxdxaisfa39, b0fuw7r17cq41awaoydw9bjl5, db1hineo65ck1zyg8kjtl5iad, f104wb7oezb00w1lmyebcow6h, 479uurcrsfgf497b1ir46is45, 30rdwhst7nkhr03fixpqyibit, 6xxz0du2vvp6farrdvs02e8k5",3674385165,59,"1, 2, 25, 24, 5, 6, 8, 33, 19, 18, 22, 3, 7, 9, 11, 12, 14, 20, 31",3674496243,197,1999,3674385173,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440138613,3,32,1,0,0,cnnku8uihko7u4th0fms4pvg6,1,0,0,2022-07-30T11:00:31.662Z,2022-07-30T11:00:32Z,3674497117,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440138619,3,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-07-30T11:00:31.662Z,2022-07-30T16:15:52Z,3674497133,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440138645,4,1,1,0,0,cnnku8uihko7u4th0fms4pvg6,1,49.9,50.1,2022-07-30T11:00:31.712Z,2022-07-30T17:55:50Z,3674497233,212,21.3,3674497227,56,Back,3674497237,279,S,3674497229,140,29.7,3674497231,141,47.5,3674497235,213,3.2,3676189467,178,,,,,12vo1l1xngzwi7kndbnyzfbv9,A. Čolak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440138659,5,1,1,0,3,cnnku8uihko7u4th0fms4pvg6,1,29.6,51.8,2022-07-30T11:00:34.985Z,2022-07-30T17:56:11Z,3674497273,56,Back,3676189569,178,,3674497279,212,12.7,3674497281,213,1.9,3674497277,141,69.3,3674497275,140,25.4,,,,,,,dy1z4i2jsbeswei0ha2n39c5x,C. Goldson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440138663,6,1,1,0,5,cnnku8uihko7u4th0fms4pvg6,1,25.7,70.8,2022-07-30T11:00:37.135Z,2022-07-30T17:56:18Z,3674497305,140,35.6,3676189657,178,,3674497303,56,Back,3674497311,213,0.9,3674497307,141,90.9,3674497309,212,17.2,,,,,,,4omwvnw9p46nfg7by0amh2hh,J. Souttar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440138675,7,1,1,0,8,cnnku8uihko7u4th0fms4pvg6,1,34.7,88.6,2022-07-30T11:00:39.994Z,2022-07-30T17:56:23Z,3674497369,212,14.2,3674497365,140,26.9,3674497367,141,71.5,3676190243,178,,3674497371,213,4.1,3674497363,56,Back,,,,,,,ehj0z1y90uxmn8gdvaoldk1cl,B. Barišić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440138689,8,1,1,0,11,cnnku8uihko7u4th0fms4pvg6,1,26.5,63.4,2022-07-30T11:00:42.818Z,2022-07-30T17:56:31Z,3674497417,56,Back,3674497425,213,4.9,3674497419,140,29.8,3674497421,141,32.2,3674497423,212,21.5,3676190415,178,,,,,,,,4omwvnw9p46nfg7by0amh2hh,J. Souttar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440138707,9,1,1,0,15,cnnku8uihko7u4th0fms4pvg6,1,32.6,28.9,2022-07-30T11:00:47.475Z,2022-07-30T17:56:39Z,3674497509,213,1.5,3674497507,212,17.1,3676190629,178,,3674497503,140,34.0,3674497505,141,53.9,3674497501,56,Back,,,,,,,dy1z4i2jsbeswei0ha2n39c5x,C. Goldson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
