id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value
2465492139,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-10-01T13:15:03.968Z,2022-10-01T14:02:55Z,3809354589,197,1999,3809354593,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809354575,30,"cgu73urupkapqq9bnl17s8tt5, 8gh8ocvon1ht6yxxdxaisfa39, 1swg0twoet2to70z38wo78b1l, ddnwckj55fg870otjg9w9xyad, 9ykuo0c905u48vd44wxgb6jth, z1apq9hkjp8l8jhpegacpwid, 73grc910ff9auyze63pgtoet, cwdqe0rv5dcshhfhke86j9z2t, djyjh9vs99rm6pfm2ofhwfd91, 48hhfwdy6qw1cjd1el8n9t591, 960mhrs3usnisl5jv0xzok3x1, 7hzc2m8h1ufacyazzxp1ove1h, b0fuw7r17cq41awaoydw9bjl5, f104wb7oezb00w1lmyebcow6h, 9mgoxb4nlse8gjbmcs0nh0dex, 1mbcl4xzln2fyj0o3aapdhdrd, 91z7xt6xuwgzt0jyg5owh6yfp, 8d9kq8ab5olsc1w1swicqemay, 6xxz0du2vvp6farrdvs02e8k5, ejo44v1xeqrf9wsc1q3td4ul1",3809354577,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809354583,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809354585,194,z1apq9hkjp8l8jhpegacpwid,3809354579,59,"1, 7, 29, 24, 6, 2, 33, 18, 28, 19, 8, 3, 9, 12, 15, 17, 22, 25, 31, 32",3809354581,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465492195,1,34,16,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2022-10-01T13:15:07.202Z,2022-10-01T13:48:04Z,3809354879,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809354881,59,"1, 22, 3, 18, 31, 13, 17, 16, 7, 11, 6, 30, 4, 8, 12, 15, 21, 23, 27, 32",3809354891,197,2005,3809354877,30,"b3rry494s23b8elnqn3b5s5x, elt8lu5do3h4jcl9ujgaqlm1h, 8fsd4fp4wx5o8oqmwdf9ppl91, ewlrnu90xe2127a1erxlz29qt, 9n6jx9s4eip7mgken67i9oyc5, 9d2p89e7bftxqhk80hy9ldeqd, 6lwrvaxo8k9t72aibrsf6cdex, cz9jf3ozld7o0hns2xmn54b56, 3n02ng7medocg9rmg70pw2j1l, ctqn305re0qsih8mh5nufg89h, 3g3cjokfq1lnmycnv4t2gjaol, 6nm4j9c81rfkxyl9vfxvbscno, dgrjf6wf81uuk32qxqunfoded, 9stfaq0p7jw8269ms8ijc4a8l, eabkzadgzvnw3xb7k1hjppsoa, buzr2irzyzx8zdt1rasijxrtg, 4g4zufvyime7qp4ks4badls0k, 3jyid2g273zr668fxeeplegnp, dtxvjsp1yrr3njbg7b3l5fo4p, 6550eub0qoudw8d846theawpg",3809354883,130,10,3809354887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809354893,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809354889,194,3g3cjokfq1lnmycnv4t2gjaol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535787,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-10-01T14:01:02.576Z,2022-10-01T14:01:02Z,3809575411,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535811,2,32,1,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2022-10-01T14:01:02.576Z,2022-10-01T18:45:00Z,3809575513,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465535859,3,1,1,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,49.9,49.7,2022-10-01T14:01:02.627Z,2022-10-01T19:01:57Z,3811785545,178,,3809575801,213,2.8,3809575795,212,26.2,3809575791,140,26.8,3809575805,279,S,3809575793,141,64.3,3809575789,56,Back,,,,ctqn305re0qsih8mh5nufg89h,G. Kiltie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536097,4,1,1,0,2,muo4d1nfi1vgyvz5n07tjmoo,1,33.8,57.5,2022-10-01T14:01:05.560Z,2022-10-01T19:02:07Z,3809576881,141,4.0,3809576879,140,70.9,3809576885,212,53.3,3811786219,178,,3809576875,155,,3809576897,1,,3809576877,56,Right,3809576891,213,5.5,ewlrnu90xe2127a1erxlz29qt,C. Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536125,5,1,1,0,6,muo4d1nfi1vgyvz5n07tjmoo,0,70.9,4,2022-10-01T14:01:09.409Z,2022-10-01T19:02:21Z,3809577021,140,75.8,3809577025,141,24.4,3811787299,388,,3809577019,56,Center,3809577027,212,14.8,3809577029,213,1.2,3809577017,3,,,,,elt8lu5do3h4jcl9ujgaqlm1h,M. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536197,3,1,1,0,8,besu5lkqmra07drq1czpr0tk4,0,20.5,75.6,2022-10-01T14:01:10.788Z,2022-10-01T19:02:36Z,3809577335,140,38.6,3809577343,1,,3809577331,157,,3809577341,213,6.2,3809577337,141,72.7,3809577333,56,Back,3809577339,212,19.1,3811788157,178,,9ykuo0c905u48vd44wxgb6jth,A. Obileye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536221,6,44,1,0,10,muo4d1nfi1vgyvz5n07tjmoo,1,63.2,22.6,2022-10-01T14:01:13.149Z,2022-10-02T05:10:47Z,3809577481,233,4,3809577445,286,,3809577443,56,Center,,,,,,,,,,,,,,,,cz9jf3ozld7o0hns2xmn54b56,E. Erhahon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536205,4,44,1,0,10,besu5lkqmra07drq1czpr0tk4,0,36.8,77.4,2022-10-01T14:01:13.150Z,2022-10-01T19:02:50Z,3809577383,56,Back,3809577629,233,6,3809577385,285,,,,,,,,,,,,,,,,,960mhrs3usnisl5jv0xzok3x1,S. Pittman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536241,7,1,1,0,10,muo4d1nfi1vgyvz5n07tjmoo,0,65.1,18,2022-10-01T14:01:13.212Z,2022-10-02T05:10:47Z,3809577539,56,Right,3809577537,3,,3809577541,140,72.1,3809577545,212,7.4,3811789345,388,,3809577543,141,17.6,3809577547,213,6.2,,,,cz9jf3ozld7o0hns2xmn54b56,E. Erhahon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536273,5,8,1,0,12,besu5lkqmra07drq1czpr0tk4,1,28.4,76,2022-10-01T14:01:14.578Z,2022-10-01T19:03:44Z,3811064677,383,,3809577661,56,Back,3811792393,178,,,,,,,,,,,,,,,,,cwdqe0rv5dcshhfhke86j9z2t,J. Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466229661,649,43,1,0,12,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2022-10-01T14:01:15.189Z,2022-10-02T04:40:45Z,3813353827,178,0,3813353891,144,82,,,,,,,,,,,,,,,,,,,6lwrvaxo8k9t72aibrsf6cdex,K. Baccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536347,8,1,1,0,12,muo4d1nfi1vgyvz5n07tjmoo,1,72.1,15.8,2022-10-01T14:01:15.228Z,2022-10-01T19:04:05Z,3809578001,213,4.3,3809577999,212,8.8,3809577997,141,4.0,3809577993,56,Right,3811794103,178,,3809577995,140,68.6,,,,,,,6lwrvaxo8k9t72aibrsf6cdex,K. Baccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536373,9,1,1,0,13,muo4d1nfi1vgyvz5n07tjmoo,0,68.6,4,2022-10-01T14:01:16.508Z,2022-10-01T19:04:15Z,3809578097,140,72.9,3809578103,213,0.9,3809578101,212,6.9,3809578095,56,Right,3811794775,178,,3809578099,141,11.7,,,,,,,elt8lu5do3h4jcl9ujgaqlm1h,M. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536355,6,49,1,0,15,besu5lkqmra07drq1czpr0tk4,1,26.5,83.8,2022-10-01T14:01:18.308Z,2022-10-01T19:04:46Z,,,,,,,,,,,,,,,,,,,,,,,,,cwdqe0rv5dcshhfhke86j9z2t,J. Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536447,7,4,1,0,16,besu5lkqmra07drq1czpr0tk4,1,26.6,87.2,2022-10-01T14:01:19.036Z,2022-10-01T19:04:51Z,3809578521,233,10,3809578451,285,,3809578449,265,,3809578445,56,Back,3809578447,152,,3809578443,13,,,,,,,,cwdqe0rv5dcshhfhke86j9z2t,J. Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465536441,10,4,1,0,16,muo4d1nfi1vgyvz5n07tjmoo,0,73.4,12.8,2022-10-01T14:01:19.037Z,2022-10-01T19:04:50Z,3809578611,233,7,3809578409,56,Right,3809578407,13,,3809578413,265,,3811797497,178,,3809578415,286,,3809578411,152,,,,,3n02ng7medocg9rmg70pw2j1l,J. Ayunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465537317,8,1,1,0,36,besu5lkqmra07drq1czpr0tk4,1,21.1,93.2,2022-10-01T14:01:39.279Z,2022-10-01T19:04:59Z,3809582561,56,Center,3809582555,5,,3809582571,1,,3809582565,141,77.6,3809582567,212,56.9,3809582563,140,74.3,3809582557,157,,3811798295,178,,cgu73urupkapqq9bnl17s8tt5,S. George,3809582569,213,6.1,3809582559,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465537325,11,4,1,0,40,muo4d1nfi1vgyvz5n07tjmoo,1,27.8,26,2022-10-01T14:01:43.347Z,2022-10-01T19:05:22Z,3809582613,13,,3809582617,152,,3809582929,233,9,3809582615,56,Back,3809582621,285,,3809582619,265,,,,,,,,9n6jx9s4eip7mgken67i9oyc5,D. Gallagher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465537331,9,4,1,0,40,besu5lkqmra07drq1czpr0tk4,0,72.2,74,2022-10-01T14:01:43.348Z,2022-10-01T19:05:21Z,3809582639,13,,3809582997,233,11,3809582647,286,,3809582643,152,,3809582641,56,Center,3811800151,178,,3809582645,265,,,,,djyjh9vs99rm6pfm2ofhwfd91,K. Guthrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465538147,12,1,1,0,57,muo4d1nfi1vgyvz5n07tjmoo,1,25.4,31.8,2022-10-01T14:02:00.009Z,2022-10-01T19:05:35Z,3809586757,1,,3811801413,178,,3809586755,213,0.6,3809586749,140,69.9,3809586745,152,,3809586747,56,Center,3809586739,5,,3809586753,212,55.6,b3rry494s23b8elnqn3b5s5x,T. Carson,3809586751,141,76.1,3809586743,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465538167,13,61,1,1,1,muo4d1nfi1vgyvz5n07tjmoo,0,69.8,76.1,2022-10-01T14:02:04.369Z,2022-10-01T19:05:49Z,3809586849,56,Center,3811802349,178,,,,,,,,,,,,,,,,,,,,8fsd4fp4wx5o8oqmwdf9ppl91,S. Tanser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465538285,10,1,1,1,3,besu5lkqmra07drq1czpr0tk4,1,25.5,43.6,2022-10-01T14:02:05.789Z,2022-10-01T19:06:00Z,3809587439,212,20.6,3809587431,157,,3809587443,1,,3809587435,140,45.1,3809587441,213,6.3,3809587433,56,Back,3809587437,141,42.8,3811803327,178,,9ykuo0c905u48vd44wxgb6jth,A. Obileye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465538297,11,49,1,1,6,besu5lkqmra07drq1czpr0tk4,1,43.8,42.8,2022-10-01T14:02:09.048Z,2022-10-01T19:06:18Z,,,,,,,,,,,,,,,,,,,,,,,,,djyjh9vs99rm6pfm2ofhwfd91,K. Guthrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465538429,12,1,1,1,6,besu5lkqmra07drq1czpr0tk4,1,43.7,42.8,2022-10-01T14:02:09.169Z,2022-10-01T19:06:24Z,3809588119,212,8.9,3809588109,56,Back,3811805029,178,,3809588123,213,3.6,3809588115,141,37.1,3809588111,140,36.1,,,,,,,djyjh9vs99rm6pfm2ofhwfd91,K. Guthrie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465538775,13,1,1,1,9,besu5lkqmra07drq1czpr0tk4,1,39.2,35.2,2022-10-01T14:02:11.809Z,2022-10-01T19:06:34Z,3809589909,212,25.4,3809589905,140,57.2,3809589911,213,5.6,3809589907,141,10.3,3809589903,56,Right,3811806003,178,,,,,,,,73grc910ff9auyze63pgtoet,S. Oméonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465538939,14,1,1,1,18,besu5lkqmra07drq1czpr0tk4,1,88.9,17.6,2022-10-01T14:02:20.828Z,2022-10-01T19:06:48Z,3809590665,155,,3811807135,178,,3809590671,141,63.9,3809590673,212,32.5,3809590667,56,Center,3809590669,140,96.6,3811071889,224,,3809590675,213,1.3,8gh8ocvon1ht6yxxdxaisfa39,D. Bahamboula,3809590677,1,,3809590663,2,3811071891,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465538991,15,1,1,1,20,besu5lkqmra07drq1czpr0tk4,1,96.6,63.9,2022-10-01T14:02:23.080Z,2022-10-01T19:07:10Z,3809590869,213,2.8,3811809159,388,,3809590859,3,,3809590867,212,9.8,3809590863,140,87.9,3809590865,141,69.3,3809590861,56,Center,,,,1swg0twoet2to70z38wo78b1l,J. Penrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465539019,16,1,1,1,23,besu5lkqmra07drq1czpr0tk4,1,87.9,69.3,2022-10-01T14:02:25.580Z,2022-10-01T19:07:24Z,3809590997,212,15.9,3809590993,140,74.3,3809590999,213,3.6,3809590991,56,Center,3809590995,141,59.0,3811810317,178,,,,,,,,48hhfwdy6qw1cjd1el8n9t591,J. Nouble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465539117,17,1,1,1,24,besu5lkqmra07drq1czpr0tk4,1,74.3,59,2022-10-01T14:02:27.339Z,2022-10-01T19:07:42Z,3809591445,213,0.8,3809591437,140,87.9,3809591435,56,Left,3809591443,212,21.3,3809591439,141,82.3,3811811837,178,,,,,,,,cwdqe0rv5dcshhfhke86j9z2t,J. Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465539139,18,1,1,1,26,besu5lkqmra07drq1czpr0tk4,0,88.8,84.7,2022-10-01T14:02:29.400Z,2022-10-01T19:08:03Z,3809591609,233,14,3809591525,213,4.8,3809591513,2,,3809591607,236,,3809591613,286,,3809591521,141,78.5,3811074017,20,,3809591515,155,,48hhfwdy6qw1cjd1el8n9t591,J. Nouble,3809591523,212,4.2,3811074015,223,3809591517,56,Center,3811813545,178,3809591519,140,89.1,,,,,,,,,,,,,,,,,,,,,,
2465539145,14,12,1,1,26,muo4d1nfi1vgyvz5n07tjmoo,1,10.8,25.3,2022-10-01T14:02:29.535Z,2022-10-01T19:08:16Z,3809591651,233,18,3811814361,178,,3809591545,185,,3809591549,56,Back,,,,,,,,,,,,,elt8lu5do3h4jcl9ujgaqlm1h,M. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465539403,19,1,1,1,31,besu5lkqmra07drq1czpr0tk4,0,88.2,82.8,2022-10-01T14:02:34.049Z,2022-10-01T19:08:38Z,3809592805,141,79.1,3811076399,20,,3809592807,212,2.9,3811816051,178,,3809592809,213,5.2,3811076397,223,,3809592801,56,Left,3809592797,2,,48hhfwdy6qw1cjd1el8n9t591,J. Nouble,3809592803,140,89.5,3809592799,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465541681,19,61,1,1,31,muo4d1nfi1vgyvz5n07tjmoo,1,6.7,23.4,2022-10-01T14:02:34.132Z,2022-10-01T19:08:53Z,3809604409,56,Back,3811817215,178,,,,,,,,,,,,,,,,,,,,elt8lu5do3h4jcl9ujgaqlm1h,M. Fraser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465539651,16,12,1,1,33,muo4d1nfi1vgyvz5n07tjmoo,1,1.4,53.7,2022-10-01T14:02:36.149Z,2022-10-01T19:09:10Z,3811818653,388,,3809594263,167,,3809594061,140,0.0,3809594065,212,2.9,3809594057,56,Back,3809594067,213,3.0,3809594063,141,54.2,,,,b3rry494s23b8elnqn3b5s5x,T. Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465539681,17,6,1,1,34,muo4d1nfi1vgyvz5n07tjmoo,0,0.1,53.2,2022-10-01T14:02:36.580Z,2022-10-01T19:09:20Z,3809594207,56,Back,3809594211,73,,3809598117,233,20,,,,,,,,,,,,,,,,b3rry494s23b8elnqn3b5s5x,T. Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465539457,20,6,1,1,34,besu5lkqmra07drq1czpr0tk4,1,99.9,46.8,2022-10-01T14:02:36.580Z,2022-10-01T19:09:20Z,3809593107,56,Center,3809593109,75,,3809598095,233,17,,,,,,,,,,,,,,,,48hhfwdy6qw1cjd1el8n9t591,J. Nouble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465539473,15,43,1,1,36,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2022-10-01T14:02:38.921Z,2022-10-01T14:02:45Z,3809594557,144,80,,,,,,,,,,,,,,,,,,,,,,b3rry494s23b8elnqn3b5s5x,T. Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465541087,21,1,1,2,11,besu5lkqmra07drq1czpr0tk4,0,99.5,0.5,2022-10-01T14:03:14.329Z,2022-10-01T19:09:26Z,3809601283,223,,3809601279,6,,3809601281,155,,3809601293,213,1.5,3811819987,178,,3809601291,212,52.7,3809601277,2,,3809601287,140,100.0,ddnwckj55fg870otjg9w9xyad,S. Kelly,3809601285,56,Center,3809601289,141,3811079089,72,,3809601295,1,,,,77.9,,,,,,,,,,,,,,,,,,,,,
2465541125,18,5,1,2,17,muo4d1nfi1vgyvz5n07tjmoo,1,-1,17,2022-10-01T14:03:19.631Z,2022-10-01T19:09:33Z,3809601537,346,,3809601535,56,Back,3809601583,233,22,,,,,,,,,,,,,,,,b3rry494s23b8elnqn3b5s5x,T. Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465541095,22,5,1,2,17,besu5lkqmra07drq1czpr0tk4,0,101,83,2022-10-01T14:03:19.631Z,2022-10-01T19:09:34Z,3809601325,346,,3809601723,233,18,3809601323,56,Left,,,,,,,,,,,,,,,,ddnwckj55fg870otjg9w9xyad,S. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465542533,20,1,1,2,44,muo4d1nfi1vgyvz5n07tjmoo,0,4.9,49,2022-10-01T14:03:46.930Z,2022-10-01T19:09:44Z,3809608797,124,,3809608803,141,19.8,3809608807,213,5.9,3809608811,74,,3809608805,212,60.4,3809608801,140,59.2,3809608809,1,,3809608799,56,Right,b3rry494s23b8elnqn3b5s5x,T. Carson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
