id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value,assist,qualifier/20/id,qualifier/20/qualifierId
2533567601,1,34,16,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2023-04-15T12:59:53.025Z,2023-04-15T12:59:53Z,4189956145,194,4gxuw581mvfnr6qr3aobbjyt,4189956141,130,18,4189956149,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189956147,197,1981,4189956135,30,"4gxuw581mvfnr6qr3aobbjyt, a7p8w57m9ehh3wryxgd1oldzo, e7dz8u1uz579dl68v1p40fq7e, e4qmdsl4c7q79p01pggtwfpw5, bk1tvg8t79kbsmnf2i39or6c5, blmo7wrka5yrcckuu9owlwx5h, 5z0g3l4s56p11t3wgrpjhko9h, kmyde3h3kx3tyx5b4m2oglt6, 6axbj3uylrbf0l29vj3vdmd3p, aiacgvdwjvt1te2ndnbk95lg5, 6fu85g3j2uvd7hxdoxk0p7ys5, 5j7ekg9k304y36twun3me2w2d, 8qv2da4sxpuw4h44jm4dz2j85, 4y27uf869xrujogawxtl9q0a1, cl8lua6yep85vpl25pdi0wfzd, 6yr5rwfdnz02psz22acr43z6d, 878xi84rsiw5uj1doiy894lwp, 4vnpdi15nazck2sywdgkve2cq, bmyfnz8nkem6q0oa2q0h3ioa2, 5tm8klhjq7d3u6u5sppnaducp",4189956143,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189956139,59,"1, 22, 24, 52, 66, 16, 27, 18, 7, 9, 21, 2, 4, 5, 8, 13, 15, 17, 20, 53",4189956137,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533569905,1,34,16,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2023-04-15T13:03:07.976Z,2023-04-15T13:59:52Z,4189968503,59,"1, 22, 3, 14, 27, 4, 7, 23, 9, 18, 16, 6, 10, 12, 20, 25, 28, 31, 39, 44",4189968513,197,9048,4189968517,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189968507,130,7,4189968497,30,"btdn91fhcdkiq2u93gqw32n6d, 1q4eo8ovtzffi9nz1kms98161, 629dgygro5n41ce8ulov5wwl, aqgrddi0lgqphjeksr0rkd0ph, 3wgjzispcz53as7jxh8lh0y96, 2cic9rl1m8i7ut6ed7p0h1905, 7qd78ivuyspmb0fno5vdetat, 7v2udgcj3xk2douxfmge6lp7t, 4sskvw16m8gh8al8vy0ephuc5, 1cfh2cg8i2f4cqd7fraos96fp, 319dgvwkm8di2r8oovefbxck5, 6n8gmwjc9frk90mzpnf9xlkyy, epwyjoowg7wfojxxldoum9yhh, 9o2dyl3cbm2ni3874doydh49h, c99yg0ykkr6o17ykicw27e68k, 86vsscrn4hhdlwlot6sj8pqfo, 74w7u994c832ya17u9g7nkh04, 4sjmv52glqhssplqouu2z8gkp, en1fxquyiysad7et2aeu0fpck, aapofyop1alkvydfgckce9vkk",4189968501,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4189968511,194,4sskvw16m8gh8al8vy0ephuc5,4189968509,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629389,2,32,1,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2023-04-15T14:01:54.732Z,2023-04-15T21:38:38Z,4190274695,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629363,2,32,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2023-04-15T14:01:54.732Z,2023-04-15T14:01:56Z,4190274579,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629479,3,1,1,0,0,759fhii7hsnldanli06j5jmf6,1,50,50,2023-04-15T14:01:54.766Z,2023-04-16T01:48:15Z,4190275111,141,54.2,4190275115,213,3.0,4190275109,140,32.5,4190275117,279,S,4190275107,56,Back,4190275113,212,18.6,4193544897,178,,,,,5z0g3l4s56p11t3wgrpjhko9h,S. Goss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629597,4,1,1,0,3,759fhii7hsnldanli06j5jmf6,1,34.3,54.9,2023-04-15T14:01:58.072Z,2023-04-16T01:48:27Z,4190275667,140,70.5,4190275673,213,0.5,4190275663,155,,4190275675,1,,4190275665,56,Left,4190275671,212,43.5,4190275669,141,86.0,4193545407,178,,bk1tvg8t79kbsmnf2i39or6c5,C. Butcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629617,5,44,1,0,6,759fhii7hsnldanli06j5jmf6,1,71.4,86.9,2023-04-15T14:02:01.123Z,2023-04-16T09:25:28Z,4190275811,233,3,4190275769,56,Left,4190275771,286,,,,,,,,,,,,,,,,,6fu85g3j2uvd7hxdoxk0p7ys5,M. Mandron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629609,3,44,1,0,6,4qdzzur2cuuridyb0jso8mksi,0,28.6,13.1,2023-04-15T14:02:01.124Z,2023-04-16T01:48:33Z,4190275721,285,,4190275857,233,5,4190275717,56,Back,,,,,,,,,,,,,,,,3wgjzispcz53as7jxh8lh0y96,L. Ayina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629683,6,1,1,0,6,759fhii7hsnldanli06j5jmf6,0,70.5,86,2023-04-15T14:02:01.184Z,2023-04-16T09:25:28Z,4193546471,388,,4190276125,3,,4190276127,56,Left,4190276135,213,0.0,4190276131,141,86.6,4190276129,140,85.7,4190276133,212,16.0,4191698527,168,,6fu85g3j2uvd7hxdoxk0p7ys5,M. Mandron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533629659,4,49,1,0,7,4qdzzur2cuuridyb0jso8mksi,1,13.2,11.9,2023-04-15T14:02:02.094Z,2023-04-16T01:48:49Z,,,,,,,,,,,,,,,,,,,,,,,,,1q4eo8ovtzffi9nz1kms98161,K. Freeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
