id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist,qualifier/18/value
2467187491,1,34,16,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-10-04T17:53:47.966Z,2022-10-04T18:51:51Z,3818494631,130,8,3818494625,30,"4gxuw581mvfnr6qr3aobbjyt, blmo7wrka5yrcckuu9owlwx5h, egfrwjjbl6fom2rwi5jpzzfmx, 5z0g3l4s56p11t3wgrpjhko9h, 201zg5m6q6zjj43w8jlf5cgrt, 8qv2da4sxpuw4h44jm4dz2j85, cb01n06n2ihlil5hf6q7u04tm, cl8lua6yep85vpl25pdi0wfzd, aiacgvdwjvt1te2ndnbk95lg5, 6axbj3uylrbf0l29vj3vdmd3p, dkk86y8pa3svtz43c0m55qn6x, 360az753k9ihh8el5ysdjoe6t, 5j7ekg9k304y36twun3me2w2d, 4y27uf869xrujogawxtl9q0a1, 1vgtiwnof0l89l62t6e1thgx5, 6yr5rwfdnz02psz22acr43z6d, 4vnpdi15nazck2sywdgkve2cq, kmyde3h3kx3tyx5b4m2oglt6, eghu03zhii5vbr655sub8xmmt, 3sk52j2sm7jvmytofzefc5boq",3818494629,59,"1, 16, 24, 27, 15, 4, 11, 8, 9, 7, 29, 21, 2, 5, 6, 13, 17, 18, 23, 26",3818494637,197,1982,3818494639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3818494627,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3818494635,194,4gxuw581mvfnr6qr3aobbjyt,3818494633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467187761,1,34,16,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-10-04T17:54:50.535Z,2022-10-04T18:49:56Z,3818496055,59,"1, 12, 3, 22, 5, 6, 11, 24, 26, 8, 7, 4, 9, 10, 14, 15, 17, 18, 19, 31",3818496059,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3818496057,130,8,3818496063,197,1991,3818496051,30,"4lp29rlldfr9f8jx6e6qqfgt1, auan97c17t3ze3zdvnfovtomh, eue5o5hcml60dtt61qku5jcut, a0d1koufzrtx0jcsw09ibtbyt, 43mi8uliaor1b9mejf33if1sl, 3ka60g1o4fct4t2dc7394sr8p, djn7515ev4uzfcvizndtrvzkl, bpbwue9gbmi9dd3wf7klkgdm1, 6aonl21cpvfg8ma7i00q9ho0l, 1q9c3t3umg0yh0qop886eghxx, 2n1na0cyvk19401cuwsokmaga, bxgp3jpqcyk794ty0zk0o9jv9, bed0m5tw305n4c60cuqlhrkd1, djjolbwunzmlob0chwp8x21g5, 9ciad1fw48orv5aph9o83f6ne, cgonvdrm0gwjzrsz5fho4cwr9, d2dqd11a9koizwjaq93n4npt6, 7q6h161f7gcqnpy07x80hbpck, 3jxifism5urj3049zcojb8us5, 89b8lqf476f0slerw345892i1",3818496053,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3818496061,194,43mi8uliaor1b9mejf33if1sl,3818496065,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467212675,2,32,1,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-10-04T18:47:48.982Z,2022-10-04T18:47:49Z,3818633973,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467212683,2,32,1,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-10-04T18:47:48.982Z,2022-10-05T02:13:10Z,3818634013,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467212807,3,1,1,0,0,759fhii7hsnldanli06j5jmf6,1,49.9,50,2022-10-04T18:47:48.992Z,2022-10-05T04:05:41Z,3818634731,213,2.7,3818634725,140,33.0,3818634729,212,19.4,3818634727,141,61.7,3819698971,178,,3818634723,56,Back,3818634733,279,S,,,,dkk86y8pa3svtz43c0m55qn6x,C. Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467212825,4,1,1,0,3,759fhii7hsnldanli06j5jmf6,0,39.2,56,2022-10-04T18:47:52.899Z,2022-10-05T04:05:54Z,3818634803,155,,3818634813,212,54.6,3818634809,140,75.6,3818634815,213,5.5,3818634807,56,Right,3819699123,178,,3818634811,141,0.0,3818634817,1,,5z0g3l4s56p11t3wgrpjhko9h,S. Goss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467212881,3,5,1,0,6,87coxipr6ls77tnlba3eselx0,1,23,101.2,2022-10-04T18:47:55.628Z,2022-10-05T04:06:04Z,3818635109,347,,3818635105,56,Back,3818635135,233,5,,,,,,,,,,,,,,,,eue5o5hcml60dtt61qku5jcut,B. Purrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467212829,5,5,1,0,6,759fhii7hsnldanli06j5jmf6,0,77,-1.2,2022-10-04T18:47:55.628Z,2022-10-05T04:06:04Z,3818635153,233,3,3818634833,56,Right,3818634835,347,,,,,,,,,,,,,,,,,5z0g3l4s56p11t3wgrpjhko9h,S. Goss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467213079,4,1,1,0,18,87coxipr6ls77tnlba3eselx0,0,27.7,100,2022-10-04T18:48:07.282Z,2022-10-05T04:06:14Z,3818636195,141,93.9,3818636189,107,,3818636199,213,6.1,3818636197,212,32.6,3818636201,1,,3818636191,56,Left,3818636193,140,58.4,,,,eue5o5hcml60dtt61qku5jcut,B. Purrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467213105,6,61,1,0,21,759fhii7hsnldanli06j5jmf6,0,36.9,6.1,2022-10-04T18:48:10.328Z,2022-10-05T04:06:32Z,3818636337,56,Back,3819699529,21,,3819699531,178,,,,,,,,,,,,,,,,,201zg5m6q6zjj43w8jlf5cgrt,S. Johansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
