id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/12/value,keyPass,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2521500059,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-03-18T14:10:51.967Z,2023-03-18T14:48:27Z,4105074101,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4105074095,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4105074097,59,"1, 2, 11, 22, 23, 15, 29, 18, 9, 8, 19, 7, 12, 17, 28, 32, 33, 34",4105074107,197,1999,4105074099,130,8,4105074109,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105074103,194,z1apq9hkjp8l8jhpegacpwid,4105074093,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, db1hineo65ck1zyg8kjtl5iad, 91z7xt6xuwgzt0jyg5owh6yfp, 7jn2vr9iq2cg2ui6oaww1i6i2, 9mgoxb4nlse8gjbmcs0nh0dex, 1swg0twoet2to70z38wo78b1l, cwdqe0rv5dcshhfhke86j9z2t, b0fuw7r17cq41awaoydw9bjl5, 960mhrs3usnisl5jv0xzok3x1, 48hhfwdy6qw1cjd1el8n9t591, 8gh8ocvon1ht6yxxdxaisfa39, f104wb7oezb00w1lmyebcow6h, 1mbcl4xzln2fyj0o3aapdhdrd, djyjh9vs99rm6pfm2ofhwfd91, ejo44v1xeqrf9wsc1q3td4ul1, 73grc910ff9auyze63pgtoet, 6evoxkxb6m1xyavey4o7iix3o",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521500547,1,34,16,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2023-03-18T14:11:16.713Z,2023-03-18T15:00:09Z,4105076835,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4105076851,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105076837,59,"1, 29, 16, 6, 15, 2, 42, 14, 11, 26, 27, 4, 8, 9, 17, 21, 25, 30, 49",4105076839,130,18,4105076847,197,1991,4105076833,30,"4lp29rlldfr9f8jx6e6qqfgt1, 156hlg4mne48ct15fm5qtpjo5, 1hoyso1oinr2bza4lxgkzdiax, 3ka60g1o4fct4t2dc7394sr8p, cgonvdrm0gwjzrsz5fho4cwr9, dl2j6mynj9b09ehi3ebi2fc2d, cxxhe0dwp3wi35c28spse4l7u, 9ciad1fw48orv5aph9o83f6ne, djn7515ev4uzfcvizndtrvzkl, 6aonl21cpvfg8ma7i00q9ho0l, 2r9hayi0ybenx2bj3hrhzbb9x, bxgp3jpqcyk794ty0zk0o9jv9, 1q9c3t3umg0yh0qop886eghxx, bed0m5tw305n4c60cuqlhrkd1, f48c8vds4wpfu9wl7is4y3sgl, 1xcvcrq88be0efbkwgi7pirjd, alzbf0uxns1669kbn41xmxiad, atzpueujhh1u79b8ijhufob9w, 1wk872a75kcbsb3wsvu10iz2s",4105076841,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4105076845,194,cgonvdrm0gwjzrsz5fho4cwr9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557177,2,32,1,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2023-03-18T14:59:50.878Z,2023-03-18T14:59:53Z,4105368057,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557173,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-03-18T14:59:50.878Z,2023-03-18T23:41:43Z,4105368045,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557189,3,1,1,0,0,87coxipr6ls77tnlba3eselx0,1,49.9,49.9,2023-03-18T14:59:50.928Z,2023-03-19T00:59:52Z,4105368081,141,56.7,4108202989,178,,4105368077,56,Back,4105368085,213,2.8,4105368087,279,S,4105368079,140,35.3,4105368083,212,16.0,,,,djn7515ev4uzfcvizndtrvzkl,J. Sims,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557225,4,1,1,0,2,87coxipr6ls77tnlba3eselx0,0,40.5,56.1,2023-03-18T14:59:53.222Z,2023-03-19T00:59:57Z,4105368279,140,77.1,4108203341,178,,4105368283,212,48.1,4105368275,155,,4105368287,1,,4105368281,141,13.5,4105368285,213,5.6,4105368277,56,Right,9ciad1fw48orv5aph9o83f6ne,V. Loturi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557247,3,1,1,0,5,besu5lkqmra07drq1czpr0tk4,0,21.6,85.7,2023-03-18T14:59:56.120Z,2023-03-19T01:00:02Z,4105368381,56,Back,4105368385,141,89.3,4105368387,212,13.1,4105368389,213,0.2,4105368379,3,,4108203683,388,,4105368383,140,33.9,,,,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557275,5,1,1,0,6,87coxipr6ls77tnlba3eselx0,0,72.5,7.6,2023-03-18T14:59:57.619Z,2023-03-19T01:00:07Z,4105368499,212,28.9,4108204115,178,,4105368493,56,Center,4105368501,213,1.2,4105368495,140,82.2,4105368491,155,,4105368497,141,47.3,,,,dl2j6mynj9b09ehi3ebi2fc2d,C. Randall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557299,4,1,1,0,8,besu5lkqmra07drq1czpr0tk4,1,18.9,50.4,2023-03-18T14:59:59.598Z,2023-03-19T12:06:46Z,4105368567,140,25.7,4105368573,213,1.1,4105368565,56,Back,4105368563,3,,4105368571,212,16.4,4109360497,178,,4105368569,141,72.1,,,,z1apq9hkjp8l8jhpegacpwid,N. Devlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521557307,5,49,1,0,10,besu5lkqmra07drq1czpr0tk4,1,25.7,72.1,2023-03-18T15:00:00.955Z,2023-03-19T01:00:22Z,,,,,,,,,,,,,,,,,,,,,,,,,91z7xt6xuwgzt0jyg5owh6yfp,A. Shinnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
