id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/16/value
2509067953,1,34,16,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2023-02-18T13:57:20.780Z,2023-02-18T15:01:10Z,4039330445,194,tywvq45nw3cobufa7zkhsq8l,4039330439,59,"1, 14, 19, 2, 6, 5, 18, 22, 7, 37, 34, 3, 10, 16, 17, 20, 21, 23, 26, 29",4039330447,197,14543,4039330441,130,12,4039330443,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039330437,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4039330449,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039330435,30,"3vt38r8n9081i3a4dj89lx905, 2ezi9zjj3pmt475woji11gi51, 56b1gs6obdcpx4j3c02bi4bqi, 1yqdq8dtuvh9wmn8cgyv3t8tl, tywvq45nw3cobufa7zkhsq8l, 9wjmsi05ex83iw3iy5bgkdrvu, 4l1wyg8j3u42b87477y3zm54a, 7xxqn9xu5izixdi9spsjf1t5h, 27ldss0bvyuhn929cd0j8u47p, cqbhq4xh00uqxhenp0nc24xjp, d0ped35vke09xx92otkq63pm2, 7f0r99zrqykjuoz0bqlintbzd, 27exg4oaa7sym40hi0szdc05x, 744enw7o0c1i9a1b0qjihgjqh, 2r6suw717hgzqsp8ogvwdfk6h, kpkpalx1dxjph7895pb7ene1, c4g43ghalkakgcgv1jzaum11x, a0cvnq9q83z3x0e1p938uu5ed, 1tbuc25mv5qc48uawml7aqu3t, cyg7icft0ojp9wdbyq9nlkwyd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509073709,1,34,16,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2023-02-18T14:06:40.341Z,2023-02-18T15:03:39Z,4039360049,194,4sskvw16m8gh8al8vy0ephuc5,4039360043,59,"1, 2, 16, 10, 27, 4, 19, 14, 9, 18, 25, 3, 6, 7, 20, 22, 28, 31, 39, 44",4039360051,197,1975,4039360053,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039360045,130,4,4039360047,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039360039,30,"btdn91fhcdkiq2u93gqw32n6d, a5fpw5f7bvu01i8drfir8ugut, 319dgvwkm8di2r8oovefbxck5, epwyjoowg7wfojxxldoum9yhh, 3wgjzispcz53as7jxh8lh0y96, 2cic9rl1m8i7ut6ed7p0h1905, 2t4k430xmiekwb5khdwtg14h5, aqgrddi0lgqphjeksr0rkd0ph, 4sskvw16m8gh8al8vy0ephuc5, 1cfh2cg8i2f4cqd7fraos96fp, 86vsscrn4hhdlwlot6sj8pqfo, 629dgygro5n41ce8ulov5wwl, 6n8gmwjc9frk90mzpnf9xlkyy, 7qd78ivuyspmb0fno5vdetat, c99yg0ykkr6o17ykicw27e68k, 1q4eo8ovtzffi9nz1kms98161, 74w7u994c832ya17u9g7nkh04, 4sjmv52glqhssplqouu2z8gkp, en1fxquyiysad7et2aeu0fpck, aapofyop1alkvydfgckce9vkk",4039360041,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121115,2,32,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2023-02-18T15:00:10.301Z,2023-02-18T20:48:43Z,4039611685,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121121,2,32,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2023-02-18T15:00:10.301Z,2023-02-18T15:00:12Z,4039611695,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121147,3,1,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,50,50,2023-02-18T15:00:10.421Z,2023-02-19T02:21:50Z,4039611827,213,3.0,4039611821,140,29.4,4042455949,178,,4039611825,212,21.7,4039611819,56,Back,4039611829,279,S,4039611823,141,53.0,,,,epwyjoowg7wfojxxldoum9yhh,A. Djoum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121163,4,1,1,0,2,4qdzzur2cuuridyb0jso8mksi,0,33,55.2,2023-02-18T15:00:12.944Z,2023-02-19T02:21:54Z,4039611917,213,5.9,4039611907,155,,4039611911,140,64.7,4042456095,178,,4039611915,212,36.1,4039611913,141,34.5,4039611919,1,,4039611909,56,Center,2cic9rl1m8i7ut6ed7p0h1905,C. Mulgrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121161,3,49,1,0,4,ez46dadmx0virt38cgeq2n6pf,1,37.4,69.7,2023-02-18T15:00:14.905Z,2023-02-19T02:21:58Z,,,,,,,,,,,,,,,,,,,,,,,,,d0ped35vke09xx92otkq63pm2,D. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121187,4,61,1,0,5,ez46dadmx0virt38cgeq2n6pf,0,37.5,63.7,2023-02-18T15:00:16.190Z,2023-02-19T02:22:04Z,4042456387,178,,4039612043,56,Back,,,,,,,,,,,,,,,,,,,d0ped35vke09xx92otkq63pm2,D. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509121223,5,13,1,0,7,4qdzzur2cuuridyb0jso8mksi,1,70.2,42.1,2023-02-18T15:00:17.624Z,2023-02-19T02:22:08Z,4039613279,328,,4039613273,102,64.0,4039613285,231,48.7,4039612213,18,,4039613281,458,,4039612211,22,,4039613283,230,93.3,4039612215,56,Center,4sskvw16m8gh8al8vy0ephuc5,S. Fletcher,4039613275,103,70.8,4039613277,215,4039612443,72,4042456525,178,4039613271,77,,,,,,,,,,,,,,,,,,,,,,,
2509121233,5,5,1,0,10,ez46dadmx0virt38cgeq2n6pf,1,-1.6,37.5,2023-02-18T15:00:20.567Z,2023-02-19T02:22:13Z,4039612265,56,Back,4039612299,233,6,4039612267,346,,,,,,,,,,,,,,,,,d0ped35vke09xx92otkq63pm2,D. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
