id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/12/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,qualifier/18/value,qualifier/13/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2471983255,1,34,16,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2022-10-15T12:49:46.858Z,2022-10-15T14:16:57Z,3844011331,130,4,3844011329,59,"1, 56, 25, 33, 20, 6, 13, 41, 7, 49, 9, 3, 8, 11, 16, 21, 28, 31, 38, 88",3844011337,197,805,3844011335,194,c4dvhy1z0op9iwj9aqdgzh0q1,3844011333,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844011325,30,"8grd4q334w1ud9vbb6vrli6z9, cwmej1d313luxo30tav8ws3jd, 75fze9pkbgv3baqwnyqnzxbe, cm7l7qimy4iysm1khmpc7u961, c4dvhy1z0op9iwj9aqdgzh0q1, bm5w5xsbbflm26pdhmejwgvs9, axicg3mdtrur97rjz423pl8t1, ed81nbya8j93qvelqdk79ustm, 84aebyqt0y9r2jjml4u1z0ij9, 26olsdd9erf8rahc8xfqz01xx, 8ydeghsg8bdyovqjnr56hz8x5, 9fd3uggpu2opd1cuiwskjbhm1, 96vt6e4xjci5gll0ogsnlfg89, czazwj4nt23bydpdi67i0wga2, a1u7272606p7abic3re1p5hhx, 2x55i04w8rtduvgtwc3oc9j2t, kc4qkj63uqu3wnkydxtvmwh5, 52lu5mlc9xdqjzgh1ne86wtsl, 4x7o9h6ea8ldt9sxgz87vwycp, 9kxuwgequrilkom3ru6sdxall",3844011339,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844011327,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471985607,1,34,16,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2022-10-15T12:52:29.405Z,2022-10-15T14:14:43Z,3844024003,130,7,3844024013,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844024009,194,bu7u0edo60hpre8wkhgw79gwl,3844023999,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3844023997,30,"bu7u0edo60hpre8wkhgw79gwl, cs5ejx87ge8am8ir8w0lj4wk5, atx6lc3lltktph9wnqv5oihg5, cxxhe0dwp3wi35c28spse4l7u, 87dk4hxfl302jn9iu3vr9pckp, e98evrjmtbjwjrmvlhu1hn36d, 4xbvoe0viskrxc7jiyd1iapcl, cugnsf9b6g823srxuux5jnofe, 3je3s65vdag4qctd9q0ku8z8q, afowz5wysshf6f5mj5iz1t5h, 3jppvkr0tv7r8lwraqvc7wtlh, 5f1erzxtvzncvf1wtqnv3fgmh, 89df7o58mynvgjs0xlq4zh71l, 9eglkkpww5oem5vdrmf8q2bu2, 86k8csy6no8avlq6bdk43f36x, fx0i4f70a096eya9f6irwdt5, dj5ho4am5u4ew23hchm4g549h, dnnv0ts8b4ov8id729wyoeuax, 82m1eir9istcl9x5srqdrtca2, cx021j1n37kzienjdgd9qndka",3844024005,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3844024001,59,"1, 12, 16, 6, 5, 4, 77, 32, 99, 11, 22, 3, 7, 10, 13, 18, 19, 23, 25, 33",3844024011,197,16501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053613,2,32,1,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2022-10-15T14:00:56.494Z,2022-10-15T18:32:44Z,3844382105,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053625,2,32,1,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2022-10-15T14:00:56.494Z,2022-10-15T14:00:57Z,3844382187,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053643,3,1,1,0,0,dvnjvad3p09dugr79gktlrtll,1,50,49.9,2022-10-15T14:00:56.583Z,2022-10-15T18:56:03Z,3846407731,178,,3844382275,279,S,3844382271,212,12.7,3844382269,141,54.4,3844382273,213,2.9,3844382267,140,38.3,3844382265,56,Back,,,,axicg3mdtrur97rjz423pl8t1,A. Mooy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053745,4,1,1,0,1,dvnjvad3p09dugr79gktlrtll,1,43.4,52.7,2022-10-15T14:00:58.249Z,2022-10-15T23:39:44Z,3844382699,212,25.8,3844382693,56,Back,3844382695,140,32.7,3844382697,141,86.8,3844382701,213,2.0,3846407933,178,,,,,,,,cm7l7qimy4iysm1khmpc7u961,M. O'Riley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053761,5,1,1,0,4,dvnjvad3p09dugr79gktlrtll,1,37,83.4,2022-10-15T14:01:00.830Z,2022-10-15T23:39:43Z,3844382743,140,39.6,3844382751,212,7.8,3846408067,178,,3844382755,213,1.2,3844382747,141,94.2,3844382739,56,Back,,,,,,,75fze9pkbgv3baqwnyqnzxbe,A. Bernabei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053785,6,1,1,0,5,dvnjvad3p09dugr79gktlrtll,0,43,92.7,2022-10-15T14:01:01.635Z,2022-10-15T23:39:43Z,3844382857,56,Back,3844382859,140,44.5,3844382861,141,77.3,3844382865,213,4.9,3844382863,212,10.6,3846408207,178,,,,,,,,ed81nbya8j93qvelqdk79ustm,R. Hatate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053795,3,49,1,0,5,c9ky1957qli8v2lylfga7io8b,1,53.7,24.8,2022-10-15T14:01:02.429Z,2022-10-15T23:39:42Z,,,,,,,,,,,,,,,,,,,,,,,,,afowz5wysshf6f5mj5iz1t5h,J. Newell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472053883,4,1,1,0,5,c9ky1957qli8v2lylfga7io8b,1,53.7,24.8,2022-10-15T14:01:02.484Z,2022-10-15T23:39:42Z,3844383237,56,Right,3844383255,212,12.8,3844383257,213,5.6,3844383243,140,63.3,3844383249,141,13.1,3846408831,178,,,,,,,,afowz5wysshf6f5mj5iz1t5h,J. Newell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
