id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/8/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/15/value,qualifier/19/value
2503725653,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-02-04T14:15:25.999Z,2023-02-04T15:03:37Z,4011238829,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4011238827,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, db1hineo65ck1zyg8kjtl5iad, ddnwckj55fg870otjg9w9xyad, dm0ktjgadvf89t9zsqybufnxl, 9mgoxb4nlse8gjbmcs0nh0dex, elmr3dbzcn0od1mflq6mc02ui, 1mbcl4xzln2fyj0o3aapdhdrd, b0fuw7r17cq41awaoydw9bjl5, 960mhrs3usnisl5jv0xzok3x1, 48hhfwdy6qw1cjd1el8n9t591, 7hzc2m8h1ufacyazzxp1ove1h, 9ykuo0c905u48vd44wxgb6jth, 8gh8ocvon1ht6yxxdxaisfa39, cwdqe0rv5dcshhfhke86j9z2t, 91z7xt6xuwgzt0jyg5owh6yfp, djyjh9vs99rm6pfm2ofhwfd91, 1swg0twoet2to70z38wo78b1l, ejo44v1xeqrf9wsc1q3td4ul1, 73grc910ff9auyze63pgtoet",4011238843,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011238841,197,1999,4011238837,194,z1apq9hkjp8l8jhpegacpwid,4011238831,59,"1, 2, 11, 24, 5, 15, 16, 17, 9, 8, 19, 3, 6, 7, 18, 22, 28, 29, 32, 33",4011238833,130,8,4011238835,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503729649,1,34,16,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2023-02-04T14:18:36.641Z,2023-02-04T15:01:45Z,4011259469,30,"91m838lynz6db94q8ufcqk91x, 2ytdtlvxm0ba22gsmk6vu4vhm, bt4n55baiq4m30oyc0v833omi, 2spu2yn887lywqw2vrg3evhlh, 4rsnyz3019rgfjdil1zs024t1, 9coe01drgpmlz3ee9qfond815, 9z0xcc7yot7royqle0nn6fdn9, ek2ub5dvlisn73a45n3gwj2s5, dzs6o86mv89839vlz2qswhuj9, 71xg650qcs8yibhrumgvdejth, 8q0nnrx7ru205zepoqv7lm579, 1fkrvnzbrb9s0qojjhc8edpm1, 1pt1yc4fl9oxxsaoeq1cm3xzp, dggymph6p6xe8s3h2hae5p5g5, br8drjrzg7caqavtr5l7twpka, 6uvj9qt3kex5sx729zbe1rlyh, 9hnkwvq81pd0bkovc17lqhf4l, atf7aycphllb4i8h9jnld4bmd, 3svpmpx5tb4ekuewkh79l2up5, 8p1pe1wpwy9o3p2n9imr2k5ck",4011259475,130,2,4011259473,59,"20, 25, 24, 4, 19, 2, 11, 31, 23, 26, 7, 1, 6, 8, 14, 15, 16, 17, 21, 29",4011259471,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4011259481,197,1978,4011259483,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011259477,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011259479,194,2spu2yn887lywqw2vrg3evhlh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503778211,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-02-04T15:01:14.060Z,2023-02-04T21:03:10Z,4011497875,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503778197,2,32,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2023-02-04T15:01:14.060Z,2023-02-04T15:01:14Z,4011497821,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503778269,3,1,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,49.8,49.9,2023-02-04T15:01:14.085Z,2023-02-05T01:20:44Z,4011498209,213,2.9,4013757095,178,,4011498211,279,S,4011498207,212,5.6,4011498203,140,44.6,4011498201,56,Back,4011498205,141,51.5,,,,8q0nnrx7ru205zepoqv7lm579,R. McKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503778311,4,1,1,0,1,enzoyc121va61wtmjf4cm7p3d,1,44.6,51.5,2023-02-04T15:01:16.004Z,2023-02-05T01:21:04Z,4011498385,56,Back,4011498387,140,38.9,4011498389,141,22.4,4011498391,212,20.7,4011498393,213,4.4,4013757829,178,,,,,,,,2spu2yn887lywqw2vrg3evhlh,A. Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503778399,5,1,1,0,3,enzoyc121va61wtmjf4cm7p3d,1,37.7,22.7,2023-02-04T15:01:17.849Z,2023-02-05T01:21:40Z,4011498845,140,39.3,4011498843,56,Back,4013758785,178,,4011498847,141,7.3,4011498849,212,10.6,4011498851,213,4.9,,,,,,,9z0xcc7yot7royqle0nn6fdn9,D. Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503778411,6,3,1,0,5,enzoyc121va61wtmjf4cm7p3d,0,39.8,9.4,2023-02-04T15:01:20.016Z,2023-02-05T01:21:53Z,4011498933,211,,4013759135,178,,4012852537,464,,4011498901,56,Back,4011498903,286,,,,,,,,,,,2ytdtlvxm0ba22gsmk6vu4vhm,R. Alebiosu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504259695,777,67,1,0,7,besu5lkqmra07drq1czpr0tk4,1,46.4,82.2,2023-02-04T15:01:21.060Z,2023-02-05T09:11:45Z,4014074283,233,838,,,,,,,,,,,,,,,,,,,,,,1mbcl4xzln2fyj0o3aapdhdrd,S. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504259693,838,67,1,0,7,enzoyc121va61wtmjf4cm7p3d,0,53.6,17.8,2023-02-04T15:01:21.061Z,2023-02-05T06:12:17Z,4014074291,233,777,,,,,,,,,,,,,,,,,,,,,,2ytdtlvxm0ba22gsmk6vu4vhm,R. Alebiosu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
