id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,keyPass,qualifier/10/value,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2475359597,1,34,16,0,0,cnnku8uihko7u4th0fms4pvg6,1,0,0,2022-10-22T13:11:25.375Z,2022-10-22T13:42:41Z,3861847523,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861847519,194,4kpf2eyjqmax3f676dmhh9e51,3861847517,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861847511,130,8,3861847505,30,"54u4k9lzcugph99091xt282j9, 4kpf2eyjqmax3f676dmhh9e51, ehj0z1y90uxmn8gdvaoldk1cl, 2hspu41ocnru322bdzom7rp, alzo6b4olqf8djtphk32e0f3e, 8iwme9n9fhlu50yqm3pvtrd91, 4f2bppk56sa7dqgw652x0fzdh, 90qai3k7otbuwrry224ki1f4l, 12vo1l1xngzwi7kndbnyzfbv9, 25vb30mtetefhp3ix26nlhx0q, 95pgrmkq8cn94eo5y26hp4s7p, 1o7uvhqqueh716napx4qpq99m, 7d5vo5ppoev5q1uf39x0afkrt, 7ush9a10cc79gudlog12crt9l, 4lb16ginbppvud84mgwirvfth, 9weodc9tdqcm2dg6cg6wyx785, cii0uzhex6rcc1qi4lav4x7md, 1pvtzz67xdo2wonyds33h9iei, 5p8y1fedi7alsnrdwg7lmw99l, 60ahvhvx30iw7abq1hxrzd0wl",3861847521,197,1995,3861847509,59,"1, 2, 31, 10, 38, 26, 37, 4, 9, 71, 14, 3, 17, 19, 20, 23, 25, 29, 30, 33",3861847507,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475366239,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-10-22T13:18:39.591Z,2022-10-22T14:16:54Z,3861884875,194,z1apq9hkjp8l8jhpegacpwid,3861884867,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3861884873,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861884871,130,9,3861884869,59,"1, 2, 11, 8, 6, 5, 24, 18, 19, 17, 22, 3, 7, 9, 10, 15, 25, 28, 29, 32",3861884865,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, db1hineo65ck1zyg8kjtl5iad, 960mhrs3usnisl5jv0xzok3x1, 9ykuo0c905u48vd44wxgb6jth, dm0ktjgadvf89t9zsqybufnxl, ddnwckj55fg870otjg9w9xyad, cwdqe0rv5dcshhfhke86j9z2t, 48hhfwdy6qw1cjd1el8n9t591, 1mbcl4xzln2fyj0o3aapdhdrd, 91z7xt6xuwgzt0jyg5owh6yfp, 7hzc2m8h1ufacyazzxp1ove1h, 8gh8ocvon1ht6yxxdxaisfa39, b0fuw7r17cq41awaoydw9bjl5, e3wuwgyb0acsca2fw0l7fq7rp, 9mgoxb4nlse8gjbmcs0nh0dex, 8d9kq8ab5olsc1w1swicqemay, djyjh9vs99rm6pfm2ofhwfd91, 1swg0twoet2to70z38wo78b1l, ejo44v1xeqrf9wsc1q3td4ul1",3861884877,197,11439,3861884879,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475408399,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-10-22T14:02:06.343Z,2022-10-22T14:02:07Z,3862097079,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475408367,2,32,1,0,0,cnnku8uihko7u4th0fms4pvg6,1,0,0,2022-10-22T14:02:06.343Z,2022-10-22T19:57:55Z,3862096945,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475408451,3,1,1,0,0,cnnku8uihko7u4th0fms4pvg6,1,50.1,50.1,2022-10-22T14:02:06.353Z,2022-10-22T20:18:11Z,3862097317,140,43.8,3862097329,279,S,3862097319,141,49.6,3862097315,56,Back,3862097325,213,3.2,3862097321,212,6.6,3864486525,178,,,,,12vo1l1xngzwi7kndbnyzfbv9,A. Čolak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475408659,4,1,1,0,2,cnnku8uihko7u4th0fms4pvg6,1,43.3,48.2,2022-10-22T14:02:09.123Z,2022-10-22T20:18:15Z,3864486869,178,,3862098351,56,Back,3862098353,140,33.6,3862098355,141,22.7,3862098357,212,20.1,3862098359,213,4.2,,,,,,,90qai3k7otbuwrry224ki1f4l,J. Lundstram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475408741,5,1,1,0,8,cnnku8uihko7u4th0fms4pvg6,1,46.9,18.9,2022-10-22T14:02:15.121Z,2022-10-22T20:18:18Z,3862098839,213,2.2,3862098837,212,14.0,3862098829,140,38.8,3864487119,178,,3862098827,56,Back,3862098833,141,35.2,,,,,,,alzo6b4olqf8djtphk32e0f3e,L. King,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475408887,6,1,1,0,12,cnnku8uihko7u4th0fms4pvg6,1,39.9,40,2022-10-22T14:02:18.630Z,2022-10-22T20:18:22Z,3864487307,178,,3862099605,140,41.6,3862099611,141,66.0,3862099617,213,1.5,3862099615,212,17.8,3862099601,56,Back,,,,,,,8iwme9n9fhlu50yqm3pvtrd91,B. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475408985,7,1,1,0,15,cnnku8uihko7u4th0fms4pvg6,1,43.9,81.2,2022-10-22T14:02:21.777Z,2022-10-22T20:18:25Z,3862100151,141,92.4,3862100147,56,Left,3862100149,140,53.1,3862100153,212,12.3,3862100155,213,0.7,3864487501,178,,,,,,,,ehj0z1y90uxmn8gdvaoldk1cl,B. Barišić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475409011,8,1,1,0,18,cnnku8uihko7u4th0fms4pvg6,0,46.3,89.7,2022-10-22T14:02:24.551Z,2022-10-22T20:18:28Z,3862100255,56,Back,3862100261,212,2.5,3862100257,140,47.1,3864487661,178,,3862100259,141,86.3,3862100263,213,5.1,,,,,,,95pgrmkq8cn94eo5y26hp4s7p,R. Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
