id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,keyPass,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist
2521492215,1,34,16,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2023-03-18T14:03:21.544Z,2023-03-18T15:03:20Z,4105032025,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105032015,130,10,4105032001,30,"3vt38r8n9081i3a4dj89lx905, 2ezi9zjj3pmt475woji11gi51, 1yqdq8dtuvh9wmn8cgyv3t8tl, cxjlus7adz4r6y0j3x5v2y0gl, tywvq45nw3cobufa7zkhsq8l, 9wjmsi05ex83iw3iy5bgkdrvu, 7xxqn9xu5izixdi9spsjf1t5h, 4l1wyg8j3u42b87477y3zm54a, 2r6suw717hgzqsp8ogvwdfk6h, 27ldss0bvyuhn929cd0j8u47p, a0cvnq9q83z3x0e1p938uu5ed, 7f0r99zrqykjuoz0bqlintbzd, 27exg4oaa7sym40hi0szdc05x, 4gxhbsq4ocdqnrj3yrro2jf11, 744enw7o0c1i9a1b0qjihgjqh, kpkpalx1dxjph7895pb7ene1, 72lspkwr1lpqqq8o2twxq1bzd, avcww4x5wyrlm6gk3sckkudxw, 1tbuc25mv5qc48uawml7aqu3t, cyg7icft0ojp9wdbyq9nlkwyd",4105032019,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105032011,59,"1, 14, 2, 4, 6, 5, 22, 18, 17, 7, 23, 3, 10, 13, 16, 20, 25, 31, 26, 29",4105032023,197,1984,4105032007,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4105032021,194,tywvq45nw3cobufa7zkhsq8l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521500607,1,34,16,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2023-03-18T14:11:19.477Z,2023-03-18T14:38:33Z,4105077173,130,12,4105077165,30,"91m838lynz6db94q8ufcqk91x, 9z0xcc7yot7royqle0nn6fdn9, 6ta1shg2pfj5cchdod1xdtvbp, aqt5c6bvjkbaw56lq7t69kjjd, 4rsnyz3019rgfjdil1zs024t1, 9coe01drgpmlz3ee9qfond815, 2707xag1w0czgk17kz84632ms, 8q0nnrx7ru205zepoqv7lm579, dzs6o86mv89839vlz2qswhuj9, 71xg650qcs8yibhrumgvdejth, 5h9myriisqh4v99oka6gwey8l, 1fkrvnzbrb9s0qojjhc8edpm1, 2spu2yn887lywqw2vrg3evhlh, 2c89yb9spduwcxl7lrhckru1h, dggymph6p6xe8s3h2hae5p5g5, 6uvj9qt3kex5sx729zbe1rlyh, 9hnkwvq81pd0bkovc17lqhf4l, 3svpmpx5tb4ekuewkh79l2up5, bt4n55baiq4m30oyc0v833omi, 2ytdtlvxm0ba22gsmk6vu4vhm",4105077169,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4105077181,197,1978,4105077183,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105077171,59,"20, 11, 10, 3, 19, 2, 34, 7, 23, 26, 22, 1, 4, 5, 8, 15, 16, 21, 24, 25",4105077177,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105077179,194,8q0nnrx7ru205zepoqv7lm579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521560179,2,32,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2023-03-18T15:01:48.252Z,2023-03-18T23:44:15Z,4105382275,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521560171,2,32,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2023-03-18T15:01:48.252Z,2023-03-18T15:01:48Z,4105382203,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521560241,3,1,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,50.3,49.7,2023-03-18T15:01:48.259Z,2023-03-19T02:55:16Z,4105382619,140,38.5,4105382621,141,56.9,4105382623,212,13.3,4105382615,56,Back,4105382625,213,2.8,4105382627,279,S,4108544335,178,,,,,27ldss0bvyuhn929cd0j8u47p,S. May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521560379,4,1,1,0,1,ez46dadmx0virt38cgeq2n6pf,0,38.5,56.9,2023-03-18T15:01:49.790Z,2023-03-19T02:55:25Z,4105383299,155,,4108544579,178,,4105383305,140,61.3,4105383311,213,5.4,4105383307,141,10.4,4105383309,212,39.7,4105383315,1,,4105383303,56,Right,cxjlus7adz4r6y0j3x5v2y0gl,A. Considine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521560339,3,44,1,0,4,enzoyc121va61wtmjf4cm7p3d,1,33.1,88.8,2023-03-18T15:01:52.700Z,2023-03-19T09:02:00Z,4105383125,285,,4105383551,233,5,4105383119,56,Back,,,,,,,,,,,,,,,,aqt5c6bvjkbaw56lq7t69kjjd,J. Dorsett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521560385,5,44,1,0,4,ez46dadmx0virt38cgeq2n6pf,0,66.9,11.2,2023-03-18T15:01:52.701Z,2023-03-19T02:55:32Z,4105383335,286,,4105383683,233,3,4105383333,56,Right,,,,,,,,,,,,,,,,2ezi9zjj3pmt475woji11gi51,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521560431,4,1,1,0,4,enzoyc121va61wtmjf4cm7p3d,0,27.5,88,2023-03-18T15:01:52.759Z,2023-03-19T09:02:00Z,4105383583,3,,4105383597,213,0.1,4105383595,212,24.9,4105383591,140,51.0,4105383593,141,92.6,4105383587,56,Left,4108544803,388,,,,,aqt5c6bvjkbaw56lq7t69kjjd,J. Dorsett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521560525,6,1,1,0,6,ez46dadmx0virt38cgeq2n6pf,0,44.4,5.5,2023-03-18T15:01:54.890Z,2023-03-19T02:55:43Z,4105384073,213,0.1,4105384065,56,Right,4105384071,212,28.5,4105384067,140,71.4,4108545031,388,,4105384069,141,10.4,4105384063,157,,4105384075,1,,9wjmsi05ex83iw3iy5bgkdrvu,A. Mitchell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
