id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,keyPass,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2442467371,1,34,16,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2022-08-06T13:10:00.100Z,2022-08-06T14:18:18Z,3687272779,197,805,3686953023,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686953021,130,4,3686953015,30,"8grd4q334w1ud9vbb6vrli6z9, 9kxuwgequrilkom3ru6sdxall, 9fd3uggpu2opd1cuiwskjbhm1, cx59kxpqiabi3c5vl9mxvlyhh, c4dvhy1z0op9iwj9aqdgzh0q1, bm5w5xsbbflm26pdhmejwgvs9, cm7l7qimy4iysm1khmpc7u961, 9hoygyx51dhic09hlnhlsjend, 96vt6e4xjci5gll0ogsnlfg89, a1q1se1i8ih65e94xswacghk9, 4x7o9h6ea8ldt9sxgz87vwycp, cksi669gcnskpytzh70a43it, 84aebyqt0y9r2jjml4u1z0ij9, czazwj4nt23bydpdi67i0wga2, axicg3mdtrur97rjz423pl8t1, a1u7272606p7abic3re1p5hhx, 75fze9pkbgv3baqwnyqnzxbe, 52lu5mlc9xdqjzgh1ne86wtsl, 26olsdd9erf8rahc8xfqz01xx, cwmej1d313luxo30tav8ws3jd",3686953027,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686953019,59,"1, 88, 3, 42, 20, 6, 33, 14, 8, 17, 38, 4, 7, 11, 13, 16, 25, 31, 49, 56",3686953017,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3686953025,194,cx59kxpqiabi3c5vl9mxvlyhh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442468261,1,34,16,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-08-06T13:11:42.249Z,2022-08-06T14:03:13Z,3686958145,59,"1, 2, 3, 4, 5, 6, 22, 8, 19, 9, 24, 7, 10, 11, 12, 14, 16, 17, 26, 31",3686958151,194,43mi8uliaor1b9mejf33if1sl,3687094335,197,1991,3686958153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686958147,130,8,3686958141,30,"4lp29rlldfr9f8jx6e6qqfgt1, dl2j6mynj9b09ehi3ebi2fc2d, eue5o5hcml60dtt61qku5jcut, bxgp3jpqcyk794ty0zk0o9jv9, 43mi8uliaor1b9mejf33if1sl, 3ka60g1o4fct4t2dc7394sr8p, a0d1koufzrtx0jcsw09ibtbyt, 1q9c3t3umg0yh0qop886eghxx, 3jxifism5urj3049zcojb8us5, bed0m5tw305n4c60cuqlhrkd1, bpbwue9gbmi9dd3wf7klkgdm1, 2n1na0cyvk19401cuwsokmaga, djjolbwunzmlob0chwp8x21g5, djn7515ev4uzfcvizndtrvzkl, auan97c17t3ze3zdvnfovtomh, 9ciad1fw48orv5aph9o83f6ne, 1hoyso1oinr2bza4lxgkzdiax, d2dqd11a9koizwjaq93n4npt6, 6aonl21cpvfg8ma7i00q9ho0l, 89b8lqf476f0slerw345892i1",3686958149,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3686958143,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496467,2,32,1,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-08-06T14:01:48.787Z,2022-08-06T19:04:16Z,3687095513,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496477,2,32,1,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2022-08-06T14:01:48.787Z,2022-08-06T14:01:52Z,3687095557,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496511,3,1,1,0,0,dvnjvad3p09dugr79gktlrtll,1,50.1,50,2022-08-06T14:01:48.816Z,2022-08-06T19:26:31Z,3688966015,178,,3687095705,279,S,3687095699,141,54.6,3687095697,140,42.4,3687095701,212,8.7,3687095695,56,Back,3687095703,213,2.8,,,,cm7l7qimy4iysm1khmpc7u961,M. O'Riley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496619,4,1,1,0,2,dvnjvad3p09dugr79gktlrtll,1,37.2,58.8,2022-08-06T14:01:51.107Z,2022-08-06T19:26:33Z,3688966095,178,,3687096205,56,Back,3687096213,213,1.6,3687096207,140,35.9,3687096209,141,87.6,3687096211,212,19.6,,,,,,,cx59kxpqiabi3c5vl9mxvlyhh,C. McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496685,5,1,1,0,3,dvnjvad3p09dugr79gktlrtll,1,35.9,87.6,2022-08-06T14:01:52.777Z,2022-08-06T19:26:38Z,3687096563,141,94.2,3687096559,56,Back,3687096561,140,43.7,3687096567,213,0.5,3688966475,178,,3687096565,212,9.3,,,,,,,9fd3uggpu2opd1cuiwskjbhm1,G. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496723,6,1,1,0,6,dvnjvad3p09dugr79gktlrtll,1,42.6,95.4,2022-08-06T14:01:54.838Z,2022-08-06T19:26:44Z,3687096765,141,79.2,3688966855,178,,3687096763,140,25.2,3687096769,213,3.7,3687096761,56,Back,3687096767,212,21.3,,,,,,,9hoygyx51dhic09hlnhlsjend,D. Turnbull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496799,7,1,1,0,9,dvnjvad3p09dugr79gktlrtll,1,20.7,70.4,2022-08-06T14:01:57.917Z,2022-08-06T19:26:48Z,3687097137,141,37.7,3687097135,140,23.2,3687097139,212,22.4,3687097141,213,4.8,3687097133,56,Back,3688967137,178,,,,,,,,bm5w5xsbbflm26pdhmejwgvs9,M. Jenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442496861,8,1,1,0,11,dvnjvad3p09dugr79gktlrtll,1,23.5,38.5,2022-08-06T14:02:00.606Z,2022-08-06T19:26:51Z,3687097403,213,0.4,3688967355,178,,3687097395,56,Back,3687097401,212,12.9,3687097399,141,46.0,3687097397,140,34.8,,,,,,,c4dvhy1z0op9iwj9aqdgzh0q1,C. Carter-Vickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
