id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/10/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,assist
2526433499,1,34,16,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2023-04-01T13:01:40.678Z,2023-04-01T14:06:33Z,4152009131,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152009127,59,"28, 2, 3, 77, 21, 15, 7, 8, 9, 30, 17, 88, 72, 61, 12, 13, 16, 18, 19, 29",4152009145,194,53ipmesg7cuaty2uzqm1a2xn9,4152009125,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4152009123,30,"2dnrfdd702umzunv6rukg0jx1, ey5m0gz111sobrykgcrpt45at, a6gle2qqy7154nh3pqso7upqt, 5jnu1yubvgdh6k9v9x277kjx1, emglo360rdevds650u33d2odl, 699t2ytlqawiya0n1ytwk0f6x, 6a7br2t45mam4765clafr0lp1, dldx0lpfwxc7eb0bc092m48a1, 53ipmesg7cuaty2uzqm1a2xn9, 4ixfdbtira0k9hyhaj4fov651, ucsmsk8k5wn69tdpz70ytyad, 111qxn4nmcj81nfg5grdp165m, 9ea8t509bssf2bhp1n5xxvrl6, 1v62lh9e2cpqsaww3ggw5togk, 9voc3iwmlxkuuln6h03j0fqzu, 7kyujdy1mcqzlevv3f0l0oul1, bbgkxdtxxoinxftd09k5lth3p, en7rrg1epwhzy47dd1zcp9wb9, 9fk3a8f7bhmecbubtfuqs9jvt, 578r1t1b7ork624lq5q4k55ux",4152009147,197,9221,4152009129,130,4,4152009149,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526435147,1,34,16,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2023-04-01T13:04:07.977Z,2023-04-01T13:04:08Z,4152017763,59,"20, 11, 10, 3, 19, 2, 34, 7, 23, 26, 22, 1, 4, 5, 8, 15, 16, 17, 24, 25",4152017759,30,"91m838lynz6db94q8ufcqk91x, 9z0xcc7yot7royqle0nn6fdn9, 6ta1shg2pfj5cchdod1xdtvbp, aqt5c6bvjkbaw56lq7t69kjjd, 4rsnyz3019rgfjdil1zs024t1, 9coe01drgpmlz3ee9qfond815, 2707xag1w0czgk17kz84632ms, 8q0nnrx7ru205zepoqv7lm579, dzs6o86mv89839vlz2qswhuj9, 71xg650qcs8yibhrumgvdejth, 5h9myriisqh4v99oka6gwey8l, 1fkrvnzbrb9s0qojjhc8edpm1, 2spu2yn887lywqw2vrg3evhlh, 2c89yb9spduwcxl7lrhckru1h, dggymph6p6xe8s3h2hae5p5g5, 6uvj9qt3kex5sx729zbe1rlyh, 9hnkwvq81pd0bkovc17lqhf4l, atf7aycphllb4i8h9jnld4bmd, bt4n55baiq4m30oyc0v833omi, 2ytdtlvxm0ba22gsmk6vu4vhm",4152017773,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152017767,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4152017765,130,12,4152017771,197,1978,4152017769,194,8q0nnrx7ru205zepoqv7lm579,4152017761,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526487411,2,32,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2023-04-01T14:02:07.600Z,2023-04-01T22:59:12Z,4152285735,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526487429,2,32,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2023-04-01T14:02:07.600Z,2023-04-01T14:02:13Z,4152285813,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526487635,3,1,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,50.1,50,2023-04-01T14:02:07.657Z,2023-04-02T03:45:27Z,4152286873,213,2.7,4156040377,178,,4152286869,141,56.1,4152286875,279,S,4152286867,140,40.7,4152286871,212,10.7,4152286865,56,Back,,,,8q0nnrx7ru205zepoqv7lm579,R. McKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526487665,4,1,1,0,2,enzoyc121va61wtmjf4cm7p3d,0,44.4,50.9,2023-04-01T14:02:09.932Z,2023-04-02T03:45:35Z,4152287035,212,52.3,4152287029,56,Right,4152287037,213,5.8,4152287031,140,87.3,4152287027,155,,4152287039,1,,4152287033,141,11.9,4156040605,178,,5h9myriisqh4v99oka6gwey8l,L. Donnelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526487679,3,49,1,0,6,1hcbcuu846pa3iw6qskiws1cu,1,11.5,89.9,2023-04-01T14:02:14.058Z,2023-04-02T03:45:45Z,,,,,,,,,,,,,,,,,,,,,,,,,a6gle2qqy7154nh3pqso7upqt,S. Kingsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526487721,4,1,1,0,6,1hcbcuu846pa3iw6qskiws1cu,0,11.5,89.9,2023-04-01T14:02:14.088Z,2023-04-02T03:45:48Z,4152287295,157,,4152287305,213,1.0,4152287297,56,Back,4152287307,1,,4152287301,141,100.0,4152287299,140,16.9,4152287303,212,10.0,4156040995,178,,a6gle2qqy7154nh3pqso7upqt,S. Kingsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526487881,5,5,1,0,8,enzoyc121va61wtmjf4cm7p3d,1,77.6,-1.8,2023-04-01T14:02:15.949Z,2023-04-02T03:45:53Z,4152288163,233,5,4152288107,347,,4152288103,56,Right,,,,,,,,,,,,,,,,5h9myriisqh4v99oka6gwey8l,L. Donnelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526487725,5,5,1,0,8,1hcbcuu846pa3iw6qskiws1cu,0,22.4,101.8,2023-04-01T14:02:15.949Z,2023-04-02T03:45:53Z,4152287313,56,Back,4152287315,347,,4152288197,233,5,,,,,,,,,,,,,,,,a6gle2qqy7154nh3pqso7upqt,S. Kingsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
