id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/12/value,keyPass,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value,qualifier/21/id,qualifier/21/qualifierId,assist
2521502793,1,34,16,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2023-03-18T14:12:59.726Z,2023-03-18T15:02:17Z,4105088535,30,"bu7u0edo60hpre8wkhgw79gwl, 2i835ww5po0e5y9txkdajsnsa, atx6lc3lltktph9wnqv5oihg5, 5f1erzxtvzncvf1wtqnv3fgmh, e98evrjmtbjwjrmvlhu1hn36d, 82m1eir9istcl9x5srqdrtca2, 1xofhzib5lyqx285j8x36xg8a, 87aix2c3m5x08nsurhjql51p1, dnnv0ts8b4ov8id729wyoeuax, cugnsf9b6g823srxuux5jnofe, 6qp481f9ke8vcrvu9gnsbq4lx, 9ki0zmbky1zluxnz63008ozmy, cs5ejx87ge8am8ir8w0lj4wk5, 4w3ipvncxgip8rxi2sf0l971l, 1ol8b62vocx8kr8p4egifu3md, fx0i4f70a096eya9f6irwdt5, 3jppvkr0tv7r8lwraqvc7wtlh, ba98uem1wm5f638awk1k5caok, dn3d4l4uyymqlsynwf1lfnzf8, 3je3s65vdag4qctd9q0ku8z8q",4105088541,130,10,4105088547,197,16501,4105088549,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105088537,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4105088543,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105088545,194,bu7u0edo60hpre8wkhgw79gwl,4105088539,59,"1, 2, 16, 3, 4, 25, 26, 14, 23, 32, 8, 13, 12, 15, 17, 18, 22, 31, 37, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521506207,1,34,16,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-03-18T14:15:46.116Z,2023-03-18T14:51:24Z,4105107821,197,805,4105107815,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105107813,130,4,4105107823,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4105107807,30,"8grd4q334w1ud9vbb6vrli6z9, epwfc94g7m7ed1nbt9wbgo6ei, 9fd3uggpu2opd1cuiwskjbhm1, cx59kxpqiabi3c5vl9mxvlyhh, c4dvhy1z0op9iwj9aqdgzh0q1, cksi669gcnskpytzh70a43it, cm7l7qimy4iysm1khmpc7u961, ed81nbya8j93qvelqdk79ustm, 96vt6e4xjci5gll0ogsnlfg89, a1q1se1i8ih65e94xswacghk9, 4x7o9h6ea8ldt9sxgz87vwycp, 8ydeghsg8bdyovqjnr56hz8x5, czazwj4nt23bydpdi67i0wga2, 9hoygyx51dhic09hlnhlsjend, 3g3x2ws0npu7aa51h4nx7nazu, 9qe7czo24c9hz308iuzgx9nxm, 75fze9pkbgv3baqwnyqnzxbe, 9v2ru33bml5fpvpcbjhrahjv9, cwmej1d313luxo30tav8ws3jd, 34mgsb7k4po6ftbu01tqvam8k",4105107817,194,cx59kxpqiabi3c5vl9mxvlyhh,4105107811,59,"1, 2, 3, 42, 20, 4, 33, 41, 8, 17, 38, 9, 11, 14, 18, 19, 25, 29, 56, 53",4105107809,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521559653,2,32,1,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-03-18T15:01:34.147Z,2023-03-18T19:35:25Z,4105379719,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521559673,2,32,1,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2023-03-18T15:01:34.147Z,2023-03-18T15:01:36Z,4105379815,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521559739,3,1,1,0,0,dvnjvad3p09dugr79gktlrtll,1,50.2,50.1,2023-03-18T15:01:34.176Z,2023-03-18T19:46:16Z,4105380169,212,6.7,4105380173,279,S,4105380167,141,49.7,4105380171,213,3.2,4105380163,56,Back,4105380165,140,43.8,4107354267,178,,,,,cm7l7qimy4iysm1khmpc7u961,M. O'Riley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521559941,4,1,1,0,1,dvnjvad3p09dugr79gktlrtll,1,45.5,50.8,2023-03-18T15:01:35.454Z,2023-03-19T00:11:19Z,4107354725,178,,4105381111,140,46.5,4105381107,56,Back,4105381117,213,1.5,4105381115,212,19.7,4105381113,141,79.7,,,,,,,cx59kxpqiabi3c5vl9mxvlyhh,C. McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521560039,5,1,1,0,7,dvnjvad3p09dugr79gktlrtll,1,57.7,87.2,2023-03-18T15:01:41.404Z,2023-03-19T00:11:18Z,4105381605,212,30.4,4105381593,56,Left,4107355285,178,,4105381601,141,91.5,4105381611,213,0.1,4105381597,140,86.5,4105381589,155,,,,,9fd3uggpu2opd1cuiwskjbhm1,G. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521560099,6,1,1,0,9,dvnjvad3p09dugr79gktlrtll,0,84.1,89.3,2023-03-18T15:01:43.426Z,2023-03-19T00:11:17Z,4105381881,141,73.5,4105381871,3,,4107355629,178,,4105381879,140,89.5,4105381883,212,12.1,4105381875,56,Center,4105381885,213,5.2,,,,4x7o9h6ea8ldt9sxgz87vwycp,D. Maeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521560153,3,12,1,0,11,c9ky1957qli8v2lylfga7io8b,1,12.5,32.4,2023-03-18T15:01:45.247Z,2023-03-19T00:11:17Z,4105382131,213,5.1,4105382401,15,,4105382125,140,22.6,4105382123,56,Back,4105382129,212,25.7,4107356077,178,,4105382403,167,,4105382127,141,0.0,e98evrjmtbjwjrmvlhu1hn36d,P. Hanlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521560157,4,5,1,0,13,c9ky1957qli8v2lylfga7io8b,0,25.2,-2,2023-03-18T15:01:48.059Z,2023-03-18T19:46:38Z,4105383035,233,7,4105382139,56,Back,4105382141,347,,,,,,,,,,,,,,,,,e98evrjmtbjwjrmvlhu1hn36d,P. Hanlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
