id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value
2530126911,1,34,16,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-04-08T10:27:44.356Z,2023-04-08T10:59:32Z,4171695891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171695879,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4171695883,130,4,4171695889,197,805,4171695887,194,cx59kxpqiabi3c5vl9mxvlyhh,4171695881,59,"1, 2, 3, 42, 20, 4, 13, 33, 8, 17, 38, 9, 14, 18, 19, 24, 25, 29, 57, 69",4171695877,30,"8grd4q334w1ud9vbb6vrli6z9, epwfc94g7m7ed1nbt9wbgo6ei, 9fd3uggpu2opd1cuiwskjbhm1, cx59kxpqiabi3c5vl9mxvlyhh, c4dvhy1z0op9iwj9aqdgzh0q1, cksi669gcnskpytzh70a43it, axicg3mdtrur97rjz423pl8t1, cm7l7qimy4iysm1khmpc7u961, 96vt6e4xjci5gll0ogsnlfg89, a1q1se1i8ih65e94xswacghk9, 4x7o9h6ea8ldt9sxgz87vwycp, 8ydeghsg8bdyovqjnr56hz8x5, 9hoygyx51dhic09hlnhlsjend, 3g3x2ws0npu7aa51h4nx7nazu, 9qe7czo24c9hz308iuzgx9nxm, v6ddixs4xh5qjb67smsht23t, 75fze9pkbgv3baqwnyqnzxbe, 9v2ru33bml5fpvpcbjhrahjv9, 9z5mgvlru0x1bl4lhwe1irw15, 483132c0u6c5ky3uty1yobpjo",4171695885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530127689,1,34,16,0,0,cnnku8uihko7u4th0fms4pvg6,1,0,0,2023-04-08T10:31:19.833Z,2023-04-08T11:35:10Z,4171699823,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4171699835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171699831,194,4kpf2eyjqmax3f676dmhh9e51,4171699829,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171699827,130,8,4171699825,59,"1, 2, 31, 43, 16, 26, 13, 8, 20, 71, 14, 3, 4, 7, 9, 18, 23, 30, 33, 37",4171699833,197,1995,4171699821,30,"54u4k9lzcugph99091xt282j9, 4kpf2eyjqmax3f676dmhh9e51, ehj0z1y90uxmn8gdvaoldk1cl, rmruexgp6l6ar57aq8xffg4q, 4omwvnw9p46nfg7by0amh2hh, 8iwme9n9fhlu50yqm3pvtrd91, bzvr1umoce37zyxq8hvwu1lgp, 8vom1gwu040ty00c6ps3r2sph, 4lb16ginbppvud84mgwirvfth, 25vb30mtetefhp3ix26nlhx0q, 95pgrmkq8cn94eo5y26hp4s7p, 1o7uvhqqueh716napx4qpq99m, 90qai3k7otbuwrry224ki1f4l, 84qg8f7lr34fps859v324v4k5, 12vo1l1xngzwi7kndbnyzfbv9, 90ibgoec1k1npb1odsqwpfx1, 9weodc9tdqcm2dg6cg6wyx785, 5p8y1fedi7alsnrdwg7lmw99l, 60ahvhvx30iw7abq1hxrzd0wl, 4f2bppk56sa7dqgw652x0fzdh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530152177,2,32,1,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-04-08T11:30:57.720Z,2023-04-08T17:52:54Z,4171814685,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530152169,2,32,1,0,0,cnnku8uihko7u4th0fms4pvg6,1,0,0,2023-04-08T11:30:57.720Z,2023-04-08T11:30:58Z,4171814631,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530152187,3,1,1,0,0,cnnku8uihko7u4th0fms4pvg6,1,50,50,2023-04-08T11:30:57.751Z,2023-04-08T17:59:49Z,4171814739,212,12.7,4171814741,213,3.2,4171814733,56,Back,4171814735,140,38.0,4171814743,279,S,4173410961,178,,4171814737,141,48.2,,,,95pgrmkq8cn94eo5y26hp4s7p,R. Kent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530152197,4,1,1,0,1,cnnku8uihko7u4th0fms4pvg6,1,38.1,50.6,2023-04-08T11:30:59.428Z,2023-04-08T21:29:25Z,4171814793,213,4.1,4171814785,56,Back,4171814787,140,29.0,4171814789,141,32.2,4173411191,178,,4171814791,212,15.7,,,,,,,rmruexgp6l6ar57aq8xffg4q,N. Raskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530152213,5,1,1,0,3,cnnku8uihko7u4th0fms4pvg6,1,30,35.4,2023-04-08T11:31:01.314Z,2023-04-08T21:29:24Z,4171814861,212,17.8,4173411519,178,,4171814859,141,9.2,4171814857,140,30.6,4171814855,56,Back,4171814863,213,4.7,,,,,,,4omwvnw9p46nfg7by0amh2hh,J. Souttar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530152249,3,45,1,0,5,dvnjvad3p09dugr79gktlrtll,0,65.1,90,2023-04-08T11:31:03.291Z,2023-04-08T21:29:23Z,4171815107,233,6,4171815055,285,,4171815053,56,Left,,,,,,,,,,,,,,,,4x7o9h6ea8ldt9sxgz87vwycp,D. Maeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530152229,6,3,1,0,5,cnnku8uihko7u4th0fms4pvg6,1,34.9,10,2023-04-08T11:31:03.291Z,2023-04-08T21:29:23Z,4173411783,178,,4171814961,56,Back,4171815087,286,,4172533857,464,,4171815083,233,3,,,,,,,,,,4kpf2eyjqmax3f676dmhh9e51,J. Tavernier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530152233,7,50,1,0,7,cnnku8uihko7u4th0fms4pvg6,1,38.2,14.9,2023-04-08T11:31:04.878Z,2023-04-08T21:29:23Z,4171815715,233,4,4171814979,56,Back,4171815719,286,,,,,,,,,,,,,,,,,4kpf2eyjqmax3f676dmhh9e51,J. Tavernier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
