id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2493742531,1,34,16,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-12-28T18:49:03.591Z,2022-12-28T19:17:05Z,3958779607,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958779603,194,6o62deaqwdcrllc91hz09cct1,3958779599,130,12,3958779593,30,"26hokry025pgjx5bn7ljlkatx, el8iinhsb8c12kgvng4idutat, su2h9bv6nhltjjkbz5s7lrdh, 4e49434kkv98sjq1byj8rnkh6, 8byxqwq7ktyxn5rfbj4p0m0o9, 6o62deaqwdcrllc91hz09cct1, cxykkqaoe67ndqpwoq1t15ca2, 9imvdvv7wnaknh1bc4ocun78q, bkehljspqbj6tz0peqjivkvai, 8cpd4je0ku8wjumqeh3ruv10p, c4kxfrbrfedilykhbyak3e579, 6xvw6n5wq8bcgg01i87rbfsgl, 1naidcngjv592t1hgd78yy8oa, 5frjqqf0jvbqw8ag00pktw8yy, 7ie1bwuj4e18xy9bl6mszwt1, 34f03siv3fwkjgxy0d036ncru, 16x7shxmsfll6pytg8b8v0dbe, eh244gs179rv5hxz3oisx8d90, 6mzls8dbmhxyhrhtrha733jtg, dnv51o5kbp3627cjdl5yxks7p",3958779597,59,"24, 33, 22, 3, 4, 2, 8, 23, 11, 9, 16, 1, 7, 10, 15, 21, 25, 28, 46, 99",3958779595,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3958779601,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958779605,197,7011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493743107,1,34,16,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2022-12-28T18:53:43.112Z,2022-12-28T20:39:48Z,3958782701,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958782705,197,1978,3958782695,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3958782697,59,"20, 11, 33, 2, 5, 19, 7, 31, 16, 26, 22, 1, 6, 8, 9, 10, 15, 17, 21, 29",3958782693,30,"91m838lynz6db94q8ufcqk91x, 9z0xcc7yot7royqle0nn6fdn9, 1wmfn9bky6owvj3jc4iftsxnu, 9coe01drgpmlz3ee9qfond815, 2c89yb9spduwcxl7lrhckru1h, 4rsnyz3019rgfjdil1zs024t1, 8q0nnrx7ru205zepoqv7lm579, ek2ub5dvlisn73a45n3gwj2s5, 9hnkwvq81pd0bkovc17lqhf4l, 71xg650qcs8yibhrumgvdejth, 5h9myriisqh4v99oka6gwey8l, 1fkrvnzbrb9s0qojjhc8edpm1, 1pt1yc4fl9oxxsaoeq1cm3xzp, dggymph6p6xe8s3h2hae5p5g5, n4ml5xifvll22bpq68ld4auh, 6ta1shg2pfj5cchdod1xdtvbp, 6uvj9qt3kex5sx729zbe1rlyh, atf7aycphllb4i8h9jnld4bmd, 3svpmpx5tb4ekuewkh79l2up5, 8p1pe1wpwy9o3p2n9imr2k5ck",3958782703,194,2c89yb9spduwcxl7lrhckru1h,3958782707,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958782699,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752797,2,32,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-12-28T19:48:33.515Z,2022-12-28T19:48:34Z,3958829469,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752793,2,32,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2022-12-28T19:48:33.515Z,2022-12-29T00:02:23Z,3958829463,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752809,3,1,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,50,50,2022-12-28T19:48:33.535Z,2022-12-29T02:33:13Z,3958829515,141,46.4,3958829511,56,Back,3958829519,213,3.3,3959147873,178,,3958829521,279,S,3958829513,140,35.4,3958829517,212,15.5,,,,cxykkqaoe67ndqpwoq1t15ca2,C. Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752821,4,1,1,0,1,841zp0njrq63yv4fvw6lgf60q,0,36.2,46.4,2022-12-28T19:48:34.747Z,2022-12-29T02:33:17Z,3958829597,212,45.1,3958829593,140,76.3,3958829599,213,0.4,3958829591,56,Center,3959147945,178,,3958829595,141,70.3,3958829601,1,,3959053183,157,,6o62deaqwdcrllc91hz09cct1,R. McCrorie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752827,3,44,1,0,5,enzoyc121va61wtmjf4cm7p3d,1,22.5,27.9,2022-12-28T19:48:38.562Z,2022-12-29T04:56:51Z,3958829627,233,5,3958829611,56,Back,3958829613,285,,,,,,,,,,,,,,,,,2c89yb9spduwcxl7lrhckru1h,A. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752825,5,44,1,0,5,841zp0njrq63yv4fvw6lgf60q,0,77.5,72.1,2022-12-28T19:48:38.563Z,2022-12-29T02:33:21Z,3958829609,286,,3958829663,233,3,3958829607,56,Center,,,,,,,,,,,,,,,,8cpd4je0ku8wjumqeh3ruv10p,B. Miovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752831,4,1,1,0,5,enzoyc121va61wtmjf4cm7p3d,1,22.5,26.4,2022-12-28T19:48:38.634Z,2022-12-29T04:56:52Z,3959148063,388,,3958829639,212,17.4,3958829637,141,22.3,3958829633,56,Back,3958829635,140,38.9,3958829631,3,,3958829641,213,6.1,,,,2c89yb9spduwcxl7lrhckru1h,A. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752839,5,49,1,0,7,enzoyc121va61wtmjf4cm7p3d,1,41.2,15,2022-12-28T19:48:41.207Z,2022-12-29T02:33:32Z,,,,,,,,,,,,,,,,,,,,,,,,,9hnkwvq81pd0bkovc17lqhf4l,S. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752853,6,1,1,0,8,enzoyc121va61wtmjf4cm7p3d,1,39.8,14,2022-12-28T19:48:42.448Z,2022-12-29T02:33:36Z,3958829741,56,Back,3958829745,141,8.0,3959148179,178,,3958829747,212,7.3,3958829743,140,45.6,3958829749,213,5.7,,,,,,,9hnkwvq81pd0bkovc17lqhf4l,S. Robinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752889,7,1,1,0,11,enzoyc121va61wtmjf4cm7p3d,1,44.6,8.6,2022-12-28T19:48:44.525Z,2022-12-29T02:34:11Z,3959148325,178,,3958829939,56,Back,3958829945,212,14.5,3958829941,140,34.0,3958829947,213,2.4,3958829943,141,22.2,,,,,,,9z0xcc7yot7royqle0nn6fdn9,D. Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752895,8,1,1,0,15,enzoyc121va61wtmjf4cm7p3d,1,38,7.9,2022-12-28T19:48:48.806Z,2022-12-29T02:34:15Z,3958829975,140,55.8,3958829981,213,6.1,3958829979,212,18.9,3959148351,178,,3958829973,56,Right,3958829977,141,3.5,,,,,,,5h9myriisqh4v99oka6gwey8l,L. Donnelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752899,9,61,1,0,15,enzoyc121va61wtmjf4cm7p3d,1,55.8,3.5,2022-12-28T19:48:49.103Z,2022-12-29T02:34:18Z,3958829989,56,Right,3959148371,178,,,,,,,,,,,,,,,,,,,,9z0xcc7yot7royqle0nn6fdn9,D. Armstrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493752909,6,5,1,0,16,841zp0njrq63yv4fvw6lgf60q,1,44.3,101.8,2022-12-28T19:48:50.482Z,2022-12-29T02:34:21Z,3958830047,233,10,3958830033,56,Back,3958830037,347,,,,,,,,,,,,,,,,,9imvdvv7wnaknh1bc4ocun78q,R. Duncan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
