id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/12/value,qualifier/11/value,qualifier/10/value,qualifier/16/value,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId
2440910257,5,1,1,0,33,muo4d1nfi1vgyvz5n07tjmoo,0,23.8,74.8,2022-07-31T14:01:41.230Z,2022-08-01T03:45:08Z,3678680233,141,89.4,3678680433,1,,3678680231,140,56.6,3678680227,3,,3678680235,212,35.8,3678680229,56,Left,3680456475,388,,3678680237,213,0.3,ewlrnu90xe2127a1erxlz29qt,C. Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910245,7,49,1,0,37,759fhii7hsnldanli06j5jmf6,1,42.3,10.7,2022-07-31T14:01:45.509Z,2022-08-01T03:45:17Z,,,,,,,,,,,,,,,,,,,,,,,,,8qv2da4sxpuw4h44jm4dz2j85,R. Lamie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910265,8,1,1,0,37,759fhii7hsnldanli06j5jmf6,0,42.3,10.7,2022-07-31T14:01:45.533Z,2022-08-01T03:45:26Z,3680456679,178,,3678680327,1,,3678680315,157,,3678680325,213,5.9,3678680317,56,Right,3678680319,140,64.2,3678680323,212,24.5,3678680321,141,0.0,8qv2da4sxpuw4h44jm4dz2j85,R. Lamie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910283,6,5,1,0,39,muo4d1nfi1vgyvz5n07tjmoo,1,29.8,101.8,2022-07-31T14:01:47.697Z,2022-08-01T03:45:34Z,3678680447,233,9,3678680427,347,,3678680425,56,Back,,,,,,,,,,,,,,,,ewlrnu90xe2127a1erxlz29qt,C. Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910269,9,5,1,0,39,759fhii7hsnldanli06j5jmf6,0,70.2,-1.8,2022-07-31T14:01:47.697Z,2022-08-01T03:45:34Z,3678680347,56,Right,3678680349,347,,3678680451,233,6,,,,,,,,,,,,,,,,8qv2da4sxpuw4h44jm4dz2j85,R. Lamie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910403,7,1,1,0,58,muo4d1nfi1vgyvz5n07tjmoo,1,54.1,100,2022-07-31T14:02:06.218Z,2022-08-01T03:45:41Z,3678681153,213,5.7,3678681151,212,17.5,3678681145,56,Left,3678681147,140,68.2,3678681149,141,87.1,3678681143,107,,,,,,,,8fsd4fp4wx5o8oqmwdf9ppl91,S. Tanser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910431,8,1,1,1,0,muo4d1nfi1vgyvz5n07tjmoo,1,67.9,94.8,2022-07-31T14:02:08.877Z,2022-08-01T03:45:49Z,3678681303,140,71.1,3678681301,56,Left,3678681309,213,5.4,3678681307,212,5.3,3678681305,141,88.7,3680456809,178,,,,,,,,cz9jf3ozld7o0hns2xmn54b56,E. Erhahon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910435,9,4,1,1,2,muo4d1nfi1vgyvz5n07tjmoo,1,71.8,87.4,2022-07-31T14:02:10.747Z,2022-08-01T03:45:55Z,3678681317,152,,3678681393,233,10,3678681319,265,,3678681315,56,Left,3678681321,286,,3678681313,13,,,,,,,,3n02ng7medocg9rmg70pw2j1l,J. Ayunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910443,10,4,1,1,2,759fhii7hsnldanli06j5jmf6,0,28.2,12.6,2022-07-31T14:02:10.748Z,2022-08-01T03:45:55Z,3678681397,233,9,3678681355,285,,3678681347,13,,3678681349,56,Back,3678681353,265,,3680456861,178,,3678681351,152,,,,,201zg5m6q6zjj43w8jlf5cgrt,S. Johansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910647,10,1,1,1,28,muo4d1nfi1vgyvz5n07tjmoo,1,72.1,88.3,2022-07-31T14:02:36.216Z,2022-08-01T03:46:42Z,3678682457,212,29.3,3678682459,213,5.3,3679771847,20,,3678682445,5,,3678682453,140,87.7,3678682443,2,,3679771845,223,,3678682455,141,52.5,3jyid2g273zr668fxeeplegnp,R. Strain,3680457277,178,3678682451,56,Center,3678682449,152,3678682447,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910685,14,44,1,1,29,muo4d1nfi1vgyvz5n07tjmoo,1,87.8,57.6,2022-07-31T14:02:37.680Z,2022-08-01T07:22:03Z,3678682755,56,Center,3678682757,286,,3678682759,233,11,,,,,,,,,,,,,,,,ewlrnu90xe2127a1erxlz29qt,C. Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910645,11,44,1,1,29,759fhii7hsnldanli06j5jmf6,0,12.2,42.4,2022-07-31T14:02:37.681Z,2022-08-01T03:46:52Z,3678682437,285,,3678682769,233,14,3678682435,56,Back,,,,,,,,,,,,,,,,blmo7wrka5yrcckuu9owlwx5h,P. McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910663,11,1,1,1,29,muo4d1nfi1vgyvz5n07tjmoo,1,87.6,52.5,2022-07-31T14:02:37.717Z,2022-08-01T07:22:03Z,3678682591,3,,3678682603,213,5.7,3678682595,56,Center,3678687177,154,,3680457405,388,,3678682593,168,,3678682601,212,12.5,3678687175,210,15,ewlrnu90xe2127a1erxlz29qt,C. Dunne,3678682599,141,3678682597,140,97.6,,,,,1,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910667,12,15,1,1,31,muo4d1nfi1vgyvz5n07tjmoo,1,96.8,41.2,2022-07-31T14:02:39.775Z,2022-08-01T03:48:53Z,3678686913,24,,3678687299,233,23,3678687203,100,,3678687207,147,42.6,3680457449,178,,3678687209,230,99.7,3678682623,56,Center,3678686919,82,,3n02ng7medocg9rmg70pw2j1l,J. Ayunga,3678687189,154,3678687187,29,,3678687201,328,3678687185,80,,,3678686915,20,3678687205,146,97.8,3678687197,103,19,3678687211,231,47.1,3678687199,108,3678686737,60,3678687195,102,45.5,3678687191,55,11,,,,,,,
2440911447,23,10,1,1,31,759fhii7hsnldanli06j5jmf6,1,2.6,59.9,2022-07-31T14:02:39.856Z,2022-08-01T06:13:58Z,3680457755,178,,3678686777,56,Back,3678686961,233,12,3680529375,21,,3678686775,94,,,,,,,,,,,1uu6iy1n107p6o82uhzp9jcut,J. Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440911547,26,61,1,1,31,muo4d1nfi1vgyvz5n07tjmoo,1,98,37.5,2022-07-31T14:02:39.915Z,2022-08-01T06:14:19Z,3680457815,178,,3678687357,56,Center,3680529473,21,,,,,,,,,,,,,,,,,3n02ng7medocg9rmg70pw2j1l,J. Ayunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910677,12,5,1,1,32,759fhii7hsnldanli06j5jmf6,1,-1.4,60.5,2022-07-31T14:02:40.700Z,2022-08-01T03:49:23Z,3678682685,56,Back,3678682687,346,,3678682693,233,13,,,,,,,,,,,,,,,,blmo7wrka5yrcckuu9owlwx5h,P. McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910671,13,5,1,1,32,muo4d1nfi1vgyvz5n07tjmoo,0,101.4,39.5,2022-07-31T14:02:40.700Z,2022-08-01T03:49:23Z,3678682643,56,Center,3678682645,346,,3678682697,233,12,,,,,,,,,,,,,,,,3n02ng7medocg9rmg70pw2j1l,J. Ayunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910927,13,1,1,2,8,759fhii7hsnldanli06j5jmf6,0,4.1,54.3,2022-07-31T14:03:16.959Z,2022-08-01T03:49:28Z,3678684117,141,100.0,3678684125,74,,3678684119,212,68.6,3678684115,140,62.0,3678684123,1,,3678684121,213,0.5,3678684111,124,,3678684113,56,Left,4gxuw581mvfnr6qr3aobbjyt,L. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440910931,14,5,1,2,13,759fhii7hsnldanli06j5jmf6,0,61,101.2,2022-07-31T14:03:21.904Z,2022-08-01T03:49:35Z,3678684133,347,,3678684131,56,Left,3678684755,233,15,,,,,,,,,,,,,,,,4gxuw581mvfnr6qr3aobbjyt,L. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440911037,15,5,1,2,13,muo4d1nfi1vgyvz5n07tjmoo,1,39,-1.2,2022-07-31T14:03:21.904Z,2022-08-01T03:49:35Z,3678684693,56,Back,3678684735,233,14,3678684695,347,,,,,,,,,,,,,,,,,ewlrnu90xe2127a1erxlz29qt,C. Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440911063,16,1,1,2,28,muo4d1nfi1vgyvz5n07tjmoo,0,46.2,0,2022-07-31T14:03:36.323Z,2022-08-01T03:49:45Z,3678684805,140,69.5,3678684817,213,0.1,3678684809,141,2.0,3678684803,56,Right,3678684801,107,,3678684821,1,,3678684813,212,24.6,,,,9n6jx9s4eip7mgken67i9oyc5,D. Gallagher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440911071,15,8,1,2,29,759fhii7hsnldanli06j5jmf6,1,31.1,85.4,2022-07-31T14:03:37.837Z,2022-08-01T03:49:52Z,3679774599,384,,3680458463,388,,3678684839,56,Back,3678684841,15,,,,,,,,,,,,,,1uu6iy1n107p6o82uhzp9jcut,J. Carroll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
