id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist
2498485565,1,34,16,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-01-18T18:41:16.760Z,2023-01-18T20:02:29Z,3983784431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3983784423,194,cx59kxpqiabi3c5vl9mxvlyhh,3983784415,130,4,3983784411,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3983784413,59,"1, 2, 88, 42, 4, 18, 33, 41, 8, 11, 17, 9, 13, 14, 24, 29, 38, 49, 56, 57",3983784419,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3983784427,197,805,3983784409,30,"8grd4q334w1ud9vbb6vrli6z9, epwfc94g7m7ed1nbt9wbgo6ei, 9kxuwgequrilkom3ru6sdxall, cx59kxpqiabi3c5vl9mxvlyhh, cksi669gcnskpytzh70a43it, 3g3x2ws0npu7aa51h4nx7nazu, cm7l7qimy4iysm1khmpc7u961, ed81nbya8j93qvelqdk79ustm, 96vt6e4xjci5gll0ogsnlfg89, czazwj4nt23bydpdi67i0wga2, a1q1se1i8ih65e94xswacghk9, 8ydeghsg8bdyovqjnr56hz8x5, axicg3mdtrur97rjz423pl8t1, 9hoygyx51dhic09hlnhlsjend, v6ddixs4xh5qjb67smsht23t, 9v2ru33bml5fpvpcbjhrahjv9, 4x7o9h6ea8ldt9sxgz87vwycp, 26olsdd9erf8rahc8xfqz01xx, cwmej1d313luxo30tav8ws3jd, 9z5mgvlru0x1bl4lhwe1irw15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498489705,1,34,16,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2023-01-18T18:55:18.738Z,2023-01-18T20:02:28Z,3983805567,30,"b3rry494s23b8elnqn3b5s5x, 3jyid2g273zr668fxeeplegnp, 8fsd4fp4wx5o8oqmwdf9ppl91, ewlrnu90xe2127a1erxlz29qt, 9n6jx9s4eip7mgken67i9oyc5, dgrjf6wf81uuk32qxqunfoded, 6lwrvaxo8k9t72aibrsf6cdex, cz9jf3ozld7o0hns2xmn54b56, 3n02ng7medocg9rmg70pw2j1l, 29zpgzbse1373d9bhj3l2ee39, 9d2p89e7bftxqhk80hy9ldeqd, tj1jt0o03ionrc0h7279x2zu, 9stfaq0p7jw8269ms8ijc4a8l, 2r9hayi0ybenx2bj3hrhzbb9x, ctqn305re0qsih8mh5nufg89h, eosd8dmfqtaol3dnkypyswn3d, 4g4zufvyime7qp4ks4badls0k, dtxvjsp1yrr3njbg7b3l5fo4p, 6nm4j9c81rfkxyl9vfxvbscno, 6550eub0qoudw8d846theawpg",3983805577,194,dgrjf6wf81uuk32qxqunfoded,3983805571,59,"1, 23, 3, 18, 31, 4, 17, 16, 7, 10, 13, 5, 8, 9, 11, 20, 21, 27, 30, 32",3983805575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3983805579,197,16369,3983805573,130,10,3983805581,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3983805569,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507003,2,32,1,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-01-18T19:46:57.254Z,2023-01-19T00:27:36Z,3983890019,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507007,2,32,1,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2023-01-18T19:46:57.254Z,2023-01-18T19:46:59Z,3983890033,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507029,3,1,1,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,50.4,49.5,2023-01-18T19:46:57.317Z,2023-01-19T00:34:11Z,3983890159,213,2.8,3983890149,56,Back,3983890153,140,34.0,3983890155,141,59.2,3984202239,178,,3983890161,279,S,3983890157,212,18.4,,,,6lwrvaxo8k9t72aibrsf6cdex,K. Baccus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507049,4,1,1,0,2,muo4d1nfi1vgyvz5n07tjmoo,0,36.1,52.1,2023-01-18T19:47:00.128Z,2023-01-19T05:40:10Z,3983890219,155,,3983890229,213,3.4,3983890225,141,51.8,3984202405,178,,3983890309,286,,3983890305,233,3,3983890223,140,35.3,3983890221,56,Back,ewlrnu90xe2127a1erxlz29qt,C. Dunne,3983890227,212,0.9,3983890303,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507067,3,74,1,0,2,dvnjvad3p09dugr79gktlrtll,1,60.3,49.6,2023-01-18T19:47:00.251Z,2023-01-19T05:40:09Z,3983890295,56,Center,3983890311,233,4,3984202517,388,,3983890297,285,,,,,,,,,,,,,,96vt6e4xjci5gll0ogsnlfg89,K. Furuhashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507059,5,61,1,0,3,muo4d1nfi1vgyvz5n07tjmoo,1,36.5,51.3,2023-01-18T19:47:00.511Z,2023-01-19T05:40:09Z,3984202565,21,,3984202567,178,,3983890271,56,Back,,,,,,,,,,,,,,,,ewlrnu90xe2127a1erxlz29qt,C. Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507083,6,1,1,0,4,muo4d1nfi1vgyvz5n07tjmoo,0,28.5,47,2023-01-18T19:47:02.208Z,2023-01-19T05:40:08Z,3983890377,212,6.0,3983890373,140,29.3,3983890379,213,1.4,3983890375,141,55.7,3984202587,178,,3983890371,56,Back,,,,,,,9n6jx9s4eip7mgken67i9oyc5,D. Gallagher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498507107,4,61,1,0,5,dvnjvad3p09dugr79gktlrtll,1,71.6,50.1,2023-01-18T19:47:02.420Z,2023-01-19T05:40:08Z,3983890471,56,Center,3984202711,178,,,,,,,,,,,,,,,,,,,,96vt6e4xjci5gll0ogsnlfg89,K. Furuhashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
