id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2461906405,1,34,16,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2022-09-18T13:00:09.323Z,2022-09-18T14:06:59Z,3790330423,130,8,3790330427,194,9edzwm5tgsaud77tbc16our4l,3790330421,59,"1, 2, 19, 14, 20, 3, 17, 16, 9, 8, 18, 77, 5, 7, 11, 12, 13, 21, 29, 30",3790330419,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3790330425,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790330431,197,9221,3790330417,30,"9edzwm5tgsaud77tbc16our4l, ey5m0gz111sobrykgcrpt45at, 9fk3a8f7bhmecbubtfuqs9jvt, 894vnlr3zfyyadmhx9n3y6fl6, bgzc9ozb1qel3aw808tip6bu2, a6gle2qqy7154nh3pqso7upqt, ucsmsk8k5wn69tdpz70ytyad, bbgkxdtxxoinxftd09k5lth3p, 53ipmesg7cuaty2uzqm1a2xn9, dldx0lpfwxc7eb0bc092m48a1, en7rrg1epwhzy47dd1zcp9wb9, 5jnu1yubvgdh6k9v9x277kjx1, awaksdyk1jcvvmlq85x7gcout, 6a7br2t45mam4765clafr0lp1, m3s6nw66qyk5wt6tflfpkd79, 9voc3iwmlxkuuln6h03j0fqzu, 7kyujdy1mcqzlevv3f0l0oul1, emglo360rdevds650u33d2odl, 578r1t1b7ork624lq5q4k55ux, 4ixfdbtira0k9hyhaj4fov651",3790330437,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461906465,1,34,16,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-09-18T13:00:13.291Z,2022-09-18T14:18:13Z,3790330751,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3790330763,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790330757,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3790330759,194,4gxuw581mvfnr6qr3aobbjyt,3790330755,130,8,3790330749,30,"4gxuw581mvfnr6qr3aobbjyt, blmo7wrka5yrcckuu9owlwx5h, egfrwjjbl6fom2rwi5jpzzfmx, 5z0g3l4s56p11t3wgrpjhko9h, 201zg5m6q6zjj43w8jlf5cgrt, 8qv2da4sxpuw4h44jm4dz2j85, cb01n06n2ihlil5hf6q7u04tm, 1vgtiwnof0l89l62t6e1thgx5, aiacgvdwjvt1te2ndnbk95lg5, 3sk52j2sm7jvmytofzefc5boq, 6axbj3uylrbf0l29vj3vdmd3p, 360az753k9ihh8el5ysdjoe6t, 5j7ekg9k304y36twun3me2w2d, 4y27uf869xrujogawxtl9q0a1, 6yr5rwfdnz02psz22acr43z6d, 4vnpdi15nazck2sywdgkve2cq, kmyde3h3kx3tyx5b4m2oglt6, azwg41yu27i0x2qs9omgkng0l, 1qvgid3btojtw6dg35bnl2ei, 9785y6kolfs8e6yxbl7o4xzis",3790330753,59,"1, 16, 24, 27, 15, 4, 11, 6, 9, 26, 7, 21, 2, 5, 13, 17, 18, 20, 28, 38",3790330761,197,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461975005,2,32,1,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-09-18T14:03:19.647Z,2022-09-18T21:43:41Z,3790692471,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461974997,2,32,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2022-09-18T14:03:19.647Z,2022-09-18T14:03:19Z,3790692453,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461975027,3,1,1,0,0,759fhii7hsnldanli06j5jmf6,1,49.7,50.3,2022-09-18T14:03:19.696Z,2022-09-19T02:47:35Z,3793101755,178,,3790692593,56,Back,3790692601,213,3.0,3790692597,141,51.8,3790692595,140,41.3,3790692599,212,8.9,3790778987,279,G,,,,cb01n06n2ihlil5hf6q7u04tm,J. Efford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461975111,4,1,1,0,2,759fhii7hsnldanli06j5jmf6,1,43.1,54,2022-09-18T14:03:22.385Z,2022-09-19T02:47:41Z,3790692951,141,90.0,3793101843,178,,3790692955,213,0.9,3790692945,155,,3790692949,140,60.4,3790692947,56,Left,3790692953,212,30.5,,,,5z0g3l4s56p11t3wgrpjhko9h,S. Goss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461975173,5,1,1,0,4,759fhii7hsnldanli06j5jmf6,1,60.4,90,2022-09-18T14:03:24.562Z,2022-09-19T02:48:04Z,3793102239,178,,3790693277,140,55.3,3790693275,56,Left,3790693279,141,89.0,3790693283,213,3.3,3790693281,212,5.4,3790693273,3,,,,,6axbj3uylrbf0l29vj3vdmd3p,B. Spittal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461975179,6,61,1,0,7,759fhii7hsnldanli06j5jmf6,0,60.7,93.5,2022-09-18T14:03:26.916Z,2022-09-19T02:48:23Z,3790693307,56,Left,3793102411,178,,,,,,,,,,,,,,,,,,,,egfrwjjbl6fom2rwi5jpzzfmx,M. Penney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462425533,857,43,1,0,7,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2022-09-18T14:03:27.246Z,2022-09-19T04:10:48Z,3793180021,144,82,3793179765,178,0,,,,,,,,,,,,,,,,,,,ucsmsk8k5wn69tdpz70ytyad,A. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461975183,3,61,1,0,9,1hcbcuu846pa3iw6qskiws1cu,0,34.7,2,2022-09-18T14:03:28.957Z,2022-09-19T02:48:18Z,3790693317,56,Back,3793102587,178,,,,,,,,,,,,,,,,,,,,ucsmsk8k5wn69tdpz70ytyad,A. Forrest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
