id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/12/value,assist,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2481703791,1,34,16,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2022-11-05T14:03:35.465Z,2022-11-05T15:04:58Z,3895352245,197,805,3895352239,130,4,3895352243,194,c4dvhy1z0op9iwj9aqdgzh0q1,3895352247,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895352241,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895352235,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3895352233,30,"8grd4q334w1ud9vbb6vrli6z9, cwmej1d313luxo30tav8ws3jd, 75fze9pkbgv3baqwnyqnzxbe, cm7l7qimy4iysm1khmpc7u961, c4dvhy1z0op9iwj9aqdgzh0q1, bm5w5xsbbflm26pdhmejwgvs9, 9hoygyx51dhic09hlnhlsjend, ed81nbya8j93qvelqdk79ustm, 84aebyqt0y9r2jjml4u1z0ij9, 8ydeghsg8bdyovqjnr56hz8x5, a1q1se1i8ih65e94xswacghk9, 9fd3uggpu2opd1cuiwskjbhm1, cksi669gcnskpytzh70a43it, 96vt6e4xjci5gll0ogsnlfg89, czazwj4nt23bydpdi67i0wga2, axicg3mdtrur97rjz423pl8t1, kc4qkj63uqu3wnkydxtvmwh5, 52lu5mlc9xdqjzgh1ne86wtsl, 4x7o9h6ea8ldt9sxgz87vwycp, 26olsdd9erf8rahc8xfqz01xx",3895352237,59,"1, 56, 25, 33, 20, 6, 14, 41, 7, 9, 17, 3, 4, 8, 11, 13, 28, 31, 38, 49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481711111,1,34,16,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2022-11-05T14:11:42.793Z,2022-11-05T15:00:59Z,3895390737,30,"btdn91fhcdkiq2u93gqw32n6d, 1q4eo8ovtzffi9nz1kms98161, 319dgvwkm8di2r8oovefbxck5, 629dgygro5n41ce8ulov5wwl, 9o2dyl3cbm2ni3874doydh49h, a5fpw5f7bvu01i8drfir8ugut, 7v2udgcj3xk2douxfmge6lp7t, aqgrddi0lgqphjeksr0rkd0ph, 4sskvw16m8gh8al8vy0ephuc5, 1cfh2cg8i2f4cqd7fraos96fp, epwyjoowg7wfojxxldoum9yhh, 6n8gmwjc9frk90mzpnf9xlkyy, 7qd78ivuyspmb0fno5vdetat, 8vjnf1tezikfb9dfnv4waxuxh, day3njm5hkudffvdvccpopbyt, en7kanawhbmhl0736htwdnt9l, eqx6gmp1f5ocxeosc97rcqqui, 2t4k430xmiekwb5khdwtg14h5, c99yg0ykkr6o17ykicw27e68k, 7yq6f41dcfzqz40hblj3j9905",3895390759,197,1975,3895390751,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895390747,130,16,3895390743,59,"1, 22, 16, 3, 12, 2, 23, 14, 9, 18, 10, 6, 7, 8, 13, 15, 17, 19, 20, 32",3895390763,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895390739,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3895390755,194,9o2dyl3cbm2ni3874doydh49h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758187,2,32,1,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2022-11-05T15:00:20.062Z,2022-11-05T17:13:50Z,3895633309,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758167,2,32,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2022-11-05T15:00:20.062Z,2022-11-05T15:00:20Z,3895633281,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758197,3,1,1,0,0,dvnjvad3p09dugr79gktlrtll,1,50,50.7,2022-11-05T15:00:20.180Z,2022-11-05T18:39:52Z,3895633367,56,Back,3895633373,212,2.4,3895633377,279,S,3895633375,213,3.5,3896995753,178,,3895633369,140,47.9,3895633371,141,49.5,,,,84aebyqt0y9r2jjml4u1z0ij9,G. Giakoumakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758251,4,1,1,0,2,dvnjvad3p09dugr79gktlrtll,1,51.5,57.3,2022-11-05T15:00:22.322Z,2022-11-06T00:42:21Z,3895633637,140,34.9,3895633635,56,Back,3895633641,212,28.7,3895633643,213,2.2,3896996963,178,,3895633639,141,90.9,,,,,,,9hoygyx51dhic09hlnhlsjend,D. Turnbull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758285,5,1,1,0,5,dvnjvad3p09dugr79gktlrtll,1,45.4,85.6,2022-11-05T15:00:25.148Z,2022-11-06T00:42:20Z,3895633781,213,0.5,3895633777,141,95.0,3895633773,56,Left,3895633779,212,14.5,3896997127,178,,3895633775,140,57.8,,,,,,,75fze9pkbgv3baqwnyqnzxbe,A. Bernabei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758297,6,1,1,0,7,dvnjvad3p09dugr79gktlrtll,1,66.3,96.4,2022-11-05T15:00:28.041Z,2022-11-06T00:42:19Z,3896997429,178,,3895633843,213,4.8,3895633839,141,65.5,3895633837,140,68.8,3895633841,212,21.2,3895633835,56,Center,,,,,,,ed81nbya8j93qvelqdk79ustm,R. Hatate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758321,7,1,1,0,9,dvnjvad3p09dugr79gktlrtll,1,72,65.8,2022-11-05T15:00:29.345Z,2022-11-06T00:42:19Z,3895633949,140,62.3,3895633951,141,64.8,3895633955,213,3.2,3895633947,56,Center,3896997719,178,,3895633953,212,10.2,,,,,,,84aebyqt0y9r2jjml4u1z0ij9,G. Giakoumakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758327,8,61,1,0,9,dvnjvad3p09dugr79gktlrtll,0,70.5,64.3,2022-11-05T15:00:29.565Z,2022-11-06T00:42:19Z,3896998213,178,,3895633973,56,Center,,,,,,,,,,,,,,,,,,,9hoygyx51dhic09hlnhlsjend,D. Turnbull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
