id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist,qualifier/14/value
2478664497,1,34,16,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2022-10-29T13:07:20.431Z,2022-10-29T14:08:05Z,3879364243,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3879364257,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879364253,197,1975,3879364247,130,12,3879364251,194,9o2dyl3cbm2ni3874doydh49h,3879364249,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879364245,59,"1, 22, 16, 3, 12, 2, 18, 14, 9, 32, 19, 6, 7, 8, 10, 13, 15, 17, 20, 23",3879364241,30,"btdn91fhcdkiq2u93gqw32n6d, 1q4eo8ovtzffi9nz1kms98161, 319dgvwkm8di2r8oovefbxck5, 629dgygro5n41ce8ulov5wwl, 9o2dyl3cbm2ni3874doydh49h, a5fpw5f7bvu01i8drfir8ugut, 1cfh2cg8i2f4cqd7fraos96fp, aqgrddi0lgqphjeksr0rkd0ph, 4sskvw16m8gh8al8vy0ephuc5, 7yq6f41dcfzqz40hblj3j9905, 2t4k430xmiekwb5khdwtg14h5, 6n8gmwjc9frk90mzpnf9xlkyy, 7qd78ivuyspmb0fno5vdetat, 8vjnf1tezikfb9dfnv4waxuxh, epwyjoowg7wfojxxldoum9yhh, day3njm5hkudffvdvccpopbyt, en7kanawhbmhl0736htwdnt9l, eqx6gmp1f5ocxeosc97rcqqui, c99yg0ykkr6o17ykicw27e68k, 7v2udgcj3xk2douxfmge6lp7t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478671015,1,34,16,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-10-29T13:12:41.998Z,2022-10-29T14:09:13Z,3879400409,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3879400413,130,8,3879400417,197,16503,3879400407,30,"4gxuw581mvfnr6qr3aobbjyt, blmo7wrka5yrcckuu9owlwx5h, egfrwjjbl6fom2rwi5jpzzfmx, 5z0g3l4s56p11t3wgrpjhko9h, 201zg5m6q6zjj43w8jlf5cgrt, 8qv2da4sxpuw4h44jm4dz2j85, dkk86y8pa3svtz43c0m55qn6x, cl8lua6yep85vpl25pdi0wfzd, aiacgvdwjvt1te2ndnbk95lg5, 6axbj3uylrbf0l29vj3vdmd3p, 4vnpdi15nazck2sywdgkve2cq, 5j7ekg9k304y36twun3me2w2d, 4y27uf869xrujogawxtl9q0a1, 1vgtiwnof0l89l62t6e1thgx5, 6yr5rwfdnz02psz22acr43z6d, kmyde3h3kx3tyx5b4m2oglt6, 360az753k9ihh8el5ysdjoe6t, eghu03zhii5vbr655sub8xmmt, 3sk52j2sm7jvmytofzefc5boq, 9785y6kolfs8e6yxbl7o4xzis",3879535581,194,4gxuw581mvfnr6qr3aobbjyt,3879400419,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879400411,59,"1, 16, 24, 27, 15, 4, 29, 8, 9, 7, 17, 2, 5, 6, 13, 18, 21, 23, 26, 38",3879400415,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478725453,2,32,1,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-10-29T14:03:03.536Z,2022-10-29T14:03:05Z,3879684169,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478725433,2,32,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2022-10-29T14:03:03.536Z,2022-10-29T19:41:13Z,3879684077,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478725637,3,1,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,50,50,2022-10-29T14:03:03.666Z,2022-10-29T19:49:27Z,3879685063,212,26.1,3879685053,56,Back,3879685067,279,S,3879685059,140,25.2,3881657127,178,,3879685065,213,3.2,3879685061,141,47.6,,,,1cfh2cg8i2f4cqd7fraos96fp,J. McGrath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478725777,4,1,1,0,3,4qdzzur2cuuridyb0jso8mksi,0,31.8,45.4,2022-10-29T14:03:06.805Z,2022-10-29T19:49:52Z,3879685731,1,,3879685719,155,,3881657335,178,,3879685729,213,0.8,3879685721,56,Left,3879685725,141,93.0,3879685723,140,61.1,3879685727,212,44.7,9o2dyl3cbm2ni3874doydh49h,R. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478725711,3,44,1,0,6,759fhii7hsnldanli06j5jmf6,1,38.9,7.6,2022-10-29T14:03:09.702Z,2022-10-30T08:17:53Z,3879685389,56,Back,3879685391,285,,3879686021,233,5,,,,,,,,,,,,,,,,blmo7wrka5yrcckuu9owlwx5h,P. McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478725789,5,44,1,0,6,4qdzzur2cuuridyb0jso8mksi,0,61.1,92.4,2022-10-29T14:03:09.703Z,2022-10-29T19:49:59Z,3879685823,286,,3879686033,233,3,3879685821,56,Left,,,,,,,,,,,,,,,,4sskvw16m8gh8al8vy0ephuc5,S. Fletcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478725723,4,1,1,0,6,759fhii7hsnldanli06j5jmf6,0,39.3,7.9,2022-10-29T14:03:10.066Z,2022-10-30T08:17:54Z,3879685453,56,Back,3879685457,141,0.0,3881659037,388,,3879685461,213,5.1,3879685459,212,7.2,3879685455,140,41.7,3879685451,3,,,,,blmo7wrka5yrcckuu9owlwx5h,P. McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478725731,5,5,1,0,7,759fhii7hsnldanli06j5jmf6,0,39.8,-2,2022-10-29T14:03:11.432Z,2022-10-29T19:50:13Z,3879687595,233,6,3879685485,56,Back,3879685487,347,,,,,,,,,,,,,,,,,blmo7wrka5yrcckuu9owlwx5h,P. McGinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
