id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/9/value,assist,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/17/value,qualifier/19/value,qualifier/16/value
2475358233,1,34,16,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-10-22T13:10:04.796Z,2022-10-22T14:03:02Z,3861839849,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3861839847,30,"4lp29rlldfr9f8jx6e6qqfgt1, auan97c17t3ze3zdvnfovtomh, 1hoyso1oinr2bza4lxgkzdiax, bxgp3jpqcyk794ty0zk0o9jv9, 43mi8uliaor1b9mejf33if1sl, 3ka60g1o4fct4t2dc7394sr8p, 3jxifism5urj3049zcojb8us5, a0d1koufzrtx0jcsw09ibtbyt, 6aonl21cpvfg8ma7i00q9ho0l, 1q9c3t3umg0yh0qop886eghxx, 2n1na0cyvk19401cuwsokmaga, bed0m5tw305n4c60cuqlhrkd1, djjolbwunzmlob0chwp8x21g5, djn7515ev4uzfcvizndtrvzkl, 9ciad1fw48orv5aph9o83f6ne, cgonvdrm0gwjzrsz5fho4cwr9, d2dqd11a9koizwjaq93n4npt6, 7q6h161f7gcqnpy07x80hbpck, 1xcvcrq88be0efbkwgi7pirjd, 89b8lqf476f0slerw345892i1",3861839857,194,43mi8uliaor1b9mejf33if1sl,3861839851,59,"1, 12, 16, 4, 5, 6, 19, 22, 26, 8, 7, 9, 10, 11, 14, 15, 17, 18, 21, 31",3861839853,130,8,3861839861,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861839859,197,1991,3861839855,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475361843,1,34,16,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2022-10-22T13:13:34.120Z,2022-10-22T14:01:07Z,3861860019,30,"1fkrvnzbrb9s0qojjhc8edpm1, 2ytdtlvxm0ba22gsmk6vu4vhm, 1wmfn9bky6owvj3jc4iftsxnu, 4rsnyz3019rgfjdil1zs024t1, 2c89yb9spduwcxl7lrhckru1h, 9coe01drgpmlz3ee9qfond815, 2spu2yn887lywqw2vrg3evhlh, 3svpmpx5tb4ekuewkh79l2up5, b3s3d69kycsfhgk4fslp7s1d5, 9z0xcc7yot7royqle0nn6fdn9, 6ta1shg2pfj5cchdod1xdtvbp, 8p1pe1wpwy9o3p2n9imr2k5ck, 1pt1yc4fl9oxxsaoeq1cm3xzp, 8q0nnrx7ru205zepoqv7lm579, n4ml5xifvll22bpq68ld4auh, 6uvj9qt3kex5sx729zbe1rlyh, atf7aycphllb4i8h9jnld4bmd, 91m838lynz6db94q8ufcqk91x, ek2ub5dvlisn73a45n3gwj2s5, ezeh61gnr3b1b33rlhdg459be",3861860029,194,2spu2yn887lywqw2vrg3evhlh,3861860025,130,17,3861860027,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861860021,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3861860031,197,1978,3861860023,59,"1, 25, 33, 19, 5, 2, 4, 21, 27, 11, 10, 29, 6, 7, 9, 15, 17, 20, 31, 32",3861860033,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405695,2,32,1,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-10-22T14:00:34.814Z,2022-10-22T14:00:34Z,3862084187,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405707,2,32,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2022-10-22T14:00:34.814Z,2022-10-22T19:51:09Z,3862084227,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405797,3,1,1,0,0,87coxipr6ls77tnlba3eselx0,1,50,50,2022-10-22T14:00:34.843Z,2022-10-22T19:59:43Z,3862084547,212,15.0,3862084541,56,Back,3862084543,140,35.8,3862084549,213,3.1,3862084545,141,51.8,3864399123,178,,3862084551,279,S,,,,1q9c3t3umg0yh0qop886eghxx,R. Callachan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405887,4,1,1,0,2,87coxipr6ls77tnlba3eselx0,0,37.4,45.2,2022-10-22T14:00:37.275Z,2022-10-22T20:00:08Z,3862084963,140,85.8,3864400557,178,,3862084959,155,,3862084961,56,Right,3862084967,212,57.9,3862084971,1,,3862084965,141,4.3,3862084969,213,5.8,bxgp3jpqcyk794ty0zk0o9jv9,D. Cancola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405901,3,49,1,0,7,enzoyc121va61wtmjf4cm7p3d,1,28.7,92,2022-10-22T14:00:42.185Z,2022-10-22T20:01:00Z,,,,,,,,,,,,,,,,,,,,,,,,,1wmfn9bky6owvj3jc4iftsxnu,B. Chrisene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405925,4,1,1,0,7,enzoyc121va61wtmjf4cm7p3d,0,28.7,92,2022-10-22T14:00:42.265Z,2022-10-22T20:01:07Z,3864404513,178,,3862085113,157,,3862085117,56,Back,3862085127,212,9.0,3862085131,213,6.1,3862085121,140,37.2,3862085135,1,,3862085125,141,90.0,1wmfn9bky6owvj3jc4iftsxnu,B. Chrisene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475405985,5,1,1,0,8,87coxipr6ls77tnlba3eselx0,1,67.7,17.7,2022-10-22T14:00:43.275Z,2022-10-22T20:01:16Z,3864405155,178,,3862085401,213,5.9,3862085395,140,81.0,3862085399,212,15.3,3862085393,56,Right,3862085397,141,8.6,,,,,,,a0d1koufzrtx0jcsw09ibtbyt,J. Tillson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475663585,823,49,1,0,9,87coxipr6ls77tnlba3eselx0,1,73.9,8.4,2022-10-22T14:00:44.245Z,2022-10-23T03:47:59Z,,,,,,,,,,,,,,,,,,,,,,,,,3jxifism5urj3049zcojb8us5,J. Hiwula-Mayifuila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
