id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,assist,qualifier/19/value,qualifier/18/value
2504316411,1,34,16,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-02-05T10:49:27.189Z,2023-02-05T10:49:27Z,4014338005,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4014338007,59,"1, 2, 3, 42, 20, 4, 13, 41, 8, 17, 38, 9, 11, 14, 18, 19, 24, 29, 33, 49",4014338013,194,cx59kxpqiabi3c5vl9mxvlyhh,4014338009,130,4,4014338011,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014338003,30,"8grd4q334w1ud9vbb6vrli6z9, epwfc94g7m7ed1nbt9wbgo6ei, 9fd3uggpu2opd1cuiwskjbhm1, cx59kxpqiabi3c5vl9mxvlyhh, c4dvhy1z0op9iwj9aqdgzh0q1, cksi669gcnskpytzh70a43it, axicg3mdtrur97rjz423pl8t1, ed81nbya8j93qvelqdk79ustm, 96vt6e4xjci5gll0ogsnlfg89, a1q1se1i8ih65e94xswacghk9, 4x7o9h6ea8ldt9sxgz87vwycp, 8ydeghsg8bdyovqjnr56hz8x5, czazwj4nt23bydpdi67i0wga2, 9hoygyx51dhic09hlnhlsjend, 3g3x2ws0npu7aa51h4nx7nazu, 9qe7czo24c9hz308iuzgx9nxm, v6ddixs4xh5qjb67smsht23t, 9v2ru33bml5fpvpcbjhrahjv9, cm7l7qimy4iysm1khmpc7u961, 26olsdd9erf8rahc8xfqz01xx",4014338017,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014338015,197,805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504322551,1,34,16,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2023-02-05T11:12:35.024Z,2023-02-05T14:06:35Z,4014370729,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4014370743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4014370733,130,11,4014370727,30,"3vt38r8n9081i3a4dj89lx905, 2ezi9zjj3pmt475woji11gi51, 7f0r99zrqykjuoz0bqlintbzd, cxjlus7adz4r6y0j3x5v2y0gl, 9wjmsi05ex83iw3iy5bgkdrvu, 1yqdq8dtuvh9wmn8cgyv3t8tl, a0cvnq9q83z3x0e1p938uu5ed, 4l1wyg8j3u42b87477y3zm54a, 27ldss0bvyuhn929cd0j8u47p, d0ped35vke09xx92otkq63pm2, 1tbuc25mv5qc48uawml7aqu3t, tywvq45nw3cobufa7zkhsq8l, 27exg4oaa7sym40hi0szdc05x, e5jvpbvdxhuq0m80bpqwv015h, 744enw7o0c1i9a1b0qjihgjqh, 2r6suw717hgzqsp8ogvwdfk6h, kpkpalx1dxjph7895pb7ene1, c4g43ghalkakgcgv1jzaum11x, 7xxqn9xu5izixdi9spsjf1t5h, cyg7icft0ojp9wdbyq9nlkwyd",4014370739,197,1983,4014370731,59,"1, 14, 3, 4, 5, 2, 23, 18, 7, 34, 26, 6, 10, 11, 16, 17, 20, 21, 22, 29",4014370737,194,27ldss0bvyuhn929cd0j8u47p,4014370735,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343417,2,32,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2023-02-05T12:01:16.577Z,2023-02-05T17:35:44Z,4014484599,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343425,2,32,1,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-02-05T12:01:16.577Z,2023-02-05T12:01:17Z,4014484635,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343435,3,1,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,50,50,2023-02-05T12:01:16.666Z,2023-02-05T17:43:57Z,4014484695,56,Back,4014484705,279,S,4014484697,140,37.8,4014484701,212,15.3,4014484699,141,62.3,4014484703,213,2.6,4015946873,178,,,,,1tbuc25mv5qc48uawml7aqu3t,C. McLennan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343443,4,1,1,0,1,ez46dadmx0virt38cgeq2n6pf,0,37.7,61.8,2023-02-05T12:01:17.959Z,2023-02-05T17:44:01Z,4014484745,155,,4014484757,141,22.4,4014484759,212,41.6,4014484749,56,Center,4014484761,213,5.6,4015947101,178,,4014484763,1,,4014484753,140,68.0,cxjlus7adz4r6y0j3x5v2y0gl,A. Considine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343467,3,1,1,0,4,dvnjvad3p09dugr79gktlrtll,1,28.3,74.8,2023-02-05T12:01:21.199Z,2023-02-05T17:44:04Z,4014484881,141,57.9,4014484885,213,5.7,4015947307,388,,4014484879,140,45.6,4014484883,212,21.5,4014484877,56,Back,4014484875,3,,,,,9fd3uggpu2opd1cuiwskjbhm1,G. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343469,4,49,1,0,6,dvnjvad3p09dugr79gktlrtll,1,45.8,51.3,2023-02-05T12:01:23.558Z,2023-02-05T17:44:09Z,,,,,,,,,,,,,,,,,,,,,,,,,ed81nbya8j93qvelqdk79ustm,R. Hatate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343507,5,1,1,0,8,dvnjvad3p09dugr79gktlrtll,1,46.7,48.1,2023-02-05T12:01:24.927Z,2023-02-05T17:44:13Z,4015947669,178,,4014485109,141,23.3,4014485105,56,Back,4014485107,140,44.4,4014485113,213,4.6,4014485111,212,17.0,,,,,,,ed81nbya8j93qvelqdk79ustm,R. Hatate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504343511,6,61,1,0,9,dvnjvad3p09dugr79gktlrtll,0,41.8,23.6,2023-02-05T12:01:26.371Z,2023-02-05T17:44:19Z,4015947927,178,,4014485121,56,Back,,,,,,,,,,,,,,,,,,,a1q1se1i8ih65e94xswacghk9,Jota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
