id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value
2472747983,1,34,16,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-10-16T09:56:20.443Z,2022-10-16T11:41:36Z,3848121267,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848121265,197,1981,3848121259,130,8,3848121263,194,4gxuw581mvfnr6qr3aobbjyt,3848121257,59,"1, 16, 24, 27, 15, 4, 23, 8, 9, 26, 17, 2, 5, 6, 13, 18, 38, 47, 49",3848121255,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3848121253,30,"4gxuw581mvfnr6qr3aobbjyt, blmo7wrka5yrcckuu9owlwx5h, egfrwjjbl6fom2rwi5jpzzfmx, 5z0g3l4s56p11t3wgrpjhko9h, 201zg5m6q6zjj43w8jlf5cgrt, 8qv2da4sxpuw4h44jm4dz2j85, eghu03zhii5vbr655sub8xmmt, cl8lua6yep85vpl25pdi0wfzd, aiacgvdwjvt1te2ndnbk95lg5, 3sk52j2sm7jvmytofzefc5boq, 4vnpdi15nazck2sywdgkve2cq, 5j7ekg9k304y36twun3me2w2d, 4y27uf869xrujogawxtl9q0a1, 1vgtiwnof0l89l62t6e1thgx5, 6yr5rwfdnz02psz22acr43z6d, kmyde3h3kx3tyx5b4m2oglt6, 9785y6kolfs8e6yxbl7o4xzis, d2b02lofzdrlxuxfi66cn9h5g, aggnskq9dwjc7vi0t4n2y6k9g",3848121261,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472750397,1,34,16,0,0,cnnku8uihko7u4th0fms4pvg6,1,0,0,2022-10-16T10:05:53.950Z,2022-10-16T11:11:58Z,3848133797,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3848133795,197,1995,3848133793,194,4kpf2eyjqmax3f676dmhh9e51,3848133785,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3848133787,59,"1, 2, 31, 4, 38, 26, 17, 37, 9, 71, 14, 3, 10, 19, 20, 23, 29, 30, 33, 44",3848133783,30,"54u4k9lzcugph99091xt282j9, 4kpf2eyjqmax3f676dmhh9e51, ehj0z1y90uxmn8gdvaoldk1cl, 90qai3k7otbuwrry224ki1f4l, alzo6b4olqf8djtphk32e0f3e, 8iwme9n9fhlu50yqm3pvtrd91, 7d5vo5ppoev5q1uf39x0afkrt, 4f2bppk56sa7dqgw652x0fzdh, 12vo1l1xngzwi7kndbnyzfbv9, 25vb30mtetefhp3ix26nlhx0q, 95pgrmkq8cn94eo5y26hp4s7p, 1o7uvhqqueh716napx4qpq99m, 2hspu41ocnru322bdzom7rp, 7ush9a10cc79gudlog12crt9l, 4lb16ginbppvud84mgwirvfth, 9weodc9tdqcm2dg6cg6wyx785, 1pvtzz67xdo2wonyds33h9iei, 5p8y1fedi7alsnrdwg7lmw99l, 60ahvhvx30iw7abq1hxrzd0wl, 4bu8zoar377u6mvwfqf46rt62",3848133789,130,8,3848133791,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472777919,2,32,1,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2022-10-16T11:00:36.585Z,2022-10-17T04:02:54Z,3848272949,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472777923,2,32,1,0,0,cnnku8uihko7u4th0fms4pvg6,1,0,0,2022-10-16T11:00:36.585Z,2022-10-16T11:00:38Z,3848272965,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472777955,3,1,1,0,0,759fhii7hsnldanli06j5jmf6,1,49.5,49.9,2022-10-16T11:00:36.665Z,2022-10-17T06:01:20Z,3848273123,141,50.6,3848273127,213,3.1,3848273125,212,15.4,3848273119,56,Back,3851677351,178,,3848273121,140,34.8,3848273129,279,S,,,,3sk52j2sm7jvmytofzefc5boq,R. Tierney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472777979,4,1,1,0,2,759fhii7hsnldanli06j5jmf6,1,35.6,49.7,2022-10-16T11:00:38.974Z,2022-10-17T06:01:22Z,3848273269,56,Right,3848273271,140,69.7,3848273279,1,,3851677411,178,,3848273273,141,5.9,3848273277,213,5.6,3848273275,212,46.6,3848273267,155,,5z0g3l4s56p11t3wgrpjhko9h,S. Goss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472777985,5,1,1,0,4,759fhii7hsnldanli06j5jmf6,0,69.7,5.9,2022-10-16T11:00:41.240Z,2022-10-17T06:01:27Z,3848273301,56,Right,3848273309,213,1.1,3848273303,140,73.5,3848273307,212,8.5,3848273305,141,17.0,3848273299,3,,3851677497,388,,,,,aiacgvdwjvt1te2ndnbk95lg5,K. van Veen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472778003,3,1,1,0,5,cnnku8uihko7u4th0fms4pvg6,0,27.8,85.4,2022-10-16T11:00:42.469Z,2022-10-17T06:01:31Z,3848273415,140,38.5,3851677579,178,,3848273417,141,86.5,3848273421,213,0.1,3848273413,56,Back,3848273419,212,11.3,3848273411,3,,,,,8iwme9n9fhlu50yqm3pvtrd91,B. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472778043,6,1,1,0,8,759fhii7hsnldanli06j5jmf6,1,63.5,15.8,2022-10-16T11:00:44.946Z,2022-10-17T06:01:38Z,3848273623,56,Right,3848273625,140,67.9,3851677679,178,,3848273631,212,4.9,3848273633,213,0.4,3848273629,141,18.3,,,,,,,cl8lua6yep85vpl25pdi0wfzd,C. Slattery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472778047,7,1,1,0,9,759fhii7hsnldanli06j5jmf6,0,67.9,18.3,2022-10-16T11:00:46.205Z,2022-10-17T06:01:43Z,3848273649,140,70.4,3848273651,141,41.2,3851677733,178,,3848273653,212,15.8,3848273655,213,1.4,3848273647,56,Center,3848273645,155,,,,,3sk52j2sm7jvmytofzefc5boq,R. Tierney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
