id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/13/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/17/value
2454903265,6,5,1,0,7,841zp0njrq63yv4fvw6lgf60q,1,59.9,-0.7,2022-09-03T14:02:56.056Z,2022-09-03T21:11:12Z,3753134967,347,,3753135023,233,4,3753134965,56,Right,,,,,,,,,,,,,,,,53y4n4h9zi3d1l1f9jb9ytxhx,A. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454903323,7,1,1,0,19,841zp0njrq63yv4fvw6lgf60q,1,63.9,0,2022-09-03T14:03:07.679Z,2022-09-03T21:11:27Z,3753135287,141,8.2,3753135271,107,,3753135295,213,1.7,3753135283,140,63.2,3753135291,212,6.5,3753135277,56,Right,,,,,,,16x7shxmsfll6pytg8b8v0dbe,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455578117,1007,67,1,0,19,841zp0njrq63yv4fvw6lgf60q,1,66.9,24.5,2022-09-03T14:03:08.281Z,2022-09-04T07:33:48Z,3756771631,233,814,,,,,,,,,,,,,,,,,,,,,,6ne71gfjoez9m0tk8qozd8e3u,L. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455578113,814,67,1,0,19,87coxipr6ls77tnlba3eselx0,0,33.1,75.5,2022-09-03T14:03:08.282Z,2022-09-04T04:49:45Z,3756771639,233,1007,,,,,,,,,,,,,,,,,,,,,,1q9c3t3umg0yh0qop886eghxx,R. Callachan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454903429,8,1,1,0,19,841zp0njrq63yv4fvw6lgf60q,0,63.2,8.2,2022-09-03T14:03:08.329Z,2022-09-04T07:33:49Z,3753135849,157,,3753135861,1,,3755669511,178,,3753135853,140,74.0,3753135851,56,Right,3753135855,141,11.9,3753135857,212,11.6,3753135859,213,0.2,6ne71gfjoez9m0tk8qozd8e3u,L. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454903541,5,1,1,0,22,87coxipr6ls77tnlba3eselx0,1,22.5,92.4,2022-09-03T14:03:11.040Z,2022-09-03T21:11:49Z,3753136371,141,87.4,3753136373,212,14.7,3753136365,3,,3753136375,213,6.0,3755670017,178,,3753136369,140,36.1,3753136367,56,Back,,,,eue5o5hcml60dtt61qku5jcut,B. Purrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454903559,6,44,1,0,24,87coxipr6ls77tnlba3eselx0,1,35.8,87.9,2022-09-03T14:03:12.599Z,2022-09-04T07:33:49Z,3753136473,285,,3753136471,56,Back,3753136521,233,9,,,,,,,,,,,,,,,,1q9c3t3umg0yh0qop886eghxx,R. Callachan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454903513,9,44,1,0,24,841zp0njrq63yv4fvw6lgf60q,0,64.2,12.1,2022-09-03T14:03:12.600Z,2022-09-03T21:11:57Z,3753136195,286,,3753136563,233,6,3753136193,56,Right,,,,,,,,,,,,,,,,6ne71gfjoez9m0tk8qozd8e3u,L. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454903587,7,61,1,0,24,87coxipr6ls77tnlba3eselx0,1,36.1,87.4,2022-09-03T14:03:12.740Z,2022-09-04T07:33:49Z,3755671503,21,,3753136613,56,Back,3755671505,388,,,,,,,,,,,,,,,,,1q9c3t3umg0yh0qop886eghxx,R. Callachan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454903651,8,50,1,0,25,87coxipr6ls77tnlba3eselx0,1,35.5,95.4,2022-09-03T14:03:13.645Z,2022-09-03T21:12:36Z,3753136961,286,,3753137091,233,10,3753136959,56,Back,,,,,,,,,,,,,,,,3jxifism5urj3049zcojb8us5,J. Hiwula-Mayifuila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454903599,10,7,1,0,25,841zp0njrq63yv4fvw6lgf60q,1,64.5,4.6,2022-09-03T14:03:14.143Z,2022-09-03T21:12:43Z,3755673101,178,,3753136683,56,Right,3753136681,167,,3754591867,385,,3753136685,285,,3753137057,233,8,,,,,,,53y4n4h9zi3d1l1f9jb9ytxhx,A. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454903731,9,5,1,0,26,87coxipr6ls77tnlba3eselx0,1,26.3,101.2,2022-09-03T14:03:14.811Z,2022-09-03T21:12:55Z,3753137371,233,11,3753137333,347,,3753137331,56,Back,,,,,,,,,,,,,,,,3jxifism5urj3049zcojb8us5,J. Hiwula-Mayifuila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454903603,11,5,1,0,26,841zp0njrq63yv4fvw6lgf60q,0,73.7,-1.2,2022-09-03T14:03:14.811Z,2022-09-03T21:12:55Z,3753136711,347,,3753136707,56,Right,3753137419,233,9,,,,,,,,,,,,,,,,53y4n4h9zi3d1l1f9jb9ytxhx,A. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454904235,10,1,1,0,42,87coxipr6ls77tnlba3eselx0,0,23.1,100,2022-09-03T14:03:30.708Z,2022-09-03T21:13:00Z,3753139825,107,,3753139833,212,23.5,3753139831,141,93.3,3753139829,140,44.8,3753139827,56,Back,3753139837,1,,3753139835,213,6.0,,,,eue5o5hcml60dtt61qku5jcut,B. Purrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454904429,12,1,1,0,44,841zp0njrq63yv4fvw6lgf60q,1,52.9,10.4,2022-09-03T14:03:32.421Z,2022-09-03T21:13:09Z,3755674515,178,,3753140891,213,1.3,3753140893,1,,3753140883,56,Center,3753140881,157,,3753140885,140,60.3,3753140887,141,61.1,3753140889,212,35.3,16x7shxmsfll6pytg8b8v0dbe,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454904441,13,61,1,0,46,841zp0njrq63yv4fvw6lgf60q,1,60.3,61.7,2022-09-03T14:03:35.135Z,2022-09-03T21:13:36Z,3755674863,178,,3755675741,15,,3753140943,56,Center,,,,,,,,,,,,,,,,1doiom8yk2hn6sn6orlcfypjp,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454904601,11,1,1,0,49,87coxipr6ls77tnlba3eselx0,0,31.3,44.6,2022-09-03T14:03:37.404Z,2022-09-03T21:13:52Z,3753141735,213,0.3,3755676521,178,,3753141737,1,,3753141729,140,84.7,3753141727,56,Center,3753141731,141,74.2,3753141733,212,59.6,3753141725,157,,43mi8uliaor1b9mejf33if1sl,J. Baldwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454904583,14,49,1,0,53,841zp0njrq63yv4fvw6lgf60q,1,13.1,23.6,2022-09-03T14:03:41.464Z,2022-09-03T21:14:00Z,,,,,,,,,,,,,,,,,,,,,,,,,53y4n4h9zi3d1l1f9jb9ytxhx,A. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454904803,15,1,1,0,55,841zp0njrq63yv4fvw6lgf60q,0,12.5,9.1,2022-09-03T14:03:43.961Z,2022-09-03T21:14:07Z,3753142723,213,0.0,3753142721,212,63.2,3753144209,155,,3753142715,56,Right,3755677523,178,,3753142719,141,10.7,3753142717,140,72.7,3753142725,1,,53y4n4h9zi3d1l1f9jb9ytxhx,A. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454904905,12,12,1,0,58,87coxipr6ls77tnlba3eselx0,1,24.4,84.2,2022-09-03T14:03:46.605Z,2022-09-03T21:14:18Z,3753143223,212,11.7,3753143221,141,100.0,3753143293,167,,3753143225,213,1.4,3755678151,178,,3753143219,140,26.4,3753143217,56,Back,,,,3ka60g1o4fct4t2dc7394sr8p,A. Iacovitti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454904917,13,5,1,0,59,87coxipr6ls77tnlba3eselx0,0,27.4,101.4,2022-09-03T14:03:47.547Z,2022-09-03T21:14:58Z,3753143265,56,Back,3753144375,233,16,3753143267,347,,,,,,,,,,,,,,,,,3ka60g1o4fct4t2dc7394sr8p,A. Iacovitti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454905105,16,5,1,0,59,841zp0njrq63yv4fvw6lgf60q,1,72.6,-1.4,2022-09-03T14:03:47.547Z,2022-09-03T21:14:57Z,3753144131,56,Right,3753144133,347,,3753144277,233,13,,,,,,,,,,,,,,,,5frjqqf0jvbqw8ag00pktw8yy,V. Besuijen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454905285,17,1,1,1,8,841zp0njrq63yv4fvw6lgf60q,1,68.1,0,2022-09-03T14:03:56.873Z,2022-09-03T21:15:05Z,3753145067,140,75.3,3753145069,141,12.6,3753145073,213,0.9,3753145065,56,Right,3753145071,212,12.0,3753145063,107,,,,,,,,16x7shxmsfll6pytg8b8v0dbe,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454905347,18,1,1,1,9,841zp0njrq63yv4fvw6lgf60q,1,75.3,12.6,2022-09-03T14:03:57.627Z,2022-09-03T21:15:19Z,3753145369,140,71.7,3754600281,156,,3753145373,141,5.6,3753145363,56,Right,3753145381,213,4.0,3753145377,212,6.1,3755681657,178,,,,,8cpd4je0ku8wjumqeh3ruv10p,B. Miovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454905501,19,1,1,1,9,841zp0njrq63yv4fvw6lgf60q,1,71.4,5.5,2022-09-03T14:03:58.375Z,2022-09-03T21:15:26Z,3755681973,178,,3753146159,213,0.2,3753146157,212,10.9,3753146149,56,Right,3753146153,141,8.2,3753146151,140,81.6,,,,,,,16x7shxmsfll6pytg8b8v0dbe,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455578405,1010,67,1,1,10,841zp0njrq63yv4fvw6lgf60q,1,82.3,7.4,2022-09-03T14:03:59.347Z,2022-09-04T07:33:50Z,3756772871,233,815,,,,,,,,,,,,,,,,,,,,,,5frjqqf0jvbqw8ag00pktw8yy,V. Besuijen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455578403,815,67,1,1,10,87coxipr6ls77tnlba3eselx0,0,17.7,92.6,2022-09-03T14:03:59.348Z,2022-09-04T04:51:04Z,3756772881,233,1010,,,,,,,,,,,,,,,,,,,,,,eue5o5hcml60dtt61qku5jcut,B. Purrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454905517,20,61,1,1,12,841zp0njrq63yv4fvw6lgf60q,0,89.1,4.6,2022-09-03T14:04:01.067Z,2022-09-03T21:16:23Z,3755684653,178,,3753146215,56,Right,,,,,,,,,,,,,,,,,,,5frjqqf0jvbqw8ag00pktw8yy,V. Besuijen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454905601,14,5,1,1,14,87coxipr6ls77tnlba3eselx0,1,10.1,100.8,2022-09-03T14:04:03.002Z,2022-09-03T21:16:29Z,3753146705,233,21,3753146641,56,Back,3753146643,347,,,,,,,,,,,,,,,,,eue5o5hcml60dtt61qku5jcut,B. Purrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454905545,21,5,1,1,14,841zp0njrq63yv4fvw6lgf60q,0,89.9,-0.8,2022-09-03T14:04:03.002Z,2022-09-03T21:16:29Z,3753146811,233,14,3753146367,56,Right,3753146369,347,,,,,,,,,,,,,,,,,5frjqqf0jvbqw8ag00pktw8yy,V. Besuijen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454906401,15,1,1,1,33,87coxipr6ls77tnlba3eselx0,1,8.3,100,2022-09-03T14:04:21.520Z,2022-09-03T21:16:35Z,3753150537,140,30.8,3753150535,56,Back,3753150541,141,95.9,3753150545,212,23.9,3753150533,107,,3753150547,213,6.1,3753150549,1,,,,,eue5o5hcml60dtt61qku5jcut,B. Purrington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454906419,16,44,1,1,34,87coxipr6ls77tnlba3eselx0,1,33.2,93,2022-09-03T14:04:23.381Z,2022-09-04T07:33:51Z,3753150665,233,22,3753150603,56,Back,3753150605,285,,,,,,,,,,,,,,,,,6aonl21cpvfg8ma7i00q9ho0l,J. White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454906397,22,44,1,1,34,841zp0njrq63yv4fvw6lgf60q,0,66.8,7,2022-09-03T14:04:23.382Z,2022-09-03T21:16:41Z,3753150681,233,16,3753150529,286,,3753150527,56,Right,,,,,,,,,,,,,,,,53y4n4h9zi3d1l1f9jb9ytxhx,A. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454906523,17,1,1,1,35,87coxipr6ls77tnlba3eselx0,1,30.8,95.9,2022-09-03T14:04:23.452Z,2022-09-04T07:33:51Z,3753151061,140,28.6,3755686407,388,,3753151063,141,78.4,3753151073,213,4.5,3753151059,56,Back,3753151055,3,,3753151069,212,12.1,,,,6aonl21cpvfg8ma7i00q9ho0l,J. White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454906431,23,43,1,1,36,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-09-03T14:04:24.649Z,2022-09-03T14:06:34Z,3753177285,144,61,3753150641,56,Right,,,,,,,,,,,,,,,,,,,53y4n4h9zi3d1l1f9jb9ytxhx,A. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455578821,822,67,1,1,36,87coxipr6ls77tnlba3eselx0,1,28.1,79.6,2022-09-03T14:04:25.075Z,2022-09-04T07:33:51Z,3756774503,233,1013,,,,,,,,,,,,,,,,,,,,,,a0d1koufzrtx0jcsw09ibtbyt,J. Tillson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455578817,1013,67,1,1,36,841zp0njrq63yv4fvw6lgf60q,0,71.9,20.4,2022-09-03T14:04:25.076Z,2022-09-04T04:53:09Z,3756774507,233,822,,,,,,,,,,,,,,,,,,,,,,6o62deaqwdcrllc91hz09cct1,R. McCrorie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454906573,18,1,1,1,36,87coxipr6ls77tnlba3eselx0,0,28.6,78.4,2022-09-03T14:04:25.128Z,2022-09-04T07:33:52Z,3753151317,212,19.4,3753151315,141,64.8,3755686811,178,,3753151311,56,Back,3753151313,140,44.8,3753151321,213,5.8,,,,,,,a0d1koufzrtx0jcsw09ibtbyt,J. Tillson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454906511,24,49,1,1,37,841zp0njrq63yv4fvw6lgf60q,1,56,29.5,2022-09-03T14:04:25.688Z,2022-09-03T21:17:16Z,,,,,,,,,,,,,,,,,,,,,,,,,c4kxfrbrfedilykhbyak3e579,Y. Ramadani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454906807,25,1,1,1,39,841zp0njrq63yv4fvw6lgf60q,1,55.1,35.5,2022-09-03T14:04:27.760Z,2022-09-03T21:17:41Z,3753152527,212,18.2,3753152525,141,62.1,3753152519,56,Center,3753152531,213,1.5,3753155711,210,15,3753152521,140,57.1,3755687691,178,,,,,c4kxfrbrfedilykhbyak3e579,Y. Ramadani,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454906819,26,15,1,1,42,841zp0njrq63yv4fvw6lgf60q,1,68.2,73,2022-09-03T14:04:31.364Z,2022-09-03T21:17:42Z,3753155771,147,52.2,3753155753,55,25,3753155739,72,,3753154557,233,19,3753155769,146,96.5,3753155763,102,48.8,3753155765,103,5.1,3755688627,178,,1doiom8yk2hn6sn6orlcfypjp,J. Hayes,,3754610265,18,3753152575,56,Center,3753155767,215,3754610267,78,3753152571,22,3753155745,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454906927,19,10,1,1,44,87coxipr6ls77tnlba3eselx0,1,2.7,50.2,2022-09-03T14:04:32.651Z,2022-09-03T21:17:51Z,3753153193,173,,3753154651,233,26,3753154201,179,,3754610901,376,,3753153197,182,,3753153201,56,Back,,,,,,,4lp29rlldfr9f8jx6e6qqfgt1,R. Laidlaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454906989,20,6,1,1,47,87coxipr6ls77tnlba3eselx0,0,8.8,66,2022-09-03T14:04:35.703Z,2022-09-03T21:18:00Z,3753153511,73,,3753153795,233,27,3753153509,56,Back,,,,,,,,,,,,,,,,4lp29rlldfr9f8jx6e6qqfgt1,R. Laidlaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454907025,27,6,1,1,47,841zp0njrq63yv4fvw6lgf60q,1,91.2,34,2022-09-03T14:04:35.703Z,2022-09-03T21:18:00Z,3753153653,56,Center,3753153727,233,20,3753153661,75,,,,,,,,,,,,,,,,,1doiom8yk2hn6sn6orlcfypjp,J. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454908125,28,1,1,2,14,841zp0njrq63yv4fvw6lgf60q,0,99.5,0.5,2022-09-03T14:05:02.681Z,2022-09-03T21:18:07Z,3753159445,141,50.9,3753159455,1,,3753159423,6,,3753159439,140,95.2,3755689849,178,,3753159449,212,34.6,3753159427,155,,3753159453,213,1.7,1doiom8yk2hn6sn6orlcfypjp,J. Hayes,,3754613337,72,3753159431,223,,3753159435,56,3753159421,2,,,,,Center,,,,,,,,,,,,,,,,,,,,,,,,,,
