id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,qualifier/13/value,qualifier/20/id,qualifier/20/qualifierId,assist,qualifier/18/value
2468786417,1,34,16,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2022-10-08T13:15:10.386Z,2022-10-08T13:39:03Z,3826951929,59,"1, 22, 3, 18, 31, 13, 17, 16, 21, 10, 6, 30, 2, 4, 8, 11, 12, 15, 27, 32",3826951939,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826951937,197,2005,3826951927,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3826951933,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826951931,130,10,3826951935,194,3g3cjokfq1lnmycnv4t2gjaol,3826951925,30,"b3rry494s23b8elnqn3b5s5x, elt8lu5do3h4jcl9ujgaqlm1h, 8fsd4fp4wx5o8oqmwdf9ppl91, ewlrnu90xe2127a1erxlz29qt, 9n6jx9s4eip7mgken67i9oyc5, 9d2p89e7bftxqhk80hy9ldeqd, 6lwrvaxo8k9t72aibrsf6cdex, cz9jf3ozld7o0hns2xmn54b56, 4g4zufvyime7qp4ks4badls0k, 29zpgzbse1373d9bhj3l2ee39, 3g3cjokfq1lnmycnv4t2gjaol, 6nm4j9c81rfkxyl9vfxvbscno, 55p0px4ulmisr3btbblrexbyt, dgrjf6wf81uuk32qxqunfoded, 9stfaq0p7jw8269ms8ijc4a8l, ctqn305re0qsih8mh5nufg89h, eabkzadgzvnw3xb7k1hjppsoa, buzr2irzyzx8zdt1rasijxrtg, dtxvjsp1yrr3njbg7b3l5fo4p, 6550eub0qoudw8d846theawpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468786473,1,34,16,0,0,cnnku8uihko7u4th0fms4pvg6,1,0,0,2022-10-08T13:15:15.957Z,2022-10-08T14:02:44Z,3826952295,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3826952293,30,"54u4k9lzcugph99091xt282j9, 4kpf2eyjqmax3f676dmhh9e51, ehj0z1y90uxmn8gdvaoldk1cl, 90qai3k7otbuwrry224ki1f4l, dy1z4i2jsbeswei0ha2n39c5x, 8iwme9n9fhlu50yqm3pvtrd91, 5p8y1fedi7alsnrdwg7lmw99l, 8vom1gwu040ty00c6ps3r2sph, 12vo1l1xngzwi7kndbnyzfbv9, 4f2bppk56sa7dqgw652x0fzdh, 7d5vo5ppoev5q1uf39x0afkrt, 1o7uvhqqueh716napx4qpq99m, 95pgrmkq8cn94eo5y26hp4s7p, 90ibgoec1k1npb1odsqwpfx1, 7ush9a10cc79gudlog12crt9l, 4lb16ginbppvud84mgwirvfth, 9weodc9tdqcm2dg6cg6wyx785, 60ahvhvx30iw7abq1hxrzd0wl, alzo6b4olqf8djtphk32e0f3e, 25vb30mtetefhp3ix26nlhx0q",3826952307,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826952305,197,1995,3826952297,59,"1, 2, 31, 4, 6, 26, 30, 8, 9, 37, 17, 3, 14, 18, 19, 20, 23, 33, 38, 71",3826952303,194,4kpf2eyjqmax3f676dmhh9e51,3826952301,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3826952299,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823679,2,32,1,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2022-10-08T14:00:28.374Z,2022-10-08T14:00:28Z,3827143167,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823705,2,32,1,0,0,cnnku8uihko7u4th0fms4pvg6,1,0,0,2022-10-08T14:00:28.374Z,2022-10-08T19:40:36Z,3827143247,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823759,3,1,1,0,0,cnnku8uihko7u4th0fms4pvg6,1,50.1,49.5,2022-10-08T14:00:28.448Z,2022-10-08T20:02:24Z,3827143487,56,Back,3829389067,178,,3827143491,141,51.3,3827143489,140,42.4,3827143493,212,8.2,3828526625,278,,3827143495,213,3.0,3827143497,279,S,12vo1l1xngzwi7kndbnyzfbv9,A. Čolak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823815,4,1,1,0,1,cnnku8uihko7u4th0fms4pvg6,1,43.1,48.4,2022-10-08T14:00:30.029Z,2022-10-08T20:02:36Z,3829389895,178,,3827143687,56,Right,3827143695,213,5.3,3827143693,212,30.9,3827143689,140,58.9,3827143691,141,10.0,,,,,,,90qai3k7otbuwrry224ki1f4l,J. Lundstram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823831,5,1,1,0,4,cnnku8uihko7u4th0fms4pvg6,1,58.9,10,2022-10-08T14:00:32.802Z,2022-10-08T20:02:45Z,3827143767,56,Back,3829390269,178,,3827143769,140,43.6,3827143771,141,13.8,3827143773,212,16.3,3827143775,213,3.0,,,,,,,5p8y1fedi7alsnrdwg7lmw99l,F. Sakala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823883,6,1,1,0,6,cnnku8uihko7u4th0fms4pvg6,1,43.6,13.8,2022-10-08T14:00:34.975Z,2022-10-08T20:02:50Z,3827144027,56,Back,3827144033,212,15.1,3827144031,141,31.5,3827144035,213,2.2,3827144029,140,34.9,3829390519,178,,,,,,,,4kpf2eyjqmax3f676dmhh9e51,J. Tavernier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823941,7,1,1,0,9,cnnku8uihko7u4th0fms4pvg6,1,33.8,35.5,2022-10-08T14:00:37.982Z,2022-10-08T20:03:00Z,3827144259,56,Back,3829391065,178,,3827144263,141,53.9,3827144261,140,32.4,3827144265,212,12.6,3827144267,213,1.7,,,,,,,dy1z4i2jsbeswei0ha2n39c5x,C. Goldson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468823999,8,1,1,0,11,cnnku8uihko7u4th0fms4pvg6,1,33.9,57.5,2022-10-08T14:00:40.295Z,2022-10-08T20:03:04Z,3829391259,178,,3827144559,213,1.0,3827144557,212,26.5,3827144551,56,Back,3827144553,140,47.2,3827144555,141,90.6,,,,,,,8iwme9n9fhlu50yqm3pvtrd91,B. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
