id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,assist
2517300493,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-03-08T18:47:18.785Z,2023-03-08T19:48:53Z,4082842037,59,"1, 2, 11, 22, 23, 15, 16, 18, 9, 8, 19, 7, 12, 17, 28, 29, 32, 33",4082842047,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4082842041,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0",4082842033,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, db1hineo65ck1zyg8kjtl5iad, 91z7xt6xuwgzt0jyg5owh6yfp, 7jn2vr9iq2cg2ui6oaww1i6i2, 9mgoxb4nlse8gjbmcs0nh0dex, elmr3dbzcn0od1mflq6mc02ui, cwdqe0rv5dcshhfhke86j9z2t, b0fuw7r17cq41awaoydw9bjl5, 960mhrs3usnisl5jv0xzok3x1, 48hhfwdy6qw1cjd1el8n9t591, 8gh8ocvon1ht6yxxdxaisfa39, f104wb7oezb00w1lmyebcow6h, 1mbcl4xzln2fyj0o3aapdhdrd, djyjh9vs99rm6pfm2ofhwfd91, 1swg0twoet2to70z38wo78b1l, ejo44v1xeqrf9wsc1q3td4ul1, 73grc910ff9auyze63pgtoet",4082842043,194,z1apq9hkjp8l8jhpegacpwid,4082842035,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5",4082842039,130,8,4082842045,197,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517301383,1,34,16,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2023-03-08T18:52:39.686Z,2023-03-08T19:56:18Z,4082847525,59,"1, 22, 16, 3, 4, 27, 23, 18, 9, 20, 14, 2, 6, 7, 10, 12, 25, 28, 31, 39",4082847535,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4082847529,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4082847531,194,4sskvw16m8gh8al8vy0ephuc5,4082847521,30,"btdn91fhcdkiq2u93gqw32n6d, 1q4eo8ovtzffi9nz1kms98161, 319dgvwkm8di2r8oovefbxck5, 629dgygro5n41ce8ulov5wwl, 2cic9rl1m8i7ut6ed7p0h1905, 3wgjzispcz53as7jxh8lh0y96, 7v2udgcj3xk2douxfmge6lp7t, 1cfh2cg8i2f4cqd7fraos96fp, 4sskvw16m8gh8al8vy0ephuc5, c99yg0ykkr6o17ykicw27e68k, aqgrddi0lgqphjeksr0rkd0ph, a5fpw5f7bvu01i8drfir8ugut, 6n8gmwjc9frk90mzpnf9xlkyy, 7qd78ivuyspmb0fno5vdetat, epwyjoowg7wfojxxldoum9yhh, 9o2dyl3cbm2ni3874doydh49h, 86vsscrn4hhdlwlot6sj8pqfo, 74w7u994c832ya17u9g7nkh04, 4sjmv52glqhssplqouu2z8gkp, en1fxquyiysad7et2aeu0fpck",4082847533,197,9196,4082847523,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4082847527,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517315167,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-03-08T19:48:06.161Z,2023-03-09T03:56:19Z,4082925831,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517315163,2,32,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2023-03-08T19:48:06.161Z,2023-03-08T19:48:06Z,4082925825,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517315193,3,1,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,50,50,2023-03-08T19:48:06.390Z,2023-03-09T04:54:32Z,4082925975,213,3.2,4082925973,212,22.2,4082925969,140,28.9,4082925971,141,48.5,4083423733,178,,4082925967,56,Back,4082925977,279,S,,,,1cfh2cg8i2f4cqd7fraos96fp,J. McGrath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517315207,4,1,1,0,3,4qdzzur2cuuridyb0jso8mksi,0,36.4,53,2023-03-08T19:48:09.653Z,2023-03-09T04:54:35Z,4082926063,140,72.4,4083423799,178,,4082926059,155,,4082926061,56,Center,4082926065,141,23.4,4082926071,1,,4082926069,213,5.8,4082926067,212,42.8,2cic9rl1m8i7ut6ed7p0h1905,C. Mulgrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517315219,3,1,1,0,6,besu5lkqmra07drq1czpr0tk4,1,28.1,83.5,2023-03-08T19:48:12.412Z,2023-03-09T04:54:40Z,4082926169,141,84.8,4082926173,212,7.7,4082926163,140,35.4,4082926159,56,Back,4083423861,388,,4082926157,3,,4082926177,213,0.1,,,,9mgoxb4nlse8gjbmcs0nh0dex,M. Boyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517315229,4,1,1,0,9,besu5lkqmra07drq1czpr0tk4,1,36.4,85.3,2023-03-08T19:48:15.541Z,2023-03-09T04:54:49Z,4082926237,212,10.6,4082926239,213,2.4,4082926229,3,,4082926235,141,95.3,4082926231,56,Back,4082926233,140,28.6,4083423993,388,,,,,48hhfwdy6qw1cjd1el8n9t591,J. Nouble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517315231,5,49,1,0,11,besu5lkqmra07drq1czpr0tk4,1,32.9,92.4,2023-03-08T19:48:17.523Z,2023-03-09T04:54:54Z,,,,,,,,,,,,,,,,,,,,,,,,,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517315251,6,1,1,0,11,besu5lkqmra07drq1czpr0tk4,1,33.5,91.5,2023-03-08T19:48:17.525Z,2023-03-09T04:54:57Z,4082926335,212,28.1,4082926329,56,Left,4082926331,140,60.1,4083014565,155,,4082926333,141,95.9,4083424097,178,,4082926337,213,0.1,,,,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
