id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2451443609,1,34,16,0,0,cnnku8uihko7u4th0fms4pvg6,1,0,0,2022-08-27T13:06:36.726Z,2022-08-27T14:58:55Z,3734646337,194,4kpf2eyjqmax3f676dmhh9e51,3734646331,59,"33, 2, 31, 11, 6, 19, 23, 4, 9, 71, 14, 3, 1, 8, 10, 17, 30, 37, 38, 44",3734646333,130,8,3734646329,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3734646339,197,1995,3734646335,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734646341,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734646327,30,"60ahvhvx30iw7abq1hxrzd0wl, 4kpf2eyjqmax3f676dmhh9e51, ehj0z1y90uxmn8gdvaoldk1cl, 643b413dyyhat62izfe0s6jmd, dy1z4i2jsbeswei0ha2n39c5x, 7ush9a10cc79gudlog12crt9l, 9weodc9tdqcm2dg6cg6wyx785, 90qai3k7otbuwrry224ki1f4l, 12vo1l1xngzwi7kndbnyzfbv9, 25vb30mtetefhp3ix26nlhx0q, 95pgrmkq8cn94eo5y26hp4s7p, 1o7uvhqqueh716napx4qpq99m, 54u4k9lzcugph99091xt282j9, 8vom1gwu040ty00c6ps3r2sph, 2hspu41ocnru322bdzom7rp, 7d5vo5ppoev5q1uf39x0afkrt, 5p8y1fedi7alsnrdwg7lmw99l, 4f2bppk56sa7dqgw652x0fzdh, alzo6b4olqf8djtphk32e0f3e, 4bu8zoar377u6mvwfqf46rt62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451447683,1,34,16,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-08-27T13:14:04.911Z,2022-08-27T14:00:14Z,3734668723,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734668721,197,16279,3734668711,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3734668713,59,"1, 12, 3, 4, 15, 6, 17, 14, 19, 10, 16, 7, 9, 11, 21, 22, 24, 26, 30, 31",3734668717,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734668719,194,cgonvdrm0gwjzrsz5fho4cwr9,3734668715,130,8,3734668709,30,"4lp29rlldfr9f8jx6e6qqfgt1, auan97c17t3ze3zdvnfovtomh, eue5o5hcml60dtt61qku5jcut, bxgp3jpqcyk794ty0zk0o9jv9, cgonvdrm0gwjzrsz5fho4cwr9, 3ka60g1o4fct4t2dc7394sr8p, d2dqd11a9koizwjaq93n4npt6, 9ciad1fw48orv5aph9o83f6ne, 3jxifism5urj3049zcojb8us5, djjolbwunzmlob0chwp8x21g5, 1hoyso1oinr2bza4lxgkzdiax, 2n1na0cyvk19401cuwsokmaga, bed0m5tw305n4c60cuqlhrkd1, djn7515ev4uzfcvizndtrvzkl, 1xcvcrq88be0efbkwgi7pirjd, a0d1koufzrtx0jcsw09ibtbyt, bpbwue9gbmi9dd3wf7klkgdm1, 6aonl21cpvfg8ma7i00q9ho0l, atzpueujhh1u79b8ijhufob9w, 89b8lqf476f0slerw345892i1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451475995,2,32,1,0,0,cnnku8uihko7u4th0fms4pvg6,1,0,0,2022-08-27T14:02:21.201Z,2022-08-27T22:07:36Z,3734805709,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451475969,2,32,1,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-08-27T14:02:21.201Z,2022-08-27T14:02:21Z,3734805573,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451476091,3,1,1,0,0,cnnku8uihko7u4th0fms4pvg6,1,50.1,50,2022-08-27T14:02:21.220Z,2022-08-28T01:01:19Z,3734806235,212,12.3,3734806239,279,S,3738216175,178,,3734806237,213,3.2,3734806229,56,Back,3734806233,141,49.0,3734806231,140,38.4,,,,12vo1l1xngzwi7kndbnyzfbv9,A. Čolak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451476145,4,1,1,0,1,cnnku8uihko7u4th0fms4pvg6,1,38,46.1,2022-08-27T14:02:23.192Z,2022-08-28T01:01:25Z,3738216639,178,,3734806511,213,4.8,3734806503,56,Back,3734806507,141,9.7,3734806505,140,40.4,3734806509,212,24.9,,,,,,,90qai3k7otbuwrry224ki1f4l,J. Lundstram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451476245,5,1,1,0,3,cnnku8uihko7u4th0fms4pvg6,1,40.4,9.7,2022-08-27T14:02:24.926Z,2022-08-28T01:01:30Z,3734806969,140,25.0,3734806967,56,Back,3734806973,212,23.1,3734806971,141,33.9,3738217101,178,,3734806975,213,2.3,,,,,,,4kpf2eyjqmax3f676dmhh9e51,J. Tavernier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451476443,6,1,1,0,6,cnnku8uihko7u4th0fms4pvg6,1,25,33.9,2022-08-27T14:02:27.551Z,2022-08-28T01:01:35Z,3734807925,213,1.5,3734807919,140,26.2,3738217355,178,,3734807917,56,Back,3734807923,212,22.5,3734807921,141,67.0,,,,,,,dy1z4i2jsbeswei0ha2n39c5x,C. Goldson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451476649,7,1,1,0,12,cnnku8uihko7u4th0fms4pvg6,1,33.7,62,2022-08-27T14:02:33.511Z,2022-08-28T01:01:39Z,3734808805,141,93.2,3738217669,178,,3734808809,213,1.1,3734808803,140,44.9,3734808801,56,Back,3734808807,212,24.3,,,,,,,7ush9a10cc79gudlog12crt9l,J. Sands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451476659,8,61,1,0,15,cnnku8uihko7u4th0fms4pvg6,0,44.9,93.2,2022-08-27T14:02:36.422Z,2022-08-28T01:01:49Z,3734808863,56,Back,3738218385,178,,,,,,,,,,,,,,,,,,,,ehj0z1y90uxmn8gdvaoldk1cl,B. Barišić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
