id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/9/value,qualifier/8/value,assist,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,qualifier/17/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2497174729,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-01-14T14:07:41.541Z,2023-01-14T14:44:19Z,3976830119,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976830117,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, 1swg0twoet2to70z38wo78b1l, ddnwckj55fg870otjg9w9xyad, dm0ktjgadvf89t9zsqybufnxl, 9mgoxb4nlse8gjbmcs0nh0dex, 91z7xt6xuwgzt0jyg5owh6yfp, 73grc910ff9auyze63pgtoet, b0fuw7r17cq41awaoydw9bjl5, elmr3dbzcn0od1mflq6mc02ui, 1mbcl4xzln2fyj0o3aapdhdrd, 7hzc2m8h1ufacyazzxp1ove1h, 9ykuo0c905u48vd44wxgb6jth, 8gh8ocvon1ht6yxxdxaisfa39, 960mhrs3usnisl5jv0xzok3x1, e3wuwgyb0acsca2fw0l7fq7rp, db1hineo65ck1zyg8kjtl5iad, cwdqe0rv5dcshhfhke86j9z2t, djyjh9vs99rm6pfm2ofhwfd91, ejo44v1xeqrf9wsc1q3td4ul1",3976830125,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976830129,197,1999,3976830127,194,z1apq9hkjp8l8jhpegacpwid,3976830131,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976830123,130,4,3976830121,59,"1, 2, 29, 24, 5, 15, 22, 33, 9, 16, 17, 3, 6, 7, 8, 10, 11, 18, 28, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497175907,1,34,16,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2023-01-14T14:09:03.091Z,2023-01-14T14:14:10Z,3976836083,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976836075,130,18,3976836071,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976836079,194,tywvq45nw3cobufa7zkhsq8l,3976836077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976836081,197,1983,3976836073,59,"1, 14, 19, 4, 6, 5, 23, 13, 10, 37, 7, 2, 11, 12, 17, 18, 21, 26, 29, 34",3976836069,30,"3vt38r8n9081i3a4dj89lx905, 2ezi9zjj3pmt475woji11gi51, 56b1gs6obdcpx4j3c02bi4bqi, cxjlus7adz4r6y0j3x5v2y0gl, tywvq45nw3cobufa7zkhsq8l, 9wjmsi05ex83iw3iy5bgkdrvu, a0cvnq9q83z3x0e1p938uu5ed, 4gxhbsq4ocdqnrj3yrro2jf11, 27exg4oaa7sym40hi0szdc05x, cqbhq4xh00uqxhenp0nc24xjp, 27ldss0bvyuhn929cd0j8u47p, 1yqdq8dtuvh9wmn8cgyv3t8tl, e5jvpbvdxhuq0m80bpqwv015h, 7bpoyv7zrd3ffl4j4e520jdud, 2r6suw717hgzqsp8ogvwdfk6h, 4l1wyg8j3u42b87477y3zm54a, c4g43ghalkakgcgv1jzaum11x, 1tbuc25mv5qc48uawml7aqu3t, cyg7icft0ojp9wdbyq9nlkwyd, d0ped35vke09xx92otkq63pm2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213349,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2023-01-14T15:01:44.898Z,2023-01-14T15:01:45Z,3977037949,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213359,2,32,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2023-01-14T15:01:44.898Z,2023-01-14T21:02:07Z,3977038009,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213375,3,1,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,49.9,49.7,2023-01-14T15:01:44.952Z,2023-01-15T08:01:53Z,3977038073,56,Back,3977038081,213,3.1,3979073895,178,,3977038079,212,15.6,3977038077,141,50.1,3977038083,279,S,3977038075,140,35.0,,,,27exg4oaa7sym40hi0szdc05x,D. Wotherspoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213463,4,1,1,0,1,ez46dadmx0virt38cgeq2n6pf,1,41,54.2,2023-01-14T15:01:46.711Z,2023-01-15T08:02:19Z,3977038579,1,,3977038577,213,5.5,3977038571,140,66.6,3977038575,212,39.4,3977038567,155,,3977038569,56,Right,3977038573,141,11.9,3979074149,178,,cxjlus7adz4r6y0j3x5v2y0gl,A. Considine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213485,5,1,1,0,4,ez46dadmx0virt38cgeq2n6pf,0,65.4,12.6,2023-01-14T15:01:49.671Z,2023-01-15T08:02:26Z,3977038653,56,Right,3979074211,388,,3977038661,213,0.1,3977038651,3,,3977038659,212,12.0,3977038657,141,13.7,3977038655,140,76.8,,,,2ezi9zjj3pmt475woji11gi51,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213587,3,1,1,0,6,besu5lkqmra07drq1czpr0tk4,1,24.6,92.3,2023-01-14T15:01:51.583Z,2023-01-15T08:02:33Z,3977039141,140,32.9,3977039133,3,,3977039149,212,8.7,3977039145,141,91.4,3977039137,56,Back,3979074245,178,,3977039153,213,6.2,,,,1swg0twoet2to70z38wo78b1l,J. Penrice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497213645,4,1,1,0,7,besu5lkqmra07drq1czpr0tk4,1,32.9,91.4,2023-01-14T15:01:52.590Z,2023-01-15T08:02:43Z,3977039413,140,26.7,3979074367,178,,3979074369,21,,3977039423,213,2.9,3977039415,141,93.8,3977039411,56,Back,3977039419,212,6.7,,,,91z7xt6xuwgzt0jyg5owh6yfp,A. Shinnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497420195,781,49,1,0,8,besu5lkqmra07drq1czpr0tk4,1,34.1,89.6,2023-01-14T15:01:53.642Z,2023-01-15T08:02:46Z,,,,,,,,,,,,,,,,,,,,,,,,,1mbcl4xzln2fyj0o3aapdhdrd,S. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
