id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2440191647,1,34,16,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2022-07-30T13:31:39.693Z,2022-07-30T13:59:41Z,3674786387,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3674786389,194,2spu2yn887lywqw2vrg3evhlh,3674786379,30,"91m838lynz6db94q8ufcqk91x, 2ytdtlvxm0ba22gsmk6vu4vhm, 3svpmpx5tb4ekuewkh79l2up5, 9coe01drgpmlz3ee9qfond815, 2c89yb9spduwcxl7lrhckru1h, 4rsnyz3019rgfjdil1zs024t1, 8q0nnrx7ru205zepoqv7lm579, ek2ub5dvlisn73a45n3gwj2s5, bl8p4bg9mwh2ugsxgg4x0pzo5, n4ml5xifvll22bpq68ld4auh, 2spu2yn887lywqw2vrg3evhlh, 9z0xcc7yot7royqle0nn6fdn9, br8drjrzg7caqavtr5l7twpka, 6uvj9qt3kex5sx729zbe1rlyh, atf7aycphllb4i8h9jnld4bmd, 2kxzjuns50x1fb85ndoad0set, 5h9myriisqh4v99oka6gwey8l, b3s3d69kycsfhgk4fslp7s1d5, 2707xag1w0czgk17kz84632ms, 8hiqkrsoskyhhoc0n0wp7lql1",3674786381,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3674786385,130,12,3674786391,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3674786383,59,"20, 25, 21, 2, 5, 19, 7, 31, 28, 9, 4, 11, 14, 15, 17, 18, 22, 27, 34, 50",3674839085,197,1978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440192467,1,34,16,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2022-07-30T13:34:44.715Z,2022-08-15T13:34:30Z,3674791371,30,"btdn91fhcdkiq2u93gqw32n6d, a5fpw5f7bvu01i8drfir8ugut, 629dgygro5n41ce8ulov5wwl, 2t4k430xmiekwb5khdwtg14h5, 9o2dyl3cbm2ni3874doydh49h, 2cic9rl1m8i7ut6ed7p0h1905, aqgrddi0lgqphjeksr0rkd0ph, 7v2udgcj3xk2douxfmge6lp7t, 4sskvw16m8gh8al8vy0ephuc5, 74w7u994c832ya17u9g7nkh04, 7yq6f41dcfzqz40hblj3j9905, 6n8gmwjc9frk90mzpnf9xlkyy, 7qd78ivuyspmb0fno5vdetat, cqbhq4xh00uqxhenp0nc24xjp, day3njm5hkudffvdvccpopbyt, en7kanawhbmhl0736htwdnt9l, eqx6gmp1f5ocxeosc97rcqqui, 1q4eo8ovtzffi9nz1kms98161, 86vsscrn4hhdlwlot6sj8pqfo, aapofyop1alkvydfgckce9vkk",3674791383,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3674791375,59,"1, 2, 3, 19, 12, 4, 14, 23, 9, 28, 32, 6, 7, 10, 13, 15, 17, 22, 25, 44",3675254613,197,1975,3674791381,194,9o2dyl3cbm2ni3874doydh49h,3674791373,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3674791379,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3674791377,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440200631,2,32,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2022-07-30T14:00:15.388Z,2022-07-30T14:27:51Z,3674840353,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440200635,2,32,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2022-07-30T14:00:15.388Z,2022-07-31T00:02:21Z,3674840359,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440279831,409,1,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,50.1,50.1,2022-07-30T14:00:15.499Z,2022-12-12T19:46:38Z,3677665233,178,,3943159541,279,S,3675271729,56,Back,3675271737,213,3.3,3675271733,141,45.7,3675271735,212,24.9,3675271731,140,26.6,,,,4sskvw16m8gh8al8vy0ephuc5,S. Fletcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440211327,64,1,1,0,0,enzoyc121va61wtmjf4cm7p3d,0,89.6,16.2,2022-07-30T14:06:56.374Z,2022-07-31T11:32:56Z,3676295921,20,,3674897195,212,58.8,3674897191,140,98.2,3677709309,178,,3678315753,233,324,3674897185,2,,3676296025,345,,3674897199,1,,2ytdtlvxm0ba22gsmk6vu4vhm,R. Alebiosu,3674897197,213,1.4,3674897189,56,Left,3674897187,155,3674897193,141,100.0,3676295919,224,,,,,,,,,,,,,,,,,,,,,,
2440200705,3,1,1,0,3,4qdzzur2cuuridyb0jso8mksi,1,28.5,56.9,2022-07-30T14:00:19.370Z,2022-07-31T03:03:33Z,3674840695,141,93.3,3677665367,178,,3674840691,56,Left,3674840693,140,75.0,3674840701,1,,3674840699,213,0.5,3674840697,212,54.7,3676201057,157,,9o2dyl3cbm2ni3874doydh49h,R. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440200709,4,44,1,0,6,4qdzzur2cuuridyb0jso8mksi,1,72,94.4,2022-07-30T14:00:22.109Z,2022-07-31T06:21:56Z,3674840717,56,Left,3675089325,286,,3674840725,233,3,,,,,,,,,,,,,,,,7yq6f41dcfzqz40hblj3j9905,T. Watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440200699,3,44,1,0,6,enzoyc121va61wtmjf4cm7p3d,0,28,5.6,2022-07-30T14:00:22.110Z,2022-07-31T03:03:40Z,3674840741,233,4,3674840659,56,Back,3677665493,285,,,,,,,,,,,,,,,,,2ytdtlvxm0ba22gsmk6vu4vhm,R. Alebiosu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440200715,5,1,1,0,6,4qdzzur2cuuridyb0jso8mksi,1,74.9,92.5,2022-07-30T14:00:22.200Z,2022-07-31T06:21:57Z,3674840767,212,12.9,3674840769,213,5.1,3677665675,388,,3674840759,3,,3674840763,140,79.3,3674840765,141,74.8,3674840761,56,Center,,,,7yq6f41dcfzqz40hblj3j9905,T. Watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
