id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,assist,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/10/value,qualifier/14/value,keyPass,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/16/value
2460987567,1,34,16,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2022-09-17T13:09:01.552Z,2022-09-17T13:09:07Z,3785475369,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785475361,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785475347,30,"bu7u0edo60hpre8wkhgw79gwl, cs5ejx87ge8am8ir8w0lj4wk5, 5f1erzxtvzncvf1wtqnv3fgmh, cxxhe0dwp3wi35c28spse4l7u, 87dk4hxfl302jn9iu3vr9pckp, e98evrjmtbjwjrmvlhu1hn36d, 4xbvoe0viskrxc7jiyd1iapcl, afowz5wysshf6f5mj5iz1t5h, 3je3s65vdag4qctd9q0ku8z8q, cugnsf9b6g823srxuux5jnofe, dnnv0ts8b4ov8id729wyoeuax, 2i835ww5po0e5y9txkdajsnsa, 6qp481f9ke8vcrvu9gnsbq4lx, 9eglkkpww5oem5vdrmf8q2bu2, 86k8csy6no8avlq6bdk43f36x, atx6lc3lltktph9wnqv5oihg5, 1coz8r44qcr2aau1u09888i6s, fx0i4f70a096eya9f6irwdt5, 47wddacm2cmbifzhdkr79mk7p, 82m1eir9istcl9x5srqdrtca2",3785475353,59,"1, 12, 3, 6, 5, 4, 77, 11, 99, 32, 23, 2, 8, 10, 13, 16, 17, 18, 24, 25",3785475365,194,bu7u0edo60hpre8wkhgw79gwl,3785475359,130,8,3785475367,197,1993,3785475351,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460987619,1,34,16,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-09-17T13:09:05.002Z,2022-09-17T14:23:53Z,3785475631,30,"26hokry025pgjx5bn7ljlkatx, 16x7shxmsfll6pytg8b8v0dbe, su2h9bv6nhltjjkbz5s7lrdh, c4kxfrbrfedilykhbyak3e579, 53y4n4h9zi3d1l1f9jb9ytxhx, 8byxqwq7ktyxn5rfbj4p0m0o9, 5frjqqf0jvbqw8ag00pktw8yy, 6o62deaqwdcrllc91hz09cct1, bkehljspqbj6tz0peqjivkvai, 8cpd4je0ku8wjumqeh3ruv10p, 1doiom8yk2hn6sn6orlcfypjp, 6xvw6n5wq8bcgg01i87rbfsgl, 4e49434kkv98sjq1byj8rnkh6, 1naidcngjv592t1hgd78yy8oa, 7ie1bwuj4e18xy9bl6mszwt1, 34f03siv3fwkjgxy0d036ncru, 9imvdvv7wnaknh1bc4ocun78q, eh244gs179rv5hxz3oisx8d90, el8iinhsb8c12kgvng4idutat, dnv51o5kbp3627cjdl5yxks7p",3785475639,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785475643,197,7011,3785475645,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785475641,194,53y4n4h9zi3d1l1f9jb9ytxhx,3785475637,130,2,3785475633,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3785475635,59,"24, 25, 22, 16, 5, 4, 10, 2, 11, 9, 17, 1, 3, 7, 15, 21, 23, 28, 33, 99",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461040871,2,32,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-09-17T14:03:50.863Z,2022-09-17T14:03:53Z,3785749985,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461040841,2,32,1,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2022-09-17T14:03:50.863Z,2022-09-17T18:46:32Z,3785749867,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461040955,3,1,1,0,0,c9ky1957qli8v2lylfga7io8b,1,50.2,49.9,2022-09-17T14:03:50.984Z,2022-09-17T20:09:37Z,3785750441,278,,3785750435,212,7.5,3785750429,56,Back,3785750437,213,3.1,3785750433,141,50.3,3785750439,279,S,3788008005,178,,3785750431,140,43.1,cugnsf9b6g823srxuux5jnofe,J. Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461040977,4,1,1,0,1,c9ky1957qli8v2lylfga7io8b,1,43.1,50.3,2022-09-17T14:03:52.771Z,2022-09-17T20:09:44Z,3785750515,141,47.6,3785750517,212,12.5,3785750513,140,54.9,3785750519,213,6.1,3785750511,56,Center,3788008463,178,,,,,,,,cxxhe0dwp3wi35c28spse4l7u,N. Kenneh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461041029,5,1,1,0,2,c9ky1957qli8v2lylfga7io8b,1,54.9,47.6,2022-09-17T14:03:53.488Z,2022-09-17T20:10:39Z,3785750769,141,49.6,3785750773,213,3.0,3785750765,56,Back,3788012443,178,,3785750771,212,14.3,3785750767,140,41.3,,,,,,,cugnsf9b6g823srxuux5jnofe,J. Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461041133,6,1,1,0,4,c9ky1957qli8v2lylfga7io8b,1,38,49.6,2022-09-17T14:03:55.587Z,2022-09-17T20:10:45Z,3785751277,212,14.7,3785751275,141,50.9,3785751269,140,24.0,3785751283,213,3.1,3788012825,178,,3785751265,56,Back,,,,,,,cxxhe0dwp3wi35c28spse4l7u,N. Kenneh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461041329,7,1,1,0,6,c9ky1957qli8v2lylfga7io8b,1,24,50.4,2022-09-17T14:03:57.538Z,2022-09-17T20:10:52Z,3785752305,140,8.2,3785752303,56,Back,3785752307,141,50.7,3785752309,212,16.6,3788013193,178,,3785752311,213,3.1,,,,,,,87dk4hxfl302jn9iu3vr9pckp,R. Porteous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461041451,8,1,1,0,12,c9ky1957qli8v2lylfga7io8b,0,12.4,41.6,2022-09-17T14:04:03.562Z,2022-09-17T20:14:31Z,3785752885,141,79.7,3785752887,212,66.2,3785752883,140,70.4,3788026381,178,,3785752879,155,,3785752891,1,,3785752889,213,0.4,3785752881,56,Left,bu7u0edo60hpre8wkhgw79gwl,D. Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461041517,3,1,1,0,15,841zp0njrq63yv4fvw6lgf60q,0,36,34.2,2022-09-17T14:04:06.795Z,2022-09-17T20:14:39Z,3788026949,388,,3785753239,141,8.8,3785753243,213,5.1,3785753241,212,18.9,3785753233,3,,3785753237,140,43.4,3785753235,56,Back,,,,53y4n4h9zi3d1l1f9jb9ytxhx,A. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461041567,9,1,1,0,17,c9ky1957qli8v2lylfga7io8b,1,60.9,96,2022-09-17T14:04:08.826Z,2022-09-17T20:14:58Z,3788028355,178,,3785753513,140,65.9,3785753517,212,5.7,3785753515,141,92.7,3785753511,56,Left,3785753519,213,5.9,,,,,,,5f1erzxtvzncvf1wtqnv3fgmh,M. Čabraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461649861,1040,43,1,0,19,c9ky1957qli8v2lylfga7io8b,1,0,0,2022-09-17T14:04:10.134Z,2022-09-18T03:44:10Z,3789083451,144,82,3789083355,178,0,,,,,,,,,,,,,,,,,,,dnnv0ts8b4ov8id729wyoeuax,É. Youan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461635615,883,67,1,0,19,c9ky1957qli8v2lylfga7io8b,1,66.6,89.3,2022-09-17T14:04:10.143Z,2022-09-18T06:19:21Z,3789019007,233,665,,,,,,,,,,,,,,,,,,,,,,dnnv0ts8b4ov8id729wyoeuax,É. Youan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461635611,665,67,1,0,19,841zp0njrq63yv4fvw6lgf60q,0,33.4,10.7,2022-09-17T14:04:10.144Z,2022-09-18T03:12:21Z,3789019011,233,883,,,,,,,,,,,,,,,,,,,,,,16x7shxmsfll6pytg8b8v0dbe,J. Richardson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
