id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist
2492040061,6,4,1,0,6,841zp0njrq63yv4fvw6lgf60q,0,60.3,70.7,2022-12-17T12:31:59.843Z,2022-12-17T17:41:45Z,3950447939,178,,3949728843,56,Center,3949728885,233,5,3949728847,285,,3949728839,13,,3949728841,294,,3949728845,152,,,,,6ne71gfjoez9m0tk8qozd8e3u,L. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040105,6,1,1,0,21,dvnjvad3p09dugr79gktlrtll,1,37.2,29.1,2022-12-17T12:32:15.152Z,2022-12-17T17:42:09Z,3950448719,178,,3949729049,5,,3949729057,141,6.2,3949729053,56,Right,3949729059,212,23.5,3949729051,152,,3949729061,213,5.6,3949729055,140,53.9,c4dvhy1z0op9iwj9aqdgzh0q1,C. Carter-Vickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040109,7,1,1,0,23,dvnjvad3p09dugr79gktlrtll,1,54.2,6.2,2022-12-17T12:32:16.736Z,2022-12-17T17:42:14Z,3949729117,56,Back,3949729121,141,24.1,3949729119,140,46.5,3950448851,178,,3949729125,213,2.2,3949729123,212,14.6,,,,,,,cwmej1d313luxo30tav8ws3jd,A. Ralston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040111,8,1,1,0,25,dvnjvad3p09dugr79gktlrtll,1,46.5,25.2,2022-12-17T12:32:19.293Z,2022-12-17T17:42:18Z,3950448937,178,,3949729131,140,41.1,3949729135,212,29.3,3949729133,141,67.5,3949729129,56,Back,3949729137,213,1.8,,,,,,,cx59kxpqiabi3c5vl9mxvlyhh,C. McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040115,9,1,1,0,28,dvnjvad3p09dugr79gktlrtll,1,42.8,67.9,2022-12-17T12:32:21.827Z,2022-12-17T17:42:25Z,3949729147,212,18.5,3949729143,140,56.9,3949729149,213,0.6,3949729141,56,Left,3950449021,178,,3949729145,141,84.2,,,,,,,cksi669gcnskpytzh70a43it,C. Starfelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040125,10,1,1,0,30,dvnjvad3p09dugr79gktlrtll,1,57.7,85,2022-12-17T12:32:23.890Z,2022-12-17T17:42:29Z,3949729195,140,71.6,3950449079,178,,3949729197,141,92.1,3949729201,213,0.3,3949729199,212,15.4,3949729193,56,Left,,,,,,,9fd3uggpu2opd1cuiwskjbhm1,G. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040127,11,1,1,0,36,dvnjvad3p09dugr79gktlrtll,1,70.2,83.6,2022-12-17T12:32:29.730Z,2022-12-17T17:42:33Z,3949729207,140,81.0,3949729209,141,85.3,3949729211,212,11.4,3949729205,56,Left,3949729213,213,0.1,3950449135,178,,,,,,,,ed81nbya8j93qvelqdk79ustm,R. Hatate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040129,12,1,1,0,36,dvnjvad3p09dugr79gktlrtll,1,81,85.3,2022-12-17T12:32:30.316Z,2022-12-17T17:42:36Z,3949729225,213,1.6,3949729219,140,80.8,3949729221,141,95.9,3949729217,56,Left,3950449227,178,,3949729223,212,7.2,,,,,,,9fd3uggpu2opd1cuiwskjbhm1,G. Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492180541,645,83,1,0,39,841zp0njrq63yv4fvw6lgf60q,1,17.6,4.3,2022-12-17T12:32:33.127Z,2022-12-17T18:18:00Z,3950497645,399,216059,,,,,,,,,,,,,,,,,,,,,,el8iinhsb8c12kgvng4idutat,M. Kennedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040133,13,1,1,0,41,dvnjvad3p09dugr79gktlrtll,1,84.1,95.4,2022-12-17T12:32:35.232Z,2022-12-17T17:42:40Z,3949729247,212,19.5,3949729249,213,3.7,3949729243,140,68.1,3949729245,141,80.8,3949729241,56,Left,3950449327,178,,,,,,,,a1q1se1i8ih65e94xswacghk9,Jota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040135,14,1,1,0,44,dvnjvad3p09dugr79gktlrtll,1,71.1,72.1,2022-12-17T12:32:37.556Z,2022-12-17T17:42:44Z,3949729257,141,38.6,3949729253,56,Center,3949729259,212,22.8,3950449493,178,,3949729261,213,4.7,3949729255,140,70.8,,,,,,,cx59kxpqiabi3c5vl9mxvlyhh,C. McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040153,15,1,1,0,46,dvnjvad3p09dugr79gktlrtll,1,73.8,33.6,2022-12-17T12:32:40.207Z,2022-12-17T17:42:58Z,3949729329,140,88.3,3949729333,212,16.3,3949729327,56,Center,3950449911,178,,3949729335,213,5.9,3949729331,141,25.0,,,,,,,cwmej1d313luxo30tav8ws3jd,A. Ralston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040165,16,1,1,0,49,dvnjvad3p09dugr79gktlrtll,0,91.8,25.3,2022-12-17T12:32:42.461Z,2022-12-17T17:43:03Z,3950450021,178,,3949729371,213,1.4,3949729365,140,93.3,3949729363,56,Center,3949729369,212,11.0,3949729367,141,41.3,,,,,,,4x7o9h6ea8ldt9sxgz87vwycp,D. Maeda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040163,7,8,1,0,49,841zp0njrq63yv4fvw6lgf60q,1,8.2,63.6,2022-12-17T12:32:42.976Z,2022-12-17T17:43:07Z,3950165641,384,,3949729361,56,Back,3950450115,178,,,,,,,,,,,,,,,,,4e49434kkv98sjq1byj8rnkh6,J. MacKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040171,8,49,1,0,51,841zp0njrq63yv4fvw6lgf60q,1,22.9,84.1,2022-12-17T12:32:44.651Z,2022-12-17T17:43:11Z,,,,,,,,,,,,,,,,,,,,,,,,,bkehljspqbj6tz0peqjivkvai,Duk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040173,9,3,1,0,53,841zp0njrq63yv4fvw6lgf60q,0,27,86.4,2022-12-17T12:32:46.655Z,2022-12-17T17:43:19Z,3950450369,178,,3949729391,285,,3949729389,56,Back,3949729421,233,17,3950165853,465,,,,,,,,,,,bkehljspqbj6tz0peqjivkvai,Duk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040177,17,7,1,0,53,dvnjvad3p09dugr79gktlrtll,1,73,13.6,2022-12-17T12:32:46.846Z,2022-12-17T17:43:23Z,3949729407,167,,3950165967,385,,3950450407,178,,3949729411,286,,3949729409,56,Right,3949729417,233,9,,,,,,,cx59kxpqiabi3c5vl9mxvlyhh,C. McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040221,10,5,1,0,55,841zp0njrq63yv4fvw6lgf60q,1,35.3,101.7,2022-12-17T12:32:49.133Z,2022-12-17T17:43:25Z,3949729613,347,,3949729611,56,Back,3949729615,233,18,,,,,,,,,,,,,,,,bkehljspqbj6tz0peqjivkvai,Duk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040179,18,5,1,0,55,dvnjvad3p09dugr79gktlrtll,0,64.7,-1.7,2022-12-17T12:32:49.133Z,2022-12-17T17:43:25Z,3949729413,56,Right,3949729415,347,,3949729619,233,10,,,,,,,,,,,,,,,,cx59kxpqiabi3c5vl9mxvlyhh,C. McGregor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040223,11,1,1,1,12,841zp0njrq63yv4fvw6lgf60q,1,38.3,100,2022-12-17T12:33:05.713Z,2022-12-17T17:43:29Z,3949729631,212,7.1,3949729625,56,Back,3949729627,140,40.2,3949729623,107,,3949729633,213,5.0,3949729629,141,92.0,,,,,,,4e49434kkv98sjq1byj8rnkh6,J. MacKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040225,12,1,1,1,13,841zp0njrq63yv4fvw6lgf60q,1,40.6,91.7,2022-12-17T12:33:06.632Z,2022-12-17T17:43:40Z,3949729641,141,96.5,3950450883,388,,3949729645,213,2.2,3949729637,56,Back,3949729639,140,38.1,3949729643,212,4.2,,,,,,,6ne71gfjoez9m0tk8qozd8e3u,L. Clarkson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492040229,13,1,1,1,14,841zp0njrq63yv4fvw6lgf60q,1,38.1,96.5,2022-12-17T12:33:07.554Z,2022-12-17T17:43:43Z,3949729657,140,60.3,3949729653,155,,3949729663,213,5.7,3949729659,141,73.5,3950450929,178,,3949729655,56,Center,3949729661,212,28.1,,,,4e49434kkv98sjq1byj8rnkh6,J. MacKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
