id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2440187143,1,34,16,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2022-07-30T13:14:09.058Z,2022-07-30T13:58:13Z,3674836981,197,14717,3674759097,30,"9edzwm5tgsaud77tbc16our4l, 9voc3iwmlxkuuln6h03j0fqzu, 9fk3a8f7bhmecbubtfuqs9jvt, 699t2ytlqawiya0n1ytwk0f6x, 5t8x37anxancpz8fqxxauioyd, emglo360rdevds650u33d2odl, awaksdyk1jcvvmlq85x7gcout, ey5m0gz111sobrykgcrpt45at, 53ipmesg7cuaty2uzqm1a2xn9, ucsmsk8k5wn69tdpz70ytyad, en7rrg1epwhzy47dd1zcp9wb9, 6a7br2t45mam4765clafr0lp1, 5v4a80qx7x0s2d1dyl9n76y1h, m3s6nw66qyk5wt6tflfpkd79, 7kyujdy1mcqzlevv3f0l0oul1, 894vnlr3zfyyadmhx9n3y6fl6, bbgkxdtxxoinxftd09k5lth3p, bgzc9ozb1qel3aw808tip6bu2, a4sdovrrwe7o6j29uisbqrzhm",3674759103,130,13,3674759105,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3674759845,194,9edzwm5tgsaud77tbc16our4l,3674759107,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3674759101,59,"1, 12, 19, 15, 4, 21, 5, 2, 9, 17, 18, 7, 10, 11, 13, 14, 16, 20, 27",3674759099,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440187707,1,34,16,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-07-30T13:15:59.368Z,2022-07-30T14:04:52Z,3674762573,130,8,3674762575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3674762579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3674762571,59,"1, 2, 3, 22, 5, 6, 11, 8, 19, 9, 7, 10, 12, 14, 15, 16, 17, 24, 26, 31",3674838547,197,16279,3674762577,194,43mi8uliaor1b9mejf33if1sl,3674762567,30,"4lp29rlldfr9f8jx6e6qqfgt1, dl2j6mynj9b09ehi3ebi2fc2d, eue5o5hcml60dtt61qku5jcut, a0d1koufzrtx0jcsw09ibtbyt, 43mi8uliaor1b9mejf33if1sl, 3ka60g1o4fct4t2dc7394sr8p, djn7515ev4uzfcvizndtrvzkl, 1q9c3t3umg0yh0qop886eghxx, 3jxifism5urj3049zcojb8us5, bed0m5tw305n4c60cuqlhrkd1, 2n1na0cyvk19401cuwsokmaga, djjolbwunzmlob0chwp8x21g5, auan97c17t3ze3zdvnfovtomh, 9ciad1fw48orv5aph9o83f6ne, cgonvdrm0gwjzrsz5fho4cwr9, 1hoyso1oinr2bza4lxgkzdiax, d2dqd11a9koizwjaq93n4npt6, bpbwue9gbmi9dd3wf7klkgdm1, 6aonl21cpvfg8ma7i00q9ho0l, 89b8lqf476f0slerw345892i1",3674762569,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440201183,2,32,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2022-07-30T14:00:54.050Z,2022-08-01T09:36:22Z,3674842961,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440201165,2,32,1,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-07-30T14:00:54.050Z,2022-07-30T14:00:54Z,3674842865,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440201221,3,1,1,0,0,87coxipr6ls77tnlba3eselx0,1,49.9,50,2022-07-30T14:00:54.150Z,2022-08-01T10:14:22Z,3680779425,178,,3674843137,213,2.9,3674843131,140,35.9,3674843129,56,Back,3674843133,141,55.1,3674843135,212,15.1,3674843139,279,S,,,,bed0m5tw305n4c60cuqlhrkd1,D. Samuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440201273,4,1,1,0,2,87coxipr6ls77tnlba3eselx0,1,36,55.1,2022-07-30T14:00:56.121Z,2022-08-01T10:14:26Z,3674843343,141,24.9,3674843349,212,20.5,3674843353,213,4.7,3674843335,56,Back,3674843339,140,36.3,3680779451,178,,,,,,,,3ka60g1o4fct4t2dc7394sr8p,A. Iacovitti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440201325,5,1,1,0,5,87coxipr6ls77tnlba3eselx0,1,37.1,18.5,2022-07-30T14:00:59.360Z,2022-08-01T10:14:34Z,3674843573,140,70.4,3674843579,212,35.0,3674843577,141,21.0,3674843571,56,Right,3674843567,155,,3674843581,213,0.0,3680779539,178,,3674843583,1,,43mi8uliaor1b9mejf33if1sl,J. Baldwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440201337,6,1,1,0,7,87coxipr6ls77tnlba3eselx0,0,70,21.8,2022-07-30T14:01:01.158Z,2022-08-01T10:14:40Z,3674843643,141,32.2,3674843645,212,12.0,3674843637,168,,3674843639,56,Center,3680779621,388,,3674843635,3,,3674843641,140,79.2,3674843647,213,0.6,3jxifism5urj3049zcojb8us5,J. Hiwula-Mayifuila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440201411,3,1,1,0,8,1hcbcuu846pa3iw6qskiws1cu,0,20.9,63.2,2022-07-30T14:01:02.324Z,2022-08-01T10:14:44Z,3680779683,178,,3674844019,56,Left,3674844021,140,58.9,3674844027,213,0.4,3674844023,141,89.3,3674844025,212,43.7,3674844029,1,,3674844017,157,,emglo360rdevds650u33d2odl,T. Sibbick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441301655,812,67,1,0,11,87coxipr6ls77tnlba3eselx0,1,43,8.7,2022-07-30T14:01:05.616Z,2022-08-01T12:16:04Z,3680808683,233,974,,,,,,,,,,,,,,,,,,,,,,43mi8uliaor1b9mejf33if1sl,J. Baldwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
