id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/14/value,qualifier/16/value
2530199129,1,34,16,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2023-04-08T13:03:43.605Z,2023-04-08T13:54:00Z,4172048471,197,1983,4172048465,130,19,4172048463,59,"1, 14, 19, 6, 13, 2, 10, 34, 7, 16, 22, 3, 5, 17, 18, 20, 23, 26, 29, 31",4172048461,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172048469,194,tywvq45nw3cobufa7zkhsq8l,4172048473,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172048467,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172048459,30,"3vt38r8n9081i3a4dj89lx905, 2ezi9zjj3pmt475woji11gi51, 56b1gs6obdcpx4j3c02bi4bqi, tywvq45nw3cobufa7zkhsq8l, 4gxhbsq4ocdqnrj3yrro2jf11, 1yqdq8dtuvh9wmn8cgyv3t8tl, 27exg4oaa7sym40hi0szdc05x, d0ped35vke09xx92otkq63pm2, 27ldss0bvyuhn929cd0j8u47p, 744enw7o0c1i9a1b0qjihgjqh, 7xxqn9xu5izixdi9spsjf1t5h, 7f0r99zrqykjuoz0bqlintbzd, 9wjmsi05ex83iw3iy5bgkdrvu, 2r6suw717hgzqsp8ogvwdfk6h, 4l1wyg8j3u42b87477y3zm54a, kpkpalx1dxjph7895pb7ene1, a0cvnq9q83z3x0e1p938uu5ed, 1tbuc25mv5qc48uawml7aqu3t, cyg7icft0ojp9wdbyq9nlkwyd, avcww4x5wyrlm6gk3sckkudxw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530205209,1,34,16,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2023-04-08T13:13:37.427Z,2023-04-08T14:07:12Z,4172082659,30,"4lp29rlldfr9f8jx6e6qqfgt1, djn7515ev4uzfcvizndtrvzkl, 1hoyso1oinr2bza4lxgkzdiax, 3ka60g1o4fct4t2dc7394sr8p, atzpueujhh1u79b8ijhufob9w, dl2j6mynj9b09ehi3ebi2fc2d, 9ciad1fw48orv5aph9o83f6ne, cxxhe0dwp3wi35c28spse4l7u, 2r9hayi0ybenx2bj3hrhzbb9x, 6aonl21cpvfg8ma7i00q9ho0l, bxgp3jpqcyk794ty0zk0o9jv9, 2n1na0cyvk19401cuwsokmaga, bed0m5tw305n4c60cuqlhrkd1, cgonvdrm0gwjzrsz5fho4cwr9, f48c8vds4wpfu9wl7is4y3sgl, 3jxifism5urj3049zcojb8us5, 1xcvcrq88be0efbkwgi7pirjd, 3sz8ql6cofytbuss1zl8vpes4, dr4vzsp03vm7wj9crqnc6n02c, 1wk872a75kcbsb3wsvu10iz2s",4172082667,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172082669,194,3ka60g1o4fct4t2dc7394sr8p,4172082661,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172082673,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172082665,130,12,4172082671,197,1991,4172082663,59,"1, 11, 16, 6, 30, 2, 14, 42, 27, 26, 4, 7, 9, 15, 17, 19, 21, 35, 36, 49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240469,2,32,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2023-04-08T14:01:06.209Z,2023-04-08T21:26:24Z,4172256325,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240485,2,32,1,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2023-04-08T14:01:06.209Z,2023-04-08T14:01:09Z,4172256397,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240495,3,1,1,0,0,87coxipr6ls77tnlba3eselx0,1,50.1,50.1,2023-04-08T14:01:06.533Z,2023-04-08T14:04:51Z,4172256431,141,48.9,4172256429,140,38.6,4172256437,279,S,4172256427,56,Back,4172256435,213,3.2,4172256433,212,12.1,,,,,,,bxgp3jpqcyk794ty0zk0o9jv9,D. Cancola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240547,4,1,1,0,2,87coxipr6ls77tnlba3eselx0,1,39.3,50.1,2023-04-08T14:01:08.949Z,2023-04-08T14:04:33Z,4172256721,140,41.6,4172256727,213,4.9,4172256723,141,31.3,4172256725,212,13.0,4172256719,56,Back,,,,,,,,,,9ciad1fw48orv5aph9o83f6ne,V. Loturi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240577,5,1,1,0,4,87coxipr6ls77tnlba3eselx0,0,41.1,25.8,2023-04-08T14:01:10.813Z,2023-04-08T14:01:12Z,4172256837,56,Center,4172256843,212,35.7,4172256839,140,69.8,4172256845,213,0.6,4172256847,1,,4172256835,155,,4172256841,141,53.9,,,,dl2j6mynj9b09ehi3ebi2fc2d,C. Randall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240621,3,49,1,0,6,ez46dadmx0virt38cgeq2n6pf,1,26.4,43.7,2023-04-08T14:01:13.125Z,2023-04-08T21:27:08Z,,,,,,,,,,,,,,,,,,,,,,,,,4gxhbsq4ocdqnrj3yrro2jf11,R. McGowan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240653,4,1,1,0,7,ez46dadmx0virt38cgeq2n6pf,1,26.4,43.7,2023-04-08T14:01:13.237Z,2023-04-08T21:27:09Z,4172257193,141,58.2,4172257195,212,9.9,4172257189,56,Back,4172257191,140,26.3,4172257197,213,1.6,,,,,,,,,,4gxhbsq4ocdqnrj3yrro2jf11,R. McGowan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530240671,5,1,1,0,8,ez46dadmx0virt38cgeq2n6pf,0,26.3,58.2,2023-04-08T14:01:14.300Z,2023-04-08T21:27:10Z,4172257265,141,49.1,4172257269,213,6.1,4172257261,56,Center,4172257263,140,54.9,4172257267,212,30.7,,,,,,,,,,tywvq45nw3cobufa7zkhsq8l,L. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
