id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/18/value
2495522113,1,34,16,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2023-01-07T14:07:24.902Z,2023-01-07T15:11:11Z,3968153411,59,"20, 2, 33, 6, 5, 19, 4, 31, 23, 16, 7, 1, 8, 11, 14, 15, 17, 18, 21, 26",3968153407,30,"91m838lynz6db94q8ufcqk91x, 9coe01drgpmlz3ee9qfond815, 1wmfn9bky6owvj3jc4iftsxnu, 1pt1yc4fl9oxxsaoeq1cm3xzp, 2c89yb9spduwcxl7lrhckru1h, 4rsnyz3019rgfjdil1zs024t1, 2spu2yn887lywqw2vrg3evhlh, ek2ub5dvlisn73a45n3gwj2s5, dzs6o86mv89839vlz2qswhuj9, 9hnkwvq81pd0bkovc17lqhf4l, 8q0nnrx7ru205zepoqv7lm579, 1fkrvnzbrb9s0qojjhc8edpm1, dggymph6p6xe8s3h2hae5p5g5, 9z0xcc7yot7royqle0nn6fdn9, br8drjrzg7caqavtr5l7twpka, 6uvj9qt3kex5sx729zbe1rlyh, atf7aycphllb4i8h9jnld4bmd, 2kxzjuns50x1fb85ndoad0set, 3svpmpx5tb4ekuewkh79l2up5, 71xg650qcs8yibhrumgvdejth",3968153421,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3968153413,130,10,3968153417,194,2spu2yn887lywqw2vrg3evhlh,3968153415,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3968153419,197,1980,3968153409,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495522259,1,34,16,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-01-07T14:07:42.700Z,2023-01-07T17:07:23Z,3968154173,194,cx59kxpqiabi3c5vl9mxvlyhh,3968154165,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3968154171,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3968154163,30,"8grd4q334w1ud9vbb6vrli6z9, epwfc94g7m7ed1nbt9wbgo6ei, 75fze9pkbgv3baqwnyqnzxbe, cx59kxpqiabi3c5vl9mxvlyhh, c4dvhy1z0op9iwj9aqdgzh0q1, cksi669gcnskpytzh70a43it, axicg3mdtrur97rjz423pl8t1, ed81nbya8j93qvelqdk79ustm, 96vt6e4xjci5gll0ogsnlfg89, a1q1se1i8ih65e94xswacghk9, 4x7o9h6ea8ldt9sxgz87vwycp, bm5w5xsbbflm26pdhmejwgvs9, 84aebyqt0y9r2jjml4u1z0ij9, czazwj4nt23bydpdi67i0wga2, 9hoygyx51dhic09hlnhlsjend, 3g3x2ws0npu7aa51h4nx7nazu, 9v2ru33bml5fpvpcbjhrahjv9, cm7l7qimy4iysm1khmpc7u961, 26olsdd9erf8rahc8xfqz01xx, 9kxuwgequrilkom3ru6sdxall",3968154169,130,4,3968154175,197,805,3968154177,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3968154167,59,"1, 2, 25, 42, 20, 4, 13, 41, 8, 17, 38, 6, 7, 11, 14, 18, 29, 33, 49, 88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495542901,2,32,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2023-01-07T15:02:20.508Z,2023-01-07T15:02:20Z,3968265197,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495542911,2,32,1,0,0,dvnjvad3p09dugr79gktlrtll,1,0,0,2023-01-07T15:02:20.508Z,2023-01-07T19:56:10Z,3968265235,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495542961,3,1,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,50.1,50,2023-01-07T15:02:20.536Z,2023-01-07T20:04:28Z,3968265489,140,35.4,3968265495,213,3.1,3968265487,56,Back,3969396733,178,,3968265497,279,S,3968265493,212,15.5,3968265491,141,51.2,,,,8q0nnrx7ru205zepoqv7lm579,R. McKenzie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495543011,4,1,1,0,1,enzoyc121va61wtmjf4cm7p3d,0,38.8,48.8,2023-01-07T15:02:22.241Z,2023-01-07T23:59:44Z,3968265739,140,72.6,3968265741,141,0.0,3968265743,212,49.5,3968265735,155,,3969396889,178,,3968265747,1,,3968265745,213,5.5,3968265737,56,Right,1pt1yc4fl9oxxsaoeq1cm3xzp,C. Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495543031,3,5,1,0,6,dvnjvad3p09dugr79gktlrtll,1,27.2,101.6,2023-01-07T15:02:26.768Z,2023-01-07T20:04:38Z,3968265841,347,,3968265839,56,Back,3968265899,233,5,,,,,,,,,,,,,,,,75fze9pkbgv3baqwnyqnzxbe,A. Bernabei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495543017,5,5,1,0,6,enzoyc121va61wtmjf4cm7p3d,0,72.8,-1.6,2023-01-07T15:02:26.768Z,2023-01-07T20:04:39Z,3968265767,347,,3968265947,233,3,3968265765,56,Right,,,,,,,,,,,,,,,,1pt1yc4fl9oxxsaoeq1cm3xzp,C. Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495543137,4,1,1,0,10,dvnjvad3p09dugr79gktlrtll,1,25,100,2023-01-07T15:02:30.808Z,2023-01-07T23:59:43Z,3968266331,107,,3968266347,141,95.1,3968266343,140,10.9,3968266351,212,15.4,3968266339,56,Back,3968266353,213,3.4,,,,,,,75fze9pkbgv3baqwnyqnzxbe,A. Bernabei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495543197,5,1,1,0,13,dvnjvad3p09dugr79gktlrtll,1,10.7,94.9,2023-01-07T15:02:33.651Z,2023-01-07T23:59:42Z,3968266645,141,97.2,3969397377,178,,3968266649,213,0.2,3968266639,56,Back,3968266643,140,20.1,3968266647,212,10.0,,,,,,,cksi669gcnskpytzh70a43it,C. Starfelt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
