id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/9/value,qualifier/12/value,qualifier/10/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2460991217,1,34,16,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-09-17T13:13:11.364Z,2022-09-17T14:27:05Z,3785495987,194,cgonvdrm0gwjzrsz5fho4cwr9,3785495979,130,8,3785495997,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785495973,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3785495971,30,"4lp29rlldfr9f8jx6e6qqfgt1, cgonvdrm0gwjzrsz5fho4cwr9, eue5o5hcml60dtt61qku5jcut, bxgp3jpqcyk794ty0zk0o9jv9, 43mi8uliaor1b9mejf33if1sl, 3ka60g1o4fct4t2dc7394sr8p, 7q6h161f7gcqnpy07x80hbpck, a0d1koufzrtx0jcsw09ibtbyt, 6aonl21cpvfg8ma7i00q9ho0l, 1q9c3t3umg0yh0qop886eghxx, d2dqd11a9koizwjaq93n4npt6, 2n1na0cyvk19401cuwsokmaga, bed0m5tw305n4c60cuqlhrkd1, djjolbwunzmlob0chwp8x21g5, djn7515ev4uzfcvizndtrvzkl, 9ciad1fw48orv5aph9o83f6ne, 3jxifism5urj3049zcojb8us5, bpbwue9gbmi9dd3wf7klkgdm1, atzpueujhh1u79b8ijhufob9w, 89b8lqf476f0slerw345892i1",3785495993,197,1991,3785495975,59,"1, 15, 3, 4, 5, 6, 18, 22, 26, 8, 17, 7, 9, 10, 11, 14, 19, 24, 30, 31",3785495983,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460994893,1,34,16,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2022-09-17T13:16:56.541Z,2022-09-17T15:32:58Z,3785516493,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785516491,130,10,3785516489,59,"1, 14, 19, 4, 6, 5, 22, 13, 37, 7, 29, 2, 8, 11, 12, 17, 21, 31, 26, 27",3785516497,197,1983,3785516499,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3785516487,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3785516495,194,tywvq45nw3cobufa7zkhsq8l,3785516485,30,"3vt38r8n9081i3a4dj89lx905, 2ezi9zjj3pmt475woji11gi51, 56b1gs6obdcpx4j3c02bi4bqi, cxjlus7adz4r6y0j3x5v2y0gl, tywvq45nw3cobufa7zkhsq8l, 9wjmsi05ex83iw3iy5bgkdrvu, 7xxqn9xu5izixdi9spsjf1t5h, 4gxhbsq4ocdqnrj3yrro2jf11, cqbhq4xh00uqxhenp0nc24xjp, 27ldss0bvyuhn929cd0j8u47p, cyg7icft0ojp9wdbyq9nlkwyd, 1yqdq8dtuvh9wmn8cgyv3t8tl, 5jak1pkxwsio7n36rpu5pt9zp, e5jvpbvdxhuq0m80bpqwv015h, 7bpoyv7zrd3ffl4j4e520jdud, 2r6suw717hgzqsp8ogvwdfk6h, c4g43ghalkakgcgv1jzaum11x, avcww4x5wyrlm6gk3sckkudxw, 1tbuc25mv5qc48uawml7aqu3t, dc1kk0l9t57lspx5qzzbscm0a",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461037853,2,32,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,0,0,2022-09-17T14:02:27.439Z,2022-09-17T20:19:46Z,3785735235,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461037839,2,32,1,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2022-09-17T14:02:27.439Z,2022-09-17T14:02:27Z,3785735177,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461037969,3,1,1,0,0,ez46dadmx0virt38cgeq2n6pf,1,50.1,50,2022-09-17T14:02:27.521Z,2022-09-17T20:35:29Z,3788097139,178,,3785735747,279,S,3785735737,56,Back,3785735745,213,3.0,3785735743,212,15.4,3785735739,140,35.7,3785735741,141,54.0,,,,cyg7icft0ojp9wdbyq9nlkwyd,J. Murphy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461038001,4,1,1,0,1,ez46dadmx0virt38cgeq2n6pf,1,35.7,54,2022-09-17T14:02:29.368Z,2022-09-17T20:35:42Z,3785735907,213,5.4,3788098411,178,,3785735909,1,,3785735899,56,Right,3785735905,212,43.8,3785735897,157,,3785735903,141,5.5,3785735901,140,63.2,cxjlus7adz4r6y0j3x5v2y0gl,A. Considine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461038141,5,1,1,0,4,ez46dadmx0virt38cgeq2n6pf,0,63.2,5.5,2022-09-17T14:02:31.930Z,2022-09-17T20:36:18Z,3788100559,388,,3785736593,141,14.7,3785736591,140,76.3,3785736599,213,0.4,3785736587,3,,3785736589,56,Right,3785736597,212,15.1,,,,2ezi9zjj3pmt475woji11gi51,D. Wright,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461038101,3,49,1,0,8,87coxipr6ls77tnlba3eselx0,1,24.4,72.1,2022-09-17T14:02:35.735Z,2022-09-17T20:36:29Z,,,,,,,,,,,,,,,,,,,,,,,,,3ka60g1o4fct4t2dc7394sr8p,A. Iacovitti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461038199,4,1,1,0,8,87coxipr6ls77tnlba3eselx0,0,24.4,72.1,2022-09-17T14:02:35.744Z,2022-09-17T20:36:34Z,3785736925,213,0.2,3785736903,155,,3785736919,212,49.3,3785736929,1,,3785736911,140,70.5,3785736913,141,85.9,3788101165,178,,3785736907,56,Left,3ka60g1o4fct4t2dc7394sr8p,A. Iacovitti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461038245,6,44,1,0,10,ez46dadmx0virt38cgeq2n6pf,1,30,19.1,2022-09-17T14:02:38.308Z,2022-09-18T06:57:13Z,3785737123,56,Back,3785737125,285,,3785737151,233,5,,,,,,,,,,,,,,,,tywvq45nw3cobufa7zkhsq8l,L. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
