id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,assist,qualifier/17/value
2493055677,1,34,16,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2022-12-24T13:08:19.964Z,2022-12-24T13:26:48Z,3955115737,194,bu7u0edo60hpre8wkhgw79gwl,3955115727,59,"1, 12, 16, 11, 33, 4, 7, 5, 15, 32, 23, 3, 6, 13, 18, 19, 20, 22, 25, 46",3955115723,30,"bu7u0edo60hpre8wkhgw79gwl, cs5ejx87ge8am8ir8w0lj4wk5, atx6lc3lltktph9wnqv5oihg5, afowz5wysshf6f5mj5iz1t5h, cx021j1n37kzienjdgd9qndka, e98evrjmtbjwjrmvlhu1hn36d, 89df7o58mynvgjs0xlq4zh71l, 87dk4hxfl302jn9iu3vr9pckp, 4w3ipvncxgip8rxi2sf0l971l, cugnsf9b6g823srxuux5jnofe, dnnv0ts8b4ov8id729wyoeuax, 5f1erzxtvzncvf1wtqnv3fgmh, cxxhe0dwp3wi35c28spse4l7u, 86k8csy6no8avlq6bdk43f36x, fx0i4f70a096eya9f6irwdt5, dj5ho4am5u4ew23hchm4g549h, 7io59zk29vhvyueadmkotzeqy, 3jppvkr0tv7r8lwraqvc7wtlh, 82m1eir9istcl9x5srqdrtca2, 31qdomyqdjk440v2ons5vc7o5",3955115741,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955115739,197,16501,3955115729,130,8,3955115735,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955115725,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493056269,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-12-24T13:10:13.359Z,2022-12-24T13:28:47Z,3955118887,30,"6xxz0du2vvp6farrdvs02e8k5, z1apq9hkjp8l8jhpegacpwid, db1hineo65ck1zyg8kjtl5iad, 960mhrs3usnisl5jv0xzok3x1, 9ykuo0c905u48vd44wxgb6jth, dm0ktjgadvf89t9zsqybufnxl, cwdqe0rv5dcshhfhke86j9z2t, 91z7xt6xuwgzt0jyg5owh6yfp, b0fuw7r17cq41awaoydw9bjl5, 8gh8ocvon1ht6yxxdxaisfa39, 1mbcl4xzln2fyj0o3aapdhdrd, 7hzc2m8h1ufacyazzxp1ove1h, e3wuwgyb0acsca2fw0l7fq7rp, 9mgoxb4nlse8gjbmcs0nh0dex, ddnwckj55fg870otjg9w9xyad, 8d9kq8ab5olsc1w1swicqemay, 1swg0twoet2to70z38wo78b1l, ejo44v1xeqrf9wsc1q3td4ul1, 73grc910ff9auyze63pgtoet",3955118901,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3955118897,194,z1apq9hkjp8l8jhpegacpwid,3955118893,130,4,3955118889,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3955118895,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3955118899,197,2000,3955118891,59,"31, 2, 11, 8, 6, 5, 18, 22, 9, 7, 17, 3, 10, 15, 24, 25, 29, 32, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493067507,2,32,1,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2022-12-24T14:01:46.453Z,2022-12-24T16:23:19Z,3955180711,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493067503,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-12-24T14:01:46.453Z,2022-12-24T14:01:46Z,3955180705,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493067511,3,1,1,0,0,c9ky1957qli8v2lylfga7io8b,1,49.7,50.1,2022-12-24T14:01:47.283Z,2022-12-24T18:52:26Z,3955429689,178,,3955180725,213,3.1,3955180721,141,51.1,3955180717,56,Back,3955180723,212,14.4,3955180719,140,36.0,3955180727,279,S,,,,afowz5wysshf6f5mj5iz1t5h,J. Newell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493067565,4,1,1,0,2,c9ky1957qli8v2lylfga7io8b,1,42.6,49.7,2022-12-24T14:01:49.270Z,2022-12-24T18:52:28Z,3955180995,140,76.9,3955180991,155,,3955181001,213,0.7,3955180999,212,46.5,3955180993,56,Left,3955429693,178,,3955180997,141,93.0,3955181003,1,,87dk4hxfl302jn9iu3vr9pckp,R. Porteous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493067567,3,45,1,0,10,besu5lkqmra07drq1czpr0tk4,0,8.7,19.1,2022-12-24T14:01:56.856Z,2022-12-24T18:52:36Z,3955181093,233,5,3955181007,56,Back,3955181009,285,,,,,,,,,,,,,,,,,z1apq9hkjp8l8jhpegacpwid,N. Devlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493067581,5,3,1,0,10,c9ky1957qli8v2lylfga7io8b,1,91.3,80.9,2022-12-24T14:01:56.856Z,2022-12-24T18:52:36Z,3955181069,286,,3955181067,56,Left,3955429719,178,,3955343587,464,,3955181077,233,3,,,,,,,,,,dnnv0ts8b4ov8id729wyoeuax,É. Youan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493067615,6,1,1,0,12,c9ky1957qli8v2lylfga7io8b,1,93.3,68.5,2022-12-24T14:01:58.586Z,2022-12-24T18:52:40Z,3955181249,212,35.5,3955181245,140,97.6,3955181251,213,4.8,3955429737,178,,3955181243,56,Right,3955181247,141,16.7,3955181253,1,,,,,dnnv0ts8b4ov8id729wyoeuax,É. Youan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493067589,4,43,1,0,13,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-12-24T14:02:00.189Z,2022-12-24T14:02:04Z,3955181123,56,Back,3955181225,144,8,,,,,,,,,,,,,,,,,,,dm0ktjgadvf89t9zsqybufnxl,J. Fitzwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
