id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/11/value,qualifier/12/value,qualifier/10/value,qualifier/15/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/17/value
2515030445,1,34,16,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2023-03-04T14:05:48.452Z,2023-03-04T15:02:50Z,4070812597,197,16503,4070812589,59,"1, 22, 24, 52, 66, 16, 27, 8, 7, 99, 9, 2, 4, 5, 12, 13, 14, 17, 18, 26",4070812595,194,4gxuw581mvfnr6qr3aobbjyt,4070812591,130,18,4070812585,30,"4gxuw581mvfnr6qr3aobbjyt, a7p8w57m9ehh3wryxgd1oldzo, e7dz8u1uz579dl68v1p40fq7e, e4qmdsl4c7q79p01pggtwfpw5, bk1tvg8t79kbsmnf2i39or6c5, blmo7wrka5yrcckuu9owlwx5h, 5z0g3l4s56p11t3wgrpjhko9h, cl8lua6yep85vpl25pdi0wfzd, 6axbj3uylrbf0l29vj3vdmd3p, 3b3odntkdxlv2x7n9le3qbxlh, aiacgvdwjvt1te2ndnbk95lg5, 5j7ekg9k304y36twun3me2w2d, 8qv2da4sxpuw4h44jm4dz2j85, 4y27uf869xrujogawxtl9q0a1, eeh8lecxw27imfsy3954q04tm, 6yr5rwfdnz02psz22acr43z6d, czbwauhn3z2a0t8t6qreuq1yi, 4vnpdi15nazck2sywdgkve2cq, kmyde3h3kx3tyx5b4m2oglt6, 3sk52j2sm7jvmytofzefc5boq",4070812593,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070812587,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4070812599,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515035635,1,34,16,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2023-03-04T14:13:11.059Z,2023-03-04T15:11:13Z,4070840429,194,43mi8uliaor1b9mejf33if1sl,4070840423,59,"1, 29, 16, 6, 5, 2, 14, 42, 10, 26, 27, 4, 8, 11, 15, 19, 21, 25, 30, 49",4070840419,30,"4lp29rlldfr9f8jx6e6qqfgt1, 156hlg4mne48ct15fm5qtpjo5, 1hoyso1oinr2bza4lxgkzdiax, 3ka60g1o4fct4t2dc7394sr8p, 43mi8uliaor1b9mejf33if1sl, dl2j6mynj9b09ehi3ebi2fc2d, 9ciad1fw48orv5aph9o83f6ne, cxxhe0dwp3wi35c28spse4l7u, djjolbwunzmlob0chwp8x21g5, 6aonl21cpvfg8ma7i00q9ho0l, 2r9hayi0ybenx2bj3hrhzbb9x, bxgp3jpqcyk794ty0zk0o9jv9, 1q9c3t3umg0yh0qop886eghxx, djn7515ev4uzfcvizndtrvzkl, cgonvdrm0gwjzrsz5fho4cwr9, 3jxifism5urj3049zcojb8us5, 1xcvcrq88be0efbkwgi7pirjd, alzbf0uxns1669kbn41xmxiad, atzpueujhh1u79b8ijhufob9w, 1wk872a75kcbsb3wsvu10iz2s",4070840431,197,1991,4070840433,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070840425,130,18,4070840421,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4070840427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070845,2,32,1,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2023-03-04T15:01:14.436Z,2023-03-05T06:23:08Z,4071016133,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070861,2,32,1,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2023-03-04T15:01:14.436Z,2023-03-04T15:01:16Z,4071016187,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070925,3,1,1,0,0,759fhii7hsnldanli06j5jmf6,1,50.2,50,2023-03-04T15:01:14.586Z,2023-03-05T06:40:25Z,4071016541,140,26.3,4071016545,212,26.3,4071016547,213,2.8,4071016539,56,Back,4074461753,178,,4071016549,279,S,4071016543,141,61.5,,,,cl8lua6yep85vpl25pdi0wfzd,C. Slattery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515070997,4,1,1,0,3,759fhii7hsnldanli06j5jmf6,0,27.6,62.6,2023-03-04T15:01:17.587Z,2023-03-05T06:40:28Z,4071016889,140,69.4,4071016897,1,,4071016891,141,94.5,4071016895,213,0.5,4071016885,155,,4074461793,178,,4071016893,212,49.0,4071016887,56,Left,bk1tvg8t79kbsmnf2i39or6c5,C. Butcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071003,3,44,1,0,6,87coxipr6ls77tnlba3eselx0,1,28.9,5.7,2023-03-04T15:01:20.437Z,2023-03-05T15:20:01Z,4071016967,233,5,4071016923,285,,4071016919,56,Back,,,,,,,,,,,,,,,,43mi8uliaor1b9mejf33if1sl,J. Baldwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071009,5,44,1,0,6,759fhii7hsnldanli06j5jmf6,0,71.1,94.3,2023-03-04T15:01:20.438Z,2023-03-05T06:40:31Z,4071016947,56,Left,4071017069,233,3,4071016949,286,,,,,,,,,,,,,,,,,3b3odntkdxlv2x7n9le3qbxlh,J. Obika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071019,4,1,1,0,6,87coxipr6ls77tnlba3eselx0,1,26.5,5.6,2023-03-04T15:01:20.686Z,2023-03-05T15:20:01Z,4071016987,213,0.0,4071016985,212,16.5,4071016979,56,Back,4071016983,141,6.2,4074461849,388,,4071016981,140,42.2,4071016977,3,,,,,43mi8uliaor1b9mejf33if1sl,J. Baldwin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071163,5,1,1,0,8,87coxipr6ls77tnlba3eselx0,1,46.2,4.9,2023-03-04T15:01:23.058Z,2023-03-05T06:40:38Z,4071017575,140,83.3,4074461903,178,,4071017571,155,,4071017577,141,5.6,4071017581,213,0.0,4071017583,1,,4071017579,212,39.0,4071017573,56,Right,djjolbwunzmlob0chwp8x21g5,Y. Dhanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071173,6,49,1,0,12,87coxipr6ls77tnlba3eselx0,1,84.2,6.1,2023-03-04T15:01:27.386Z,2023-03-05T06:40:41Z,,,,,,,,,,,,,,,,,,,,,,,,,2r9hayi0ybenx2bj3hrhzbb9x,E. Brophy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515071457,7,1,1,0,14,87coxipr6ls77tnlba3eselx0,0,89.9,7.7,2023-03-04T15:01:29.028Z,2023-03-05T06:40:44Z,4071018803,140,100.0,4073571759,20,,4073571757,224,,4071018801,56,Left,4071018797,2,,4071018809,213,1.3,4071018811,1,,4074461973,178,,2r9hayi0ybenx2bj3hrhzbb9x,E. Brophy,4071018807,212,50.6,4071018805,141,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
