id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,keyPass,qualifier/12/value,qualifier/16/value,qualifier/11/value,qualifier/14/value
2445251159,1,34,16,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2022-08-13T13:15:08.078Z,2022-08-13T14:47:33Z,3701793255,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702395231,197,16501,3701793247,30,"bu7u0edo60hpre8wkhgw79gwl, cs5ejx87ge8am8ir8w0lj4wk5, 5f1erzxtvzncvf1wtqnv3fgmh, afowz5wysshf6f5mj5iz1t5h, 87dk4hxfl302jn9iu3vr9pckp, e98evrjmtbjwjrmvlhu1hn36d, 7io59zk29vhvyueadmkotzeqy, cxxhe0dwp3wi35c28spse4l7u, dnnv0ts8b4ov8id729wyoeuax, 9eglkkpww5oem5vdrmf8q2bu2, fx0i4f70a096eya9f6irwdt5, 4xbvoe0viskrxc7jiyd1iapcl, 2i835ww5po0e5y9txkdajsnsa, 6qp481f9ke8vcrvu9gnsbq4lx, 71xg650qcs8yibhrumgvdejth, 1coz8r44qcr2aau1u09888i6s, cd8joybckap9rrjor75n64dt5, 47wddacm2cmbifzhdkr79mk7p, 5myg9kh2dyc46xvxn9tx5h65m, dn3d4l4uyymqlsynwf1lfnzf8",3701793259,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701793249,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3701793257,194,bu7u0edo60hpre8wkhgw79gwl,3701793253,130,8,3701793251,59,"1, 12, 3, 11, 5, 4, 20, 6, 23, 10, 18, 77, 2, 8, 9, 17, 21, 24, 34, 37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445253637,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-08-13T13:20:36.959Z,2022-08-13T14:03:11Z,3701807373,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701807363,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3701807365,59,"1, 2, 11, 18, 5, 6, 24, 33, 19, 22, 8, 3, 7, 9, 10, 12, 14, 20, 25, 31",3701897417,197,1999,3701807367,130,9,3701807371,194,z1apq9hkjp8l8jhpegacpwid,3701807361,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, db1hineo65ck1zyg8kjtl5iad, cwdqe0rv5dcshhfhke86j9z2t, dm0ktjgadvf89t9zsqybufnxl, 9ykuo0c905u48vd44wxgb6jth, ddnwckj55fg870otjg9w9xyad, 73grc910ff9auyze63pgtoet, 48hhfwdy6qw1cjd1el8n9t591, 91z7xt6xuwgzt0jyg5owh6yfp, 960mhrs3usnisl5jv0xzok3x1, 7hzc2m8h1ufacyazzxp1ove1h, 8gh8ocvon1ht6yxxdxaisfa39, b0fuw7r17cq41awaoydw9bjl5, e3wuwgyb0acsca2fw0l7fq7rp, f104wb7oezb00w1lmyebcow6h, 479uurcrsfgf497b1ir46is45, 30rdwhst7nkhr03fixpqyibit, 8d9kq8ab5olsc1w1swicqemay, 6xxz0du2vvp6farrdvs02e8k5",3701807369,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445273985,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-08-13T14:00:32.882Z,2022-08-13T23:19:31Z,3701902207,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445274013,2,32,1,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2022-08-13T14:00:32.882Z,2022-08-13T14:00:34Z,3701902329,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445274039,3,1,1,0,0,besu5lkqmra07drq1czpr0tk4,1,50.1,49.9,2022-08-13T14:00:32.962Z,2022-08-14T06:13:41Z,3705557595,178,,3701902429,212,22.2,3701902425,140,30.5,3701902431,213,2.8,3701902433,279,S,3701902423,56,Back,3701902427,141,62.1,,,,cwdqe0rv5dcshhfhke86j9z2t,J. Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445274113,4,1,1,0,2,besu5lkqmra07drq1czpr0tk4,1,29.3,59.3,2022-08-13T14:00:35.521Z,2022-08-14T06:13:44Z,3701902745,212,29.1,3701902751,213,4.8,3705557691,178,,3701902741,141,16.5,3701902735,140,30.6,3701902729,56,Back,,,,,,,9ykuo0c905u48vd44wxgb6jth,A. Obileye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445274147,5,1,1,0,5,besu5lkqmra07drq1czpr0tk4,0,33.2,14.1,2022-08-13T14:00:38.676Z,2022-08-14T06:13:46Z,3701902865,213,0.0,3701902859,140,80.4,3701902855,155,,3701902863,212,49.6,3705557789,178,,3701902867,1,,3701902857,56,Right,3701902861,141,15.6,z1apq9hkjp8l8jhpegacpwid,N. Devlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445274169,3,1,1,0,8,c9ky1957qli8v2lylfga7io8b,0,24.8,85.9,2022-08-13T14:00:41.459Z,2022-08-14T06:13:53Z,3701902955,213,6.0,3701902947,56,Back,3701902949,140,43.5,3701902953,212,20.2,3701902945,3,,3705558025,388,,3701902951,141,79.0,,,,e98evrjmtbjwjrmvlhu1hn36d,P. Hanlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445274223,6,1,1,0,10,besu5lkqmra07drq1czpr0tk4,1,69.4,18.5,2022-08-13T14:00:43.030Z,2022-08-14T06:14:03Z,3701903183,140,76.7,3705558345,178,,3701903187,212,11.5,3701903181,56,Right,3701903185,141,5.9,3701903189,213,5.4,,,,,,,cwdqe0rv5dcshhfhke86j9z2t,J. Holt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445274303,7,1,1,0,12,besu5lkqmra07drq1czpr0tk4,1,76.7,5.9,2022-08-13T14:00:45.114Z,2022-08-14T06:14:06Z,3701903621,213,0.1,3701903617,141,7.3,3705558409,178,,3701903615,140,83.8,3701903613,56,Right,3701903619,212,7.5,,,,,,,91z7xt6xuwgzt0jyg5owh6yfp,A. Shinnie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
