id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/11/value,qualifier/13/value,qualifier/9/value,keyPass,qualifier/10/value,qualifier/15/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2446114417,1,34,16,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2022-08-14T13:02:54.214Z,2022-08-14T14:14:39Z,3706372637,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3706372639,59,"1, 2, 19, 7, 4, 15, 17, 14, 9, 10, 18, 3, 5, 11, 12, 13, 16, 20, 21, 30",3706372635,30,"9edzwm5tgsaud77tbc16our4l, ey5m0gz111sobrykgcrpt45at, 9fk3a8f7bhmecbubtfuqs9jvt, 6a7br2t45mam4765clafr0lp1, 5t8x37anxancpz8fqxxauioyd, 699t2ytlqawiya0n1ytwk0f6x, ucsmsk8k5wn69tdpz70ytyad, 894vnlr3zfyyadmhx9n3y6fl6, 53ipmesg7cuaty2uzqm1a2xn9, 5v4a80qx7x0s2d1dyl9n76y1h, en7rrg1epwhzy47dd1zcp9wb9, a6gle2qqy7154nh3pqso7upqt, awaksdyk1jcvvmlq85x7gcout, m3s6nw66qyk5wt6tflfpkd79, 9voc3iwmlxkuuln6h03j0fqzu, 7kyujdy1mcqzlevv3f0l0oul1, bbgkxdtxxoinxftd09k5lth3p, bgzc9ozb1qel3aw808tip6bu2, emglo360rdevds650u33d2odl, 4ixfdbtira0k9hyhaj4fov651",3706372641,130,8,3706372649,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706372647,197,9221,3706372645,194,9edzwm5tgsaud77tbc16our4l,3706372643,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446116399,1,34,16,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2022-08-14T13:05:01.708Z,2022-08-14T14:08:17Z,3706382261,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706382253,30,"btdn91fhcdkiq2u93gqw32n6d, a5fpw5f7bvu01i8drfir8ugut, 319dgvwkm8di2r8oovefbxck5, 2cic9rl1m8i7ut6ed7p0h1905, 9o2dyl3cbm2ni3874doydh49h, 6n8gmwjc9frk90mzpnf9xlkyy, 7v2udgcj3xk2douxfmge6lp7t, 1cfh2cg8i2f4cqd7fraos96fp, 7yq6f41dcfzqz40hblj3j9905, 74w7u994c832ya17u9g7nkh04, en7kanawhbmhl0736htwdnt9l, 629dgygro5n41ce8ulov5wwl, 7qd78ivuyspmb0fno5vdetat, 4sskvw16m8gh8al8vy0ephuc5, cqbhq4xh00uqxhenp0nc24xjp, day3njm5hkudffvdvccpopbyt, aqgrddi0lgqphjeksr0rkd0ph, eqx6gmp1f5ocxeosc97rcqqui, 1q4eo8ovtzffi9nz1kms98161, 86vsscrn4hhdlwlot6sj8pqfo",3706382267,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706382265,197,1975,3706382263,194,9o2dyl3cbm2ni3874doydh49h,3706382257,59,"1, 2, 16, 4, 12, 6, 23, 18, 32, 28, 15, 3, 7, 9, 10, 13, 14, 17, 22, 25",3706382259,130,4,3706382255,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446156469,2,32,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2022-08-14T13:59:53.422Z,2022-08-14T14:03:47Z,3706581821,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446156471,2,32,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2022-08-14T13:59:53.422Z,2022-08-14T19:52:02Z,3706581823,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446156481,3,1,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,50,50,2022-08-14T13:59:54.059Z,2022-08-14T20:08:05Z,3706581893,212,19.1,3706581895,213,3.2,3706581887,56,Back,3706581889,140,31.8,3706581897,279,S,3706581891,141,49.0,3707997903,178,,,,,en7kanawhbmhl0736htwdnt9l,G. Middleton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446156489,4,1,1,0,4,4qdzzur2cuuridyb0jso8mksi,0,32.6,55.8,2022-08-14T13:59:57.907Z,2022-08-14T20:08:10Z,3706581953,212,65.6,3706581949,140,94.6,3706581947,56,Center,3706581957,1,,3706581955,213,0.1,3707998203,178,,3706581951,141,68.1,3706582147,157,,2cic9rl1m8i7ut6ed7p0h1905,C. Mulgrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446156499,3,52,1,0,8,1hcbcuu846pa3iw6qskiws1cu,1,5.1,31.3,2022-08-14T14:00:02.115Z,2022-08-14T20:08:13Z,3707998425,178,,3707209695,377,,,,,,,,,,,,,,,,,,,,9edzwm5tgsaud77tbc16our4l,C. Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446156529,4,1,1,0,10,1hcbcuu846pa3iw6qskiws1cu,1,5.9,41.5,2022-08-14T14:00:03.614Z,2022-08-14T20:08:18Z,3706582131,123,,3707210475,287,,3706582143,1,,3706582133,56,Back,3706582141,213,1.1,3707998753,178,,3706582137,141,94.1,3706582139,212,39.8,9edzwm5tgsaud77tbc16our4l,C. Gordon,3706582135,140,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446156535,5,1,1,0,15,1hcbcuu846pa3iw6qskiws1cu,1,22.5,94.1,2022-08-14T14:00:08.485Z,2022-08-14T20:08:24Z,3706582171,140,14.5,3706582179,212,14.8,3706582175,141,76.1,3706582183,213,4.1,3707999405,178,,3706582167,56,Back,,,,,,,9fk3a8f7bhmecbubtfuqs9jvt,A. Cochrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446156543,6,1,1,0,17,1hcbcuu846pa3iw6qskiws1cu,1,14.5,76.1,2022-08-14T14:00:10.548Z,2022-08-14T20:08:34Z,3706582219,212,20.9,3706582217,141,45.4,3706582215,140,13.8,3708000243,178,,3706582213,56,Back,3706582221,213,4.7,,,,,,,699t2ytlqawiya0n1ytwk0f6x,K. Rowles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
