id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/10/value,qualifier/11/value,keyPass,qualifier/14/value,assist
2495523871,1,34,16,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2023-01-07T14:11:38.193Z,2023-01-07T14:36:46Z,3968163407,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3968163399,30,"b3rry494s23b8elnqn3b5s5x, 3jyid2g273zr668fxeeplegnp, 8fsd4fp4wx5o8oqmwdf9ppl91, ewlrnu90xe2127a1erxlz29qt, dgrjf6wf81uuk32qxqunfoded, elt8lu5do3h4jcl9ujgaqlm1h, 6lwrvaxo8k9t72aibrsf6cdex, 9d2p89e7bftxqhk80hy9ldeqd, 29zpgzbse1373d9bhj3l2ee39, 4g4zufvyime7qp4ks4badls0k, 3g3cjokfq1lnmycnv4t2gjaol, tj1jt0o03ionrc0h7279x2zu, 53zbvc98xhv7gqweozv6hyhhw, 9stfaq0p7jw8269ms8ijc4a8l, 2r9hayi0ybenx2bj3hrhzbb9x, ctqn305re0qsih8mh5nufg89h, buzr2irzyzx8zdt1rasijxrtg, eosd8dmfqtaol3dnkypyswn3d, dtxvjsp1yrr3njbg7b3l5fo4p, 6nm4j9c81rfkxyl9vfxvbscno",3968163405,130,10,3968163413,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3968163401,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3968163409,194,dgrjf6wf81uuk32qxqunfoded,3968163411,197,2005,3968163403,59,"1, 23, 3, 18, 4, 22, 17, 13, 10, 21, 6, 5, 34, 8, 9, 11, 15, 20, 27, 30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495525365,1,34,16,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2023-01-07T14:15:08.424Z,2023-01-07T14:15:08Z,3968171497,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3968171489,30,"2dnrfdd702umzunv6rukg0jx1, ey5m0gz111sobrykgcrpt45at, ucsmsk8k5wn69tdpz70ytyad, 9fk3a8f7bhmecbubtfuqs9jvt, 699t2ytlqawiya0n1ytwk0f6x, emglo360rdevds650u33d2odl, 894vnlr3zfyyadmhx9n3y6fl6, 5jnu1yubvgdh6k9v9x277kjx1, 53ipmesg7cuaty2uzqm1a2xn9, 4ixfdbtira0k9hyhaj4fov651, en7rrg1epwhzy47dd1zcp9wb9, 6a7br2t45mam4765clafr0lp1, dldx0lpfwxc7eb0bc092m48a1, 9voc3iwmlxkuuln6h03j0fqzu, 7kyujdy1mcqzlevv3f0l0oul1, bgzc9ozb1qel3aw808tip6bu2, bodxakk6i1a3zl5c0tsxw7mcp, a4sdovrrwe7o6j29uisbqrzhm, 578r1t1b7ork624lq5q4k55ux",3968171495,130,17,3968171493,59,"28, 2, 17, 19, 15, 21, 14, 77, 9, 30, 18, 7, 8, 12, 13, 20, 22, 27, 29",3968171501,197,9221,3968171491,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3968171499,194,53ipmesg7cuaty2uzqm1a2xn9,3968171503,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495543695,2,32,1,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2023-01-07T15:03:02.455Z,2023-01-07T21:36:49Z,3968268919,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495543715,2,32,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2023-01-07T15:03:02.455Z,2023-01-07T15:03:04Z,3968268999,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495543733,3,1,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,49.6,50.7,2023-01-07T15:03:02.465Z,2023-01-08T05:17:37Z,3968269107,279,S,3968269105,213,3.8,3968269097,56,Back,3969821355,178,,3968269101,141,37.3,3968269099,140,38.6,3968269103,212,14.7,,,,4ixfdbtira0k9hyhaj4fov651,J. Ginnelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495543775,4,1,1,0,1,1hcbcuu846pa3iw6qskiws1cu,1,44.8,50.1,2023-01-07T15:03:03.837Z,2023-01-08T05:17:41Z,3968269317,140,35.8,3968269315,56,Back,3968269321,212,26.9,3968269319,141,87.1,3969821407,178,,3968269323,213,1.9,,,,,,,894vnlr3zfyyadmhx9n3y6fl6,C. Devlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495543841,5,1,1,0,3,1hcbcuu846pa3iw6qskiws1cu,1,35.8,87.1,2023-01-07T15:03:06.078Z,2023-01-08T05:17:44Z,3968269661,213,4.5,3968269651,56,Back,3969821425,178,,3968269653,140,32.7,3968269655,141,69.1,3968269657,212,12.7,,,,,,,9fk3a8f7bhmecbubtfuqs9jvt,A. Cochrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495543953,6,1,1,0,7,1hcbcuu846pa3iw6qskiws1cu,1,39.7,68.2,2023-01-07T15:03:09.859Z,2023-01-08T05:17:46Z,3968270305,213,1.4,3969821441,178,,3968270299,140,42.3,3968270297,56,Back,3968270301,141,90.6,3968270303,212,15.5,,,,,,,5jnu1yubvgdh6k9v9x277kjx1,R. Snodgrass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495544029,7,1,1,0,12,1hcbcuu846pa3iw6qskiws1cu,1,43.6,93.6,2023-01-07T15:03:14.460Z,2023-01-08T05:17:49Z,3968270693,140,23.9,3968270691,56,Back,3968270705,213,3.5,3969821483,178,,3968270697,141,82.4,3968270701,212,22.0,,,,,,,9fk3a8f7bhmecbubtfuqs9jvt,A. Cochrane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495544089,8,1,1,0,15,1hcbcuu846pa3iw6qskiws1cu,1,23.9,79.4,2023-01-07T15:03:17.844Z,2023-01-08T05:17:51Z,3968270973,140,25.3,3968270971,56,Back,3968270979,213,4.8,3969821499,178,,3968270977,212,31.0,3968270975,141,33.9,,,,,,,699t2ytlqawiya0n1ytwk0f6x,K. Rowles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
