id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/18/value
2483324687,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-11-08T18:55:49.252Z,2022-11-08T18:55:49Z,3903866649,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, db1hineo65ck1zyg8kjtl5iad, cwdqe0rv5dcshhfhke86j9z2t, 9ykuo0c905u48vd44wxgb6jth, dm0ktjgadvf89t9zsqybufnxl, 8gh8ocvon1ht6yxxdxaisfa39, ddnwckj55fg870otjg9w9xyad, b0fuw7r17cq41awaoydw9bjl5, 960mhrs3usnisl5jv0xzok3x1, 48hhfwdy6qw1cjd1el8n9t591, 7hzc2m8h1ufacyazzxp1ove1h, e3wuwgyb0acsca2fw0l7fq7rp, 9mgoxb4nlse8gjbmcs0nh0dex, 1mbcl4xzln2fyj0o3aapdhdrd, 91z7xt6xuwgzt0jyg5owh6yfp, 1swg0twoet2to70z38wo78b1l, 6xxz0du2vvp6farrdvs02e8k5, 73grc910ff9auyze63pgtoet",3903866657,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3903866653,59,"1, 2, 11, 18, 6, 5, 7, 24, 9, 8, 19, 3, 10, 15, 17, 22, 29, 31, 33",3903866661,197,1999,3903866659,194,z1apq9hkjp8l8jhpegacpwid,3903866655,130,8,3903866663,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3903866651,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483327487,1,34,16,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-11-08T19:00:55.674Z,2022-11-08T19:56:08Z,3903878747,197,7011,3903878737,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3903878743,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3903878749,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3903878745,194,53y4n4h9zi3d1l1f9jb9ytxhx,3903878739,59,"24, 25, 3, 4, 5, 2, 8, 20, 11, 9, 16, 47, 36, 1, 7, 10, 15, 22, 33, 99",3903878735,30,"26hokry025pgjx5bn7ljlkatx, 16x7shxmsfll6pytg8b8v0dbe, 4e49434kkv98sjq1byj8rnkh6, 8byxqwq7ktyxn5rfbj4p0m0o9, 53y4n4h9zi3d1l1f9jb9ytxhx, 6o62deaqwdcrllc91hz09cct1, cxykkqaoe67ndqpwoq1t15ca2, 6ne71gfjoez9m0tk8qozd8e3u, bkehljspqbj6tz0peqjivkvai, 8cpd4je0ku8wjumqeh3ruv10p, c4kxfrbrfedilykhbyak3e579, 24m5n6juwg7cyd2h54efevl04, cgcc0n4i0k8jc9tk8vwzgltsk, 6xvw6n5wq8bcgg01i87rbfsgl, 1naidcngjv592t1hgd78yy8oa, 5frjqqf0jvbqw8ag00pktw8yy, 7ie1bwuj4e18xy9bl6mszwt1, su2h9bv6nhltjjkbz5s7lrdh, el8iinhsb8c12kgvng4idutat, dnv51o5kbp3627cjdl5yxks7p",3903878741,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348797,2,32,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,0,0,2022-11-08T19:46:07.985Z,2022-11-08T19:46:08Z,3903973895,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348803,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-11-08T19:46:07.985Z,2022-11-09T00:04:18Z,3903973917,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348833,3,1,1,0,0,841zp0njrq63yv4fvw6lgf60q,1,50,50,2022-11-08T19:46:08.035Z,2022-11-09T05:37:47Z,3903974053,279,S,3903974049,212,17.6,3903974045,140,34.4,3904776617,178,,3903974043,56,Back,3903974051,213,3.5,3903974047,141,40.7,,,,8cpd4je0ku8wjumqeh3ruv10p,B. Miovski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348871,4,1,1,0,2,841zp0njrq63yv4fvw6lgf60q,1,32.9,47.3,2022-11-08T19:46:09.996Z,2022-11-09T05:37:52Z,3903974269,212,17.0,3903974265,140,29.7,3904776673,178,,3903974271,213,1.8,3903974267,141,71.8,3903974263,56,Back,,,,,,,cxykkqaoe67ndqpwoq1t15ca2,C. Barron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348941,5,1,1,0,4,841zp0njrq63yv4fvw6lgf60q,1,25.4,65.8,2022-11-08T19:46:12.455Z,2022-11-09T05:37:56Z,3903974607,141,48.2,3903974611,213,4.5,3903974603,56,Back,3903974609,212,12.3,3903974605,140,22.7,3904776731,178,,,,,,,,8byxqwq7ktyxn5rfbj4p0m0o9,L. Scales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348973,6,1,1,0,8,841zp0njrq63yv4fvw6lgf60q,0,29.4,37,2022-11-08T19:46:16.110Z,2022-11-09T05:38:00Z,3903974761,155,,3903974773,1,,3903974765,140,73.1,3903974769,212,48.8,3904776777,178,,3903974763,56,Right,3903974771,213,5.9,3903974767,141,12.6,53y4n4h9zi3d1l1f9jb9ytxhx,A. Stewart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348981,3,12,1,0,11,besu5lkqmra07drq1czpr0tk4,1,24,92.6,2022-11-08T19:46:19.151Z,2022-11-09T05:38:04Z,3903974817,213,2.3,3903974813,141,100.0,3903974861,15,,3903974809,56,Back,3903974815,212,7.8,3903974811,140,19.2,3903974891,167,,3904776815,388,,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483348993,4,5,1,0,12,besu5lkqmra07drq1czpr0tk4,0,20.6,101.2,2022-11-08T19:46:20.237Z,2022-11-09T05:38:09Z,3903974865,56,Back,3903975317,233,7,3903974867,347,,,,,,,,,,,,,,,,,db1hineo65ck1zyg8kjtl5iad,C. Montaño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
