id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2465401069,1,34,16,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2022-10-01T10:41:32.769Z,2022-10-01T11:33:26Z,3808882613,194,ey5m0gz111sobrykgcrpt45at,3808882617,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3808882615,197,9221,3808882609,130,6,3808882603,30,"9edzwm5tgsaud77tbc16our4l, ey5m0gz111sobrykgcrpt45at, 9fk3a8f7bhmecbubtfuqs9jvt, dldx0lpfwxc7eb0bc092m48a1, bgzc9ozb1qel3aw808tip6bu2, a6gle2qqy7154nh3pqso7upqt, 578r1t1b7ork624lq5q4k55ux, 894vnlr3zfyyadmhx9n3y6fl6, 53ipmesg7cuaty2uzqm1a2xn9, en7rrg1epwhzy47dd1zcp9wb9, ucsmsk8k5wn69tdpz70ytyad, 5jnu1yubvgdh6k9v9x277kjx1, awaksdyk1jcvvmlq85x7gcout, 6a7br2t45mam4765clafr0lp1, m3s6nw66qyk5wt6tflfpkd79, 9voc3iwmlxkuuln6h03j0fqzu, 7kyujdy1mcqzlevv3f0l0oul1, bbgkxdtxxoinxftd09k5lth3p, emglo360rdevds650u33d2odl, 4ixfdbtira0k9hyhaj4fov651",3808882607,59,"1, 2, 19, 8, 20, 3, 29, 14, 9, 18, 17, 77, 5, 7, 11, 12, 13, 16, 21, 30",3808882611,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3808882605,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465401293,1,34,16,0,0,cnnku8uihko7u4th0fms4pvg6,1,0,0,2022-10-01T10:42:07.849Z,2022-10-01T10:42:08Z,3808883835,30,"54u4k9lzcugph99091xt282j9, 4kpf2eyjqmax3f676dmhh9e51, ehj0z1y90uxmn8gdvaoldk1cl, 90qai3k7otbuwrry224ki1f4l, dy1z4i2jsbeswei0ha2n39c5x, 8iwme9n9fhlu50yqm3pvtrd91, 7d5vo5ppoev5q1uf39x0afkrt, 8vom1gwu040ty00c6ps3r2sph, 12vo1l1xngzwi7kndbnyzfbv9, 4f2bppk56sa7dqgw652x0fzdh, 95pgrmkq8cn94eo5y26hp4s7p, 1o7uvhqqueh716napx4qpq99m, 2hspu41ocnru322bdzom7rp, 7ush9a10cc79gudlog12crt9l, 4lb16ginbppvud84mgwirvfth, 9weodc9tdqcm2dg6cg6wyx785, 5p8y1fedi7alsnrdwg7lmw99l, 60ahvhvx30iw7abq1hxrzd0wl, alzo6b4olqf8djtphk32e0f3e, 25vb30mtetefhp3ix26nlhx0q",3808883845,194,4kpf2eyjqmax3f676dmhh9e51,3808883849,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3808883837,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3808883841,130,8,3808883839,59,"1, 2, 31, 4, 6, 26, 17, 8, 9, 37, 14, 3, 10, 19, 20, 23, 30, 33, 38, 71",3808883843,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3808883847,197,11946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465422807,2,32,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2022-10-01T11:30:33.477Z,2022-10-01T17:26:59Z,3808993325,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465422801,2,32,1,0,0,cnnku8uihko7u4th0fms4pvg6,1,0,0,2022-10-01T11:30:33.477Z,2022-10-01T11:30:33Z,3808993299,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465422821,3,1,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,49.4,49.7,2022-10-01T11:30:33.501Z,2022-10-01T18:36:25Z,3808993395,212,15.3,3811416603,178,,3808993397,213,3.1,3808993393,141,51.5,3808993391,140,34.9,3808993399,279,S,3808993389,56,Back,,,,53ipmesg7cuaty2uzqm1a2xn9,L. Shankland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465422889,4,1,1,0,2,1hcbcuu846pa3iw6qskiws1cu,0,33.3,50.9,2022-10-01T11:30:36.167Z,2022-10-01T17:44:14Z,3808993761,141,17.6,3808993755,155,,3811417439,178,,3808993767,1,,3808993763,212,41.8,3808993757,56,Right,3808993765,213,5.7,3808993759,140,66.8,a6gle2qqy7154nh3pqso7upqt,S. Kingsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465422933,3,44,1,0,5,cnnku8uihko7u4th0fms4pvg6,1,30.3,87.4,2022-10-01T11:30:39.028Z,2022-10-02T02:39:47Z,3808993893,285,,3808993907,233,5,3808993891,56,Back,,,,,,,,,,,,,,,,8iwme9n9fhlu50yqm3pvtrd91,B. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465422909,5,44,1,0,5,1hcbcuu846pa3iw6qskiws1cu,0,69.7,12.6,2022-10-01T11:30:39.029Z,2022-10-01T17:44:25Z,3808993919,233,3,3808993815,56,Right,3808993817,286,,,,,,,,,,,,,,,,,dldx0lpfwxc7eb0bc092m48a1,O. Kiomourtzoglou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465422945,4,1,1,0,5,cnnku8uihko7u4th0fms4pvg6,0,27.2,91.7,2022-10-01T11:30:39.064Z,2022-10-02T02:39:47Z,3808993961,140,19.8,3808993967,213,2.4,3808993963,141,100.0,3811419509,388,,3808993957,3,,3808993959,56,Back,3808993965,212,10.2,,,,8iwme9n9fhlu50yqm3pvtrd91,B. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465422949,5,5,1,0,8,cnnku8uihko7u4th0fms4pvg6,0,21.4,101.2,2022-10-01T11:30:41.519Z,2022-10-01T17:44:43Z,3808993977,56,Back,3808993979,347,,3808994289,233,6,,,,,,,,,,,,,,,,8iwme9n9fhlu50yqm3pvtrd91,B. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
