id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2501302767,1,34,16,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2023-01-28T14:08:44.064Z,2023-01-28T15:01:27Z,3998508519,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998508513,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998508517,197,1979,3998508505,30,"1fkrvnzbrb9s0qojjhc8edpm1, 9coe01drgpmlz3ee9qfond815, 2kxzjuns50x1fb85ndoad0set, ek2ub5dvlisn73a45n3gwj2s5, 2c89yb9spduwcxl7lrhckru1h, 4rsnyz3019rgfjdil1zs024t1, 6ta1shg2pfj5cchdod1xdtvbp, 2spu2yn887lywqw2vrg3evhlh, dzs6o86mv89839vlz2qswhuj9, 9hnkwvq81pd0bkovc17lqhf4l, 8q0nnrx7ru205zepoqv7lm579, dggymph6p6xe8s3h2hae5p5g5, br8drjrzg7caqavtr5l7twpka, atf7aycphllb4i8h9jnld4bmd, 91m838lynz6db94q8ufcqk91x, 3svpmpx5tb4ekuewkh79l2up5, 5h9myriisqh4v99oka6gwey8l, 2ytdtlvxm0ba22gsmk6vu4vhm, 71xg650qcs8yibhrumgvdejth, bl8p4bg9mwh2ugsxgg4x0pzo5",3998508509,59,"1, 2, 18, 31, 5, 19, 10, 4, 23, 16, 7, 8, 14, 17, 20, 21, 22, 25, 26, 28",3998508507,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3998508515,194,2spu2yn887lywqw2vrg3evhlh,3998508511,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501306577,1,34,16,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2023-01-28T14:12:50.369Z,2023-01-28T15:11:37Z,3998529123,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3998529127,130,18,3998529133,197,1991,3998529129,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3998529121,30,"4lp29rlldfr9f8jx6e6qqfgt1, dl2j6mynj9b09ehi3ebi2fc2d, 1hoyso1oinr2bza4lxgkzdiax, 3ka60g1o4fct4t2dc7394sr8p, 43mi8uliaor1b9mejf33if1sl, cgonvdrm0gwjzrsz5fho4cwr9, 1q9c3t3umg0yh0qop886eghxx, cxxhe0dwp3wi35c28spse4l7u, djjolbwunzmlob0chwp8x21g5, 2r9hayi0ybenx2bj3hrhzbb9x, 6aonl21cpvfg8ma7i00q9ho0l, 1wk872a75kcbsb3wsvu10iz2s, bxgp3jpqcyk794ty0zk0o9jv9, djn7515ev4uzfcvizndtrvzkl, 9ciad1fw48orv5aph9o83f6ne, 3jxifism5urj3049zcojb8us5, 1xcvcrq88be0efbkwgi7pirjd, a0d1koufzrtx0jcsw09ibtbyt, alzbf0uxns1669kbn41xmxiad, atzpueujhh1u79b8ijhufob9w",3998529131,194,cgonvdrm0gwjzrsz5fho4cwr9,3998529125,59,"1, 2, 16, 6, 5, 15, 8, 42, 10, 27, 26, 49, 4, 11, 14, 19, 21, 22, 25, 30",3998529135,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501350965,2,32,1,0,0,87coxipr6ls77tnlba3eselx0,1,0,0,2023-01-28T15:01:13.922Z,2023-01-29T04:24:34Z,3998756113,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501350975,2,32,1,0,0,enzoyc121va61wtmjf4cm7p3d,1,0,0,2023-01-28T15:01:13.922Z,2023-01-28T15:01:15Z,3998756141,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351005,3,1,1,0,0,87coxipr6ls77tnlba3eselx0,1,49.9,50,2023-01-28T15:01:13.977Z,2023-01-29T04:46:03Z,3998756299,56,Back,3998756305,141,61.4,3998756309,213,2.7,4001315545,178,,3998756303,140,35.8,3998756307,212,16.7,3998756311,279,S,,,,djjolbwunzmlob0chwp8x21g5,Y. Dhanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351101,4,1,1,0,2,87coxipr6ls77tnlba3eselx0,1,32.2,60.8,2023-01-28T15:01:16.262Z,2023-01-29T04:46:10Z,4001315769,178,,3998756861,56,Right,3998756871,1,,3998756865,141,12.0,3998756863,140,64.0,3998756859,155,,3998756867,212,47.1,3998756869,213,5.5,1q9c3t3umg0yh0qop886eghxx,R. Callachan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351133,5,1,1,0,5,87coxipr6ls77tnlba3eselx0,1,65.3,12.9,2023-01-28T15:01:19.189Z,2023-01-29T04:46:19Z,3998757005,141,8.9,3998757001,56,Right,3998757007,212,4.9,3998757003,140,61.4,4001316007,388,,3998757009,213,3.7,4001316009,21,,,,,6aonl21cpvfg8ma7i00q9ho0l,J. White,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351143,6,1,1,0,6,87coxipr6ls77tnlba3eselx0,0,61.2,7.1,2023-01-28T15:01:20.905Z,2023-01-29T04:46:24Z,4001316153,178,,3998757055,140,69.5,3998757061,213,6.3,3998757057,141,6.8,3998757053,56,Right,3998757059,212,8.7,,,,,,,dl2j6mynj9b09ehi3ebi2fc2d,C. Randall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351137,3,8,1,0,7,enzoyc121va61wtmjf4cm7p3d,1,31.6,89.7,2023-01-28T15:01:21.189Z,2023-01-29T04:46:28Z,4001316233,178,,3998757025,56,Back,4000850645,385,,,,,,,,,,,,,,,,,2kxzjuns50x1fb85ndoad0set,C. Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501351165,4,5,1,0,8,enzoyc121va61wtmjf4cm7p3d,0,30.7,101.6,2023-01-28T15:01:21.929Z,2023-01-29T04:46:29Z,3998758387,233,7,3998757165,347,,3998757163,56,Back,,,,,,,,,,,,,,,,2kxzjuns50x1fb85ndoad0set,C. Waters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
