id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/14/value,qualifier/16/value,assist
2530200991,1,34,16,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2023-04-08T13:06:28.296Z,2023-04-08T14:03:38Z,4172058493,197,9221,4172058485,59,"13, 2, 3, 16, 72, 15, 17, 14, 9, 77, 7, 5, 8, 18, 19, 21, 29, 61, 88, 23",4172058487,130,8,4172058495,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172058483,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172058491,194,53ipmesg7cuaty2uzqm1a2xn9,4172058481,30,"7kyujdy1mcqzlevv3f0l0oul1, ey5m0gz111sobrykgcrpt45at, a6gle2qqy7154nh3pqso7upqt, bbgkxdtxxoinxftd09k5lth3p, 9ea8t509bssf2bhp1n5xxvrl6, 699t2ytlqawiya0n1ytwk0f6x, ucsmsk8k5wn69tdpz70ytyad, 894vnlr3zfyyadmhx9n3y6fl6, 53ipmesg7cuaty2uzqm1a2xn9, 5jnu1yubvgdh6k9v9x277kjx1, 6a7br2t45mam4765clafr0lp1, awaksdyk1jcvvmlq85x7gcout, dldx0lpfwxc7eb0bc092m48a1, en7rrg1epwhzy47dd1zcp9wb9, 9fk3a8f7bhmecbubtfuqs9jvt, emglo360rdevds650u33d2odl, 578r1t1b7ork624lq5q4k55ux, 1v62lh9e2cpqsaww3ggw5togk, 111qxn4nmcj81nfg5grdp165m, 4i0s0hqo4bscr63uojr4ffn8q",4172058489,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530202961,1,34,16,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2023-04-08T13:09:36.106Z,2023-04-08T13:58:07Z,4172069783,30,"b3rry494s23b8elnqn3b5s5x, 3jyid2g273zr668fxeeplegnp, 5d5ed49lj51ognhobfni5ngx6, ewlrnu90xe2127a1erxlz29qt, dgrjf6wf81uuk32qxqunfoded, elt8lu5do3h4jcl9ujgaqlm1h, 6lwrvaxo8k9t72aibrsf6cdex, 3g3cjokfq1lnmycnv4t2gjaol, 29zpgzbse1373d9bhj3l2ee39, 7yq6f41dcfzqz40hblj3j9905, 9d2p89e7bftxqhk80hy9ldeqd, 8fsd4fp4wx5o8oqmwdf9ppl91, tj1jt0o03ionrc0h7279x2zu, 9stfaq0p7jw8269ms8ijc4a8l, ctqn305re0qsih8mh5nufg89h, 2wjbivuxiej3wt69ntrpn7end, 4g4zufvyime7qp4ks4badls0k, ek22ylba15mmsqdzeqlhm0bv8, dtxvjsp1yrr3njbg7b3l5fo4p, 9n6jx9s4eip7mgken67i9oyc5",4172069795,197,2005,4172069797,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172069787,59,"1, 23, 16, 18, 4, 22, 17, 6, 10, 9, 13, 3, 5, 8, 11, 15, 21, 25, 27, 31",4172069785,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172069793,194,dgrjf6wf81uuk32qxqunfoded,4172069789,130,12,4172069791,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241925,2,32,1,0,0,muo4d1nfi1vgyvz5n07tjmoo,1,0,0,2023-04-08T14:02:28.056Z,2023-04-08T14:02:28Z,4172263053,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241937,2,32,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2023-04-08T14:02:28.056Z,2023-04-08T17:05:46Z,4172263077,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530241969,3,1,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,49.4,49.5,2023-04-08T14:02:28.156Z,2023-04-08T14:06:22Z,4172263209,279,S,4172263203,212,9.7,4172263199,141,54.2,4172263193,56,Back,4172263195,140,40.7,4172263207,213,2.8,,,,,,,894vnlr3zfyyadmhx9n3y6fl6,C. Devlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530242099,4,1,1,0,4,1hcbcuu846pa3iw6qskiws1cu,0,34.8,54.9,2023-04-08T14:02:32.375Z,2023-04-08T14:02:35Z,4172263923,56,Center,4172263933,213,5.9,4172263927,140,78.4,4172263935,1,,4172263919,155,,4172263931,212,50.0,4172263929,141,25.3,,,,699t2ytlqawiya0n1ytwk0f6x,K. Rowles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530242155,3,1,1,0,7,muo4d1nfi1vgyvz5n07tjmoo,0,23.7,73.5,2023-04-08T14:02:35.197Z,2023-04-08T14:02:38Z,4172264221,3,,4172264231,213,5.8,4172264229,212,8.5,4172264225,140,30.8,4172264227,141,67.5,4172264223,56,Back,,,,,,,ewlrnu90xe2127a1erxlz29qt,C. Dunne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530242173,5,44,1,0,9,1hcbcuu846pa3iw6qskiws1cu,1,71.9,29.2,2023-04-08T14:02:37.723Z,2023-04-08T14:02:39Z,4172264305,56,Center,4172264343,233,4,4172264307,286,,,,,,,,,,,,,,,,,5jnu1yubvgdh6k9v9x277kjx1,R. Snodgrass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530242161,4,44,1,0,9,muo4d1nfi1vgyvz5n07tjmoo,0,28.1,70.8,2023-04-08T14:02:37.724Z,2023-04-08T14:02:39Z,4172264245,285,,4172264347,233,5,4172264243,56,Back,,,,,,,,,,,,,,,,9d2p89e7bftxqhk80hy9ldeqd,A. Gogić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530242235,6,1,1,0,10,1hcbcuu846pa3iw6qskiws1cu,0,74.6,25.8,2023-04-08T14:02:38.081Z,2023-04-08T14:04:04Z,4172264645,213,5.6,4172264633,56,Right,4172264637,141,0.0,4172264635,140,96.9,4172264631,3,,4172264641,212,29.7,,,,,,,5jnu1yubvgdh6k9v9x277kjx1,R. Snodgrass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
