id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2484548139,1,34,16,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2022-11-12T14:04:13.220Z,2022-11-12T16:10:40Z,3910186871,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3910186869,30,"9edzwm5tgsaud77tbc16our4l, ey5m0gz111sobrykgcrpt45at, 9fk3a8f7bhmecbubtfuqs9jvt, dldx0lpfwxc7eb0bc092m48a1, emglo360rdevds650u33d2odl, 699t2ytlqawiya0n1ytwk0f6x, 4ixfdbtira0k9hyhaj4fov651, 894vnlr3zfyyadmhx9n3y6fl6, 53ipmesg7cuaty2uzqm1a2xn9, 5jnu1yubvgdh6k9v9x277kjx1, en7rrg1epwhzy47dd1zcp9wb9, 5t8x37anxancpz8fqxxauioyd, 9voc3iwmlxkuuln6h03j0fqzu, 7kyujdy1mcqzlevv3f0l0oul1, ucsmsk8k5wn69tdpz70ytyad, bgzc9ozb1qel3aw808tip6bu2, bodxakk6i1a3zl5c0tsxw7mcp, a4sdovrrwe7o6j29uisbqrzhm, smqgq7vrbjhdxxapm7jgdhjo, 3qubvfkqat6f5eqqfbj97hslw",3910186879,194,9edzwm5tgsaud77tbc16our4l,3910186883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910186881,197,9221,3910186877,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3910186873,59,"1, 2, 19, 8, 21, 15, 30, 14, 9, 77, 18, 4, 12, 13, 17, 20, 22, 27, 39, 51",3910186875,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484551621,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-11-12T14:07:47.013Z,2022-11-12T16:10:41Z,3910204827,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3910204823,130,8,3910204837,197,1999,3910204831,194,z1apq9hkjp8l8jhpegacpwid,3910204821,59,"31, 2, 11, 18, 6, 5, 33, 24, 19, 22, 17, 3, 7, 8, 9, 10, 15, 29, 32",3910204817,30,"6xxz0du2vvp6farrdvs02e8k5, z1apq9hkjp8l8jhpegacpwid, db1hineo65ck1zyg8kjtl5iad, cwdqe0rv5dcshhfhke86j9z2t, 9ykuo0c905u48vd44wxgb6jth, dm0ktjgadvf89t9zsqybufnxl, 73grc910ff9auyze63pgtoet, ddnwckj55fg870otjg9w9xyad, 48hhfwdy6qw1cjd1el8n9t591, 91z7xt6xuwgzt0jyg5owh6yfp, 1mbcl4xzln2fyj0o3aapdhdrd, 7hzc2m8h1ufacyazzxp1ove1h, 8gh8ocvon1ht6yxxdxaisfa39, 960mhrs3usnisl5jv0xzok3x1, b0fuw7r17cq41awaoydw9bjl5, e3wuwgyb0acsca2fw0l7fq7rp, 9mgoxb4nlse8gjbmcs0nh0dex, 1swg0twoet2to70z38wo78b1l, ejo44v1xeqrf9wsc1q3td4ul1",3910204819,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3910204841,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484601501,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-11-12T15:03:47.505Z,2022-11-12T15:03:50Z,3910461725,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484601481,2,32,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2022-11-12T15:03:47.505Z,2022-11-12T19:08:47Z,3910461631,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484601585,3,1,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,49.8,50.3,2022-11-12T15:03:47.512Z,2022-11-12T19:18:32Z,3910462163,212,14.2,3910462167,279,S,3910462161,141,35.8,3912226333,178,,3910462157,56,Back,3910462165,213,3.9,3910462159,140,40.1,,,,53ipmesg7cuaty2uzqm1a2xn9,L. Shankland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484601649,4,1,1,0,2,1hcbcuu846pa3iw6qskiws1cu,1,40.2,40.7,2022-11-12T15:03:49.860Z,2022-11-12T19:18:38Z,3910462553,56,Back,3910462557,141,70.5,3910462559,212,23.1,3910462555,140,29.7,3910462561,213,2.1,3912228787,178,,,,,,,,894vnlr3zfyyadmhx9n3y6fl6,C. Devlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484601759,5,1,1,0,3,1hcbcuu846pa3iw6qskiws1cu,1,29.2,73.2,2022-11-12T15:03:51.491Z,2022-11-12T19:18:50Z,3910463123,56,Back,3910463127,141,40.1,3910463129,212,23.1,3910463131,213,4.5,3910463125,140,24.2,3912229777,178,,,,,,,,699t2ytlqawiya0n1ytwk0f6x,K. Rowles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484601837,6,1,1,0,6,1hcbcuu846pa3iw6qskiws1cu,1,23.1,36.3,2022-11-12T15:03:54.460Z,2022-11-12T19:18:57Z,3910463621,56,Back,3910463631,212,11.9,3910463633,213,4.5,3912230261,178,,3910463627,141,19.2,3910463623,140,20.8,,,,,,,emglo360rdevds650u33d2odl,T. Sibbick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484601867,7,1,1,0,8,1hcbcuu846pa3iw6qskiws1cu,1,23.5,18.5,2022-11-12T15:03:56.365Z,2022-11-12T19:19:03Z,3910463775,56,Back,3912230735,178,,3910463777,140,29.3,3910463783,212,7.1,3910463779,141,23.9,3910463787,213,0.5,,,,,,,ey5m0gz111sobrykgcrpt45at,M. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484601917,8,1,1,0,9,1hcbcuu846pa3iw6qskiws1cu,0,27.6,19.1,2022-11-12T15:03:57.281Z,2022-11-12T19:19:08Z,3910464037,140,36.2,3910464045,213,5.3,3910464035,56,Back,3912231295,178,,3910464039,141,0.0,3910464041,212,17.0,,,,,,,dldx0lpfwxc7eb0bc092m48a1,O. Kiomourtzoglou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
