id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/11/value,keyPass,qualifier/12/value,qualifier/14/value,qualifier/16/value,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2509759667,1,34,16,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2023-02-19T11:03:50.964Z,2023-02-19T12:16:02Z,4043024923,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4043024921,30,"4gxuw581mvfnr6qr3aobbjyt, a7p8w57m9ehh3wryxgd1oldzo, e7dz8u1uz579dl68v1p40fq7e, e4qmdsl4c7q79p01pggtwfpw5, bk1tvg8t79kbsmnf2i39or6c5, blmo7wrka5yrcckuu9owlwx5h, kmyde3h3kx3tyx5b4m2oglt6, 5z0g3l4s56p11t3wgrpjhko9h, 6axbj3uylrbf0l29vj3vdmd3p, 3b3odntkdxlv2x7n9le3qbxlh, aiacgvdwjvt1te2ndnbk95lg5, 5j7ekg9k304y36twun3me2w2d, 4y27uf869xrujogawxtl9q0a1, cl8lua6yep85vpl25pdi0wfzd, eeh8lecxw27imfsy3954q04tm, 6yr5rwfdnz02psz22acr43z6d, czbwauhn3z2a0t8t6qreuq1yi, 878xi84rsiw5uj1doiy894lwp, 4vnpdi15nazck2sywdgkve2cq, 3sk52j2sm7jvmytofzefc5boq",4043024935,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043024929,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043024927,130,18,4043024925,59,"1, 22, 24, 52, 66, 16, 18, 27, 7, 99, 9, 2, 5, 8, 12, 13, 14, 15, 17, 26",4043024931,194,4gxuw581mvfnr6qr3aobbjyt,4043024933,197,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509760111,1,34,16,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2023-02-19T11:05:55.964Z,2023-02-19T12:42:22Z,4043028445,30,"2dnrfdd702umzunv6rukg0jx1, ey5m0gz111sobrykgcrpt45at, 9fk3a8f7bhmecbubtfuqs9jvt, a6gle2qqy7154nh3pqso7upqt, emglo360rdevds650u33d2odl, 9ea8t509bssf2bhp1n5xxvrl6, 894vnlr3zfyyadmhx9n3y6fl6, 5jnu1yubvgdh6k9v9x277kjx1, 53ipmesg7cuaty2uzqm1a2xn9, 578r1t1b7ork624lq5q4k55ux, en7rrg1epwhzy47dd1zcp9wb9, 111qxn4nmcj81nfg5grdp165m, 1v62lh9e2cpqsaww3ggw5togk, 6a7br2t45mam4765clafr0lp1, dldx0lpfwxc7eb0bc092m48a1, 9voc3iwmlxkuuln6h03j0fqzu, 7kyujdy1mcqzlevv3f0l0oul1, 699t2ytlqawiya0n1ytwk0f6x, bbgkxdtxxoinxftd09k5lth3p, ucsmsk8k5wn69tdpz70ytyad",4043028455,194,53ipmesg7cuaty2uzqm1a2xn9,4043028449,59,"28, 2, 19, 3, 21, 72, 14, 77, 9, 29, 18, 88, 61, 7, 8, 12, 13, 15, 16, 17",4043028457,197,9221,4043028459,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4043028447,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4043028451,130,17,4043028453,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781685,2,32,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2023-02-19T12:01:55.063Z,2023-02-19T12:01:55Z,4043145371,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781691,2,32,1,0,0,759fhii7hsnldanli06j5jmf6,1,0,0,2023-02-19T12:01:55.063Z,2023-02-20T03:46:23Z,4043145431,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781709,3,1,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,50.1,50.3,2023-02-19T12:01:55.154Z,2023-02-20T05:44:51Z,4045767467,178,,4043145507,212,7.6,4043145509,213,3.2,4043145501,56,Back,4043145511,279,S,4043145503,140,42.9,4043145505,141,50.1,,,,en7rrg1epwhzy47dd1zcp9wb9,B. McKay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781731,4,1,1,0,1,1hcbcuu846pa3iw6qskiws1cu,1,37.8,49.9,2023-02-19T12:01:56.994Z,2023-02-20T05:44:58Z,4043145619,213,4.3,4043145617,212,22.7,4043145613,140,28.9,4043145611,56,Back,4045767513,178,,4043145615,141,19.5,,,,,,,894vnlr3zfyyadmhx9n3y6fl6,C. Devlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781759,5,1,1,0,4,1hcbcuu846pa3iw6qskiws1cu,0,30.2,19.2,2023-02-19T12:01:59.279Z,2023-02-20T05:45:03Z,4043145773,1,,4043145761,155,,4043145763,56,Center,4043145771,213,0.1,4043145767,141,32.8,4043145769,212,63.5,4043145765,140,90.0,4045767549,178,,9ea8t509bssf2bhp1n5xxvrl6,J. Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781767,3,52,1,0,9,759fhii7hsnldanli06j5jmf6,1,10.3,68.4,2023-02-19T12:02:04.525Z,2023-02-20T05:45:06Z,4045767575,178,,4044657103,376,,,,,,,,,,,,,,,,,,,,4gxuw581mvfnr6qr3aobbjyt,L. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781799,4,80,1,0,16,759fhii7hsnldanli06j5jmf6,0,13.3,51.6,2023-02-19T12:02:11.122Z,2023-02-20T05:45:47Z,4045767989,178,,,,,,,,,,,,,,,,,,,,,,,4gxuw581mvfnr6qr3aobbjyt,L. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509781859,5,1,1,0,20,759fhii7hsnldanli06j5jmf6,0,14.6,42.7,2023-02-19T12:02:15.251Z,2023-02-20T05:45:52Z,4045768047,178,,4043146315,1,,4043146305,56,Right,4043146307,140,59.0,4043146309,141,19.4,4043146313,213,6.0,4043146303,155,,4043146311,212,49.2,4gxuw581mvfnr6qr3aobbjyt,L. Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
