id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2443317813,1,34,16,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2022-08-07T13:15:20.952Z,2022-08-07T14:10:08Z,3691445215,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3691445227,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3691445223,194,9o2dyl3cbm2ni3874doydh49h,3691445217,59,"1, 2, 3, 19, 12, 6, 15, 14, 9, 18, 32, 7, 10, 11, 13, 17, 22, 25, 28, 44",3691445219,130,8,3691445221,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3691445225,197,1975,3691445213,30,"btdn91fhcdkiq2u93gqw32n6d, a5fpw5f7bvu01i8drfir8ugut, 629dgygro5n41ce8ulov5wwl, 2t4k430xmiekwb5khdwtg14h5, 9o2dyl3cbm2ni3874doydh49h, 6n8gmwjc9frk90mzpnf9xlkyy, en7kanawhbmhl0736htwdnt9l, aqgrddi0lgqphjeksr0rkd0ph, 4sskvw16m8gh8al8vy0ephuc5, 1cfh2cg8i2f4cqd7fraos96fp, 7yq6f41dcfzqz40hblj3j9905, 7qd78ivuyspmb0fno5vdetat, cqbhq4xh00uqxhenp0nc24xjp, 66idxwhe01tb5c38fiy1lh0q, day3njm5hkudffvdvccpopbyt, eqx6gmp1f5ocxeosc97rcqqui, 1q4eo8ovtzffi9nz1kms98161, 86vsscrn4hhdlwlot6sj8pqfo, 74w7u994c832ya17u9g7nkh04, aapofyop1alkvydfgckce9vkk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443319899,1,34,16,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-08-07T13:17:18.906Z,2022-08-07T14:34:30Z,3691456673,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3691456685,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3691456681,194,z1apq9hkjp8l8jhpegacpwid,3691456679,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3691456677,130,4,3691456683,197,2000,3691456671,30,"cgu73urupkapqq9bnl17s8tt5, z1apq9hkjp8l8jhpegacpwid, db1hineo65ck1zyg8kjtl5iad, cwdqe0rv5dcshhfhke86j9z2t, dm0ktjgadvf89t9zsqybufnxl, 9ykuo0c905u48vd44wxgb6jth, 73grc910ff9auyze63pgtoet, ddnwckj55fg870otjg9w9xyad, 48hhfwdy6qw1cjd1el8n9t591, 91z7xt6xuwgzt0jyg5owh6yfp, 960mhrs3usnisl5jv0xzok3x1, 7hzc2m8h1ufacyazzxp1ove1h, 8gh8ocvon1ht6yxxdxaisfa39, b0fuw7r17cq41awaoydw9bjl5, e3wuwgyb0acsca2fw0l7fq7rp, f104wb7oezb00w1lmyebcow6h, 479uurcrsfgf497b1ir46is45, 30rdwhst7nkhr03fixpqyibit, 8d9kq8ab5olsc1w1swicqemay, 6xxz0du2vvp6farrdvs02e8k5",3691456675,59,"1, 2, 11, 18, 5, 6, 33, 24, 19, 22, 8, 3, 7, 9, 10, 12, 14, 20, 25, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443350373,2,32,1,0,0,besu5lkqmra07drq1czpr0tk4,1,0,0,2022-08-07T14:01:59.175Z,2022-08-07T14:01:59Z,3691618711,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443350379,2,32,1,0,0,4qdzzur2cuuridyb0jso8mksi,1,0,0,2022-08-07T14:01:59.175Z,2022-08-08T01:12:18Z,3691618737,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443350397,3,1,1,0,0,besu5lkqmra07drq1czpr0tk4,1,49.7,50.3,2022-08-07T14:01:59.266Z,2022-08-08T03:28:58Z,3691618835,212,22.7,3691618831,140,28.1,3691618833,141,49.3,3693740527,178,,3691618837,213,3.2,3691618829,56,Back,3691618839,279,S,,,,960mhrs3usnisl5jv0xzok3x1,S. Pittman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443350463,4,1,1,0,2,besu5lkqmra07drq1czpr0tk4,1,27.9,49.7,2022-08-07T14:02:01.659Z,2022-08-08T03:29:03Z,3691619149,213,3.2,3691619147,212,16.3,3693740563,178,,3691619143,140,12.5,3691619145,141,47.2,3691619141,56,Back,,,,,,,9ykuo0c905u48vd44wxgb6jth,A. Obileye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443350475,5,1,1,0,11,besu5lkqmra07drq1czpr0tk4,0,21.1,34.5,2022-08-07T14:02:10.253Z,2022-08-08T03:29:05Z,3691619215,141,34.9,3691619211,56,Center,3691619209,157,,3693740575,178,,3691619213,140,66.6,3691619217,212,47.8,3691619221,1,,3691619219,213,0.0,cgu73urupkapqq9bnl17s8tt5,S. George,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443350493,3,1,1,0,13,4qdzzur2cuuridyb0jso8mksi,0,29.3,54.2,2022-08-07T14:02:12.814Z,2022-08-08T03:29:10Z,3691619313,213,0.3,3691619305,56,Center,3691619303,3,,3691619309,141,67.5,3693740613,388,,3691619311,212,27.9,3691619307,140,54.4,,,,9o2dyl3cbm2ni3874doydh49h,R. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443350515,6,1,1,0,16,besu5lkqmra07drq1czpr0tk4,0,39.6,23.7,2022-08-07T14:02:15.710Z,2022-08-08T06:36:14Z,3691619431,212,30.7,3691619425,56,Center,3693849985,178,,3691619427,140,65.5,3691619429,141,44.8,3691619433,213,0.5,3691619423,3,,,,,dm0ktjgadvf89t9zsqybufnxl,J. Fitzwater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443350505,4,44,1,0,18,4qdzzur2cuuridyb0jso8mksi,1,33.4,55,2022-08-07T14:02:17.799Z,2022-08-08T08:00:52Z,3691619375,56,Back,3691619377,285,,3691619461,233,7,,,,,,,,,,,,,,,,9o2dyl3cbm2ni3874doydh49h,R. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
