id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2443190373,1,34,16,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2022-08-07T10:12:25.098Z,2022-08-07T11:05:39Z,3690790785,194,9edzwm5tgsaud77tbc16our4l,3690790783,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3690790779,59,"1, 2, 19, 7, 4, 15, 18, 5, 9, 10, 17, 11, 12, 13, 14, 16, 20, 21, 22, 30",3690790777,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3690790775,30,"9edzwm5tgsaud77tbc16our4l, ey5m0gz111sobrykgcrpt45at, 9fk3a8f7bhmecbubtfuqs9jvt, 6a7br2t45mam4765clafr0lp1, 5t8x37anxancpz8fqxxauioyd, 699t2ytlqawiya0n1ytwk0f6x, en7rrg1epwhzy47dd1zcp9wb9, awaksdyk1jcvvmlq85x7gcout, 53ipmesg7cuaty2uzqm1a2xn9, 5v4a80qx7x0s2d1dyl9n76y1h, ucsmsk8k5wn69tdpz70ytyad, m3s6nw66qyk5wt6tflfpkd79, 9voc3iwmlxkuuln6h03j0fqzu, 7kyujdy1mcqzlevv3f0l0oul1, 894vnlr3zfyyadmhx9n3y6fl6, bbgkxdtxxoinxftd09k5lth3p, bgzc9ozb1qel3aw808tip6bu2, emglo360rdevds650u33d2odl, bodxakk6i1a3zl5c0tsxw7mcp, 4ixfdbtira0k9hyhaj4fov651",3690790789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3690790787,197,9221,3690790781,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443192689,1,34,16,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2022-08-07T10:17:46.508Z,2022-08-07T10:27:27Z,3690801727,59,"1, 12, 3, 11, 33, 5, 20, 6, 23, 32, 18, 77, 2, 4, 8, 9, 17, 21, 37, 24",3690801729,130,8,3690801731,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3690801723,30,"bu7u0edo60hpre8wkhgw79gwl, cs5ejx87ge8am8ir8w0lj4wk5, 5f1erzxtvzncvf1wtqnv3fgmh, afowz5wysshf6f5mj5iz1t5h, cx021j1n37kzienjdgd9qndka, 87dk4hxfl302jn9iu3vr9pckp, 7io59zk29vhvyueadmkotzeqy, cxxhe0dwp3wi35c28spse4l7u, dnnv0ts8b4ov8id729wyoeuax, cugnsf9b6g823srxuux5jnofe, fx0i4f70a096eya9f6irwdt5, 4xbvoe0viskrxc7jiyd1iapcl, 2i835ww5po0e5y9txkdajsnsa, e98evrjmtbjwjrmvlhu1hn36d, 6qp481f9ke8vcrvu9gnsbq4lx, 71xg650qcs8yibhrumgvdejth, 1coz8r44qcr2aau1u09888i6s, cd8joybckap9rrjor75n64dt5, dn3d4l4uyymqlsynwf1lfnzf8, 47wddacm2cmbifzhdkr79mk7p",3690801725,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3690801737,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3690801735,197,1993,3690801733,194,bu7u0edo60hpre8wkhgw79gwl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443214739,2,32,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,0,0,2022-08-07T11:00:48.863Z,2022-08-07T11:00:49Z,3690910459,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443214743,3,32,1,0,0,c9ky1957qli8v2lylfga7io8b,1,0,0,2022-08-07T11:00:48.863Z,2022-08-07T13:44:14Z,3690910473,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443214763,3,1,1,0,0,1hcbcuu846pa3iw6qskiws1cu,1,50,50,2022-08-07T11:00:48.883Z,2022-08-07T17:55:19Z,3690910591,212,12.9,3690910585,56,Back,3690910587,140,38.1,3690910589,141,45.4,3692512321,178,,3690910593,213,3.4,3690910595,279,S,,,,en7rrg1epwhzy47dd1zcp9wb9,B. McKay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443214773,4,1,1,0,1,1hcbcuu846pa3iw6qskiws1cu,1,38.1,45.4,2022-08-07T11:00:50.726Z,2022-08-07T17:54:57Z,3692513363,178,,3690910627,56,Back,3690910629,140,48.1,3690910631,141,18.3,3690910635,213,5.2,3690910633,212,21.2,,,,,,,awaksdyk1jcvvmlq85x7gcout,P. Haring,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443214801,5,1,1,0,3,1hcbcuu846pa3iw6qskiws1cu,1,43.8,20.3,2022-08-07T11:00:52.846Z,2022-08-07T17:55:36Z,3690910773,140,27.6,3690910775,141,47.2,3692514657,178,,3690910779,213,2.3,3690910777,212,25.0,3690910771,56,Back,,,,,,,ey5m0gz111sobrykgcrpt45at,M. Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443214821,6,1,1,0,6,1hcbcuu846pa3iw6qskiws1cu,1,27.6,47.2,2022-08-07T11:00:55.476Z,2022-08-07T17:55:47Z,3690910887,140,28.1,3690910889,141,70.0,3690910891,212,15.5,3690910885,56,Back,3690910893,213,1.5,3692515019,178,,,,,,,,5t8x37anxancpz8fqxxauioyd,C. Halkett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443214837,7,1,1,0,10,1hcbcuu846pa3iw6qskiws1cu,0,40,78.4,2022-08-07T11:00:59.468Z,2022-08-07T17:55:58Z,3692515357,178,,3690910989,56,Center,3690910987,155,,3690910991,140,81.2,3690910995,212,43.6,3690910993,141,70.6,3690910997,213,6.2,3690910999,1,,699t2ytlqawiya0n1ytwk0f6x,K. Rowles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443214841,4,49,1,0,13,c9ky1957qli8v2lylfga7io8b,1,20.5,33,2022-08-07T11:01:02.618Z,2022-08-07T17:56:42Z,,,,,,,,,,,,,,,,,,,,,,,,,87dk4hxfl302jn9iu3vr9pckp,R. Porteous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
